"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省",230000,0.719710549,1,-1.40551464445214,-1.63989241859905,-1.17113687030524,1
"黑龙江省",230000,0.719710549,2,-0.423552644362329,-0.659543475664084,-0.187561813060575,1
"黑龙江省",230000,0.719710549,3,-0.731921484963248,-0.986283986219297,-0.477558983707199,1
"黑龙江省",230000,0.719710549,4,-1.09494750013986,-1.35846456794978,-0.831430432329941,1
"黑龙江省",230000,0.719710549,5,-1.00508715816995,-1.23680965762981,-0.773364658710094,1
"黑龙江省",230000,0.719710549,6,-0.959384752598663,-1.1170786175553,-0.801690887642028,1
"吉林省",220000,0.641250374,1,-1.36499370644414,-1.6026237051578,-1.12736370773049,1
"吉林省",220000,0.641250374,2,-0.4209016810032,-0.659612770237237,-0.182190591769163,1
"吉林省",220000,0.641250374,3,-0.506067702212149,-0.763556527847389,-0.248578876576909,1
"吉林省",220000,0.641250374,4,-0.938787048280879,-1.20574860422479,-0.671825492336969,1
"吉林省",220000,0.641250374,5,-0.941102219617116,-1.17561466005831,-0.706589779175922,1
"吉林省",220000,0.641250374,6,-0.700421756589207,-0.860896190231022,-0.539947322947392,1
"内蒙古自治区",150000,0.807231788,1,-1.45071518982312,-1.79164027669143,-1.10979010295481,1
"内蒙古自治区",150000,0.807231788,2,-0.426509757289169,-0.774637411134915,-0.078382103443423,1
"内蒙古自治区",150000,0.807231788,3,-0.983858252874012,-1.35407029760958,-0.613646208138447,1
"内蒙古自治区",150000,0.807231788,4,-1.26914232228367,-1.65187334033149,-0.886411304235856,1
"内蒙古自治区",150000,0.807231788,5,-1.07646147131013,-1.42156298809446,-0.731359954525806,1
"内蒙古自治区",150000,0.807231788,6,-1.24825438953103,-1.49414072662619,-1.00236805243586,1
"新疆维吾尔自治区",650000,0.725999111,1,-1.40876238677443,-1.64776348624655,-1.16976128730231,1
"新疆维吾尔自治区",650000,0.725999111,2,-0.423765118365142,-0.664688464623121,-0.182841772107163,1
"新疆维吾尔自治区",650000,0.725999111,3,-0.750023605125034,-1.00943073354342,-0.490616476706645,1
"新疆维吾尔自治区",650000,0.725999111,4,-1.1074637185075,-1.37615684993558,-0.838770587079411,1
"新疆维吾尔自治区",650000,0.725999111,5,-1.01021553384788,-1.24695085064067,-0.773480217055089,1
"新疆维吾尔自治区",650000,0.725999111,6,-0.980140567330292,-1.14181444085269,-0.818466693807896,1
"辽宁省",210000,0.756878475,1,-1.42471010540201,-1.6946110344561,-1.15480917634791,1
"辽宁省",210000,0.756878475,2,-0.424808451017882,-0.698457962835996,-0.151158939199769,1
"辽宁省",210000,0.756878475,3,-0.838912282321435,-1.13195905029595,-0.545865514346917,1
"辽宁省",210000,0.756878475,4,-1.16892337540168,-1.47219024852837,-0.865656502274997,1
"辽宁省",210000,0.756878475,5,-1.0353979172429,-1.30531702978795,-0.765478804697857,1
"辽宁省",210000,0.756878475,6,-1.08205995020583,-1.26986308508059,-0.894256815331067,1
"北京市",110000,0.593655811,1,-1.34041338481166,-1.62924148498389,-1.05158528463943,1
"北京市",110000,0.593655811,2,-0.419293585652829,-0.711548246879862,-0.127038924425796,1
"北京市",110000,0.593655811,3,-0.369063010444185,-0.681938802458801,-0.0561872184295699,1
"北京市",110000,0.593655811,4,-0.844058882506196,-1.16815215886411,-0.519965606148282,1
"北京市",110000,0.593655811,5,-0.902288449586599,-1.19106878433372,-0.613508114839479,1
"北京市",110000,0.593655811,6,-0.543332754069893,-0.746792457530735,-0.33987305060905,1
"天津市",120000,0.69770718,1,-1.39415095387643,-1.61770254842733,-1.17059935932554,1
"天津市",120000,0.69770718,2,-0.422809208281586,-0.647151407897341,-0.198467008665831,1
"天津市",120000,0.69770718,3,-0.668583057258769,-0.911088647068854,-0.426077467448684,1
"天津市",120000,0.69770718,4,-1.05115386795054,-1.30253265586839,-0.79977508003268,1
"天津市",120000,0.69770718,5,-0.987143224022211,-1.20701475946058,-0.767271688583846,1
"天津市",120000,0.69770718,6,-0.886761178173273,-1.03504274568895,-0.738479610657599,1
"河北省",130000,0.640250434,1,-1.3644772851291,-1.60287235998964,-1.12608221026857,1
"河北省",130000,0.640250434,2,-0.420867895655393,-0.660379024307887,-0.1813567670029,1
"河北省",130000,0.640250434,3,-0.503189296300817,-0.761503852088226,-0.244874740513409,1
"河北省",130000,0.640250434,4,-0.936796852844381,-1.20461076281324,-0.668982942875519,1
"河北省",130000,0.640250434,5,-0.940286760061278,-1.17561271415353,-0.704960805969025,1
"河北省",130000,0.640250434,6,-0.697121388495079,-0.858252987189887,-0.53598978980027,1
"山西省",140000,0.544707664,1,-1.31513400160619,-1.67795456575877,-0.952313437453604,1
