"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省",230000,0.719710549,1,NA,NA,NA,NA
"黑龙江省",230000,0.719710549,2,NA,NA,NA,NA
"黑龙江省",230000,0.719710549,3,NA,NA,NA,NA
"黑龙江省",230000,0.719710549,4,NA,NA,NA,NA
"吉林省",220000,0.641250374,1,NA,NA,NA,NA
"吉林省",220000,0.641250374,2,NA,NA,NA,NA
"吉林省",220000,0.641250374,3,NA,NA,NA,NA
"吉林省",220000,0.641250374,4,NA,NA,NA,NA
"内蒙古自治区",150000,0.807231788,1,-0.0120779962476862,-0.386661926163593,0.36250593366822,0
"内蒙古自治区",150000,0.807231788,2,0.0853490987528586,-0.291688939982521,0.462387137488238,0
"内蒙古自治区",150000,0.807231788,3,0.114643635715117,-0.274139503958718,0.503426775388951,0
"内蒙古自治区",150000,0.807231788,4,0.237644426678049,-0.0999863209025911,0.57527517425869,0
"新疆维吾尔自治区",650000,0.725999111,1,-0.0336794431524432,-0.306178166115195,0.238819279810309,0
"新疆维吾尔自治区",650000,0.725999111,2,0.00148470175159457,-0.27266340852185,0.275632812025039,0
"新疆维吾尔自治区",650000,0.725999111,3,0.0701020309570801,-0.209494346489636,0.349698408403796,0
"新疆维吾尔自治区",650000,0.725999111,4,0.112258169423507,-0.124573850362133,0.349090189209147,0
"辽宁省",210000,0.756878475,1,NA,NA,NA,NA
"辽宁省",210000,0.756878475,2,NA,NA,NA,NA
"辽宁省",210000,0.756878475,3,NA,NA,NA,NA
"辽宁省",210000,0.756878475,4,NA,NA,NA,NA
"北京市",110000,0.593655811,1,NA,NA,NA,NA
"北京市",110000,0.593655811,2,NA,NA,NA,NA
"北京市",110000,0.593655811,3,NA,NA,NA,NA
"北京市",110000,0.593655811,4,NA,NA,NA,NA
"天津市",120000,0.69770718,1,NA,NA,NA,NA
"天津市",120000,0.69770718,2,NA,NA,NA,NA
"天津市",120000,0.69770718,3,NA,NA,NA,NA
"天津市",120000,0.69770718,4,NA,NA,NA,NA
"河北省",130000,0.640250434,1,NA,NA,NA,NA
"河北省",130000,0.640250434,2,NA,NA,NA,NA
