"省份","iso","tele_e","lag","estimate_e","lower_ci_e","upper_ci_e","sig"
"黑龙江省",230000,0.592757784,1,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,2,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,3,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,4,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,5,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,6,NA,NA,NA,NA
"吉林省",220000,0.562162909,1,NA,NA,NA,NA
"吉林省",220000,0.562162909,2,NA,NA,NA,NA
"吉林省",220000,0.562162909,3,NA,NA,NA,NA
"吉林省",220000,0.562162909,4,NA,NA,NA,NA
"吉林省",220000,0.562162909,5,NA,NA,NA,NA
"吉林省",220000,0.562162909,6,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,1,-0.351601212224883,-0.691661954423552,-0.0115404700262138,1
"内蒙古自治区",150000,0.608904501,2,0.0636134717350729,-0.291955198075234,0.41918214154538,0
"内蒙古自治区",150000,0.608904501,3,-0.23361740251758,-0.656071098759035,0.188836293723874,0
"内蒙古自治区",150000,0.608904501,4,-0.326343590951616,-0.79644616102213,0.143758979118897,0
"内蒙古自治区",150000,0.608904501,5,-0.564082307477629,-1.05191944645846,-0.0762451684968028,1
"内蒙古自治区",150000,0.608904501,6,-0.9110682287637,-1.43751181642553,-0.384624641101865,1
"新疆维吾尔自治区",650000,0.869026001,1,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,2,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,3,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,4,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,5,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,6,NA,NA,NA,NA
"辽宁省",210000,0.683873748,1,-0.323642319077335,-0.577647885567164,-0.0696367525875065,1
"辽宁省",210000,0.683873748,2,0.148931473168943,-0.120769122397964,0.41863206873585,0
"辽宁省",210000,0.683873748,3,-0.152607150045699,-0.475750909720525,0.170536609629127,0
"辽宁省",210000,0.683873748,4,-0.162622619742735,-0.518473330341813,0.193228090856342,0
"辽宁省",210000,0.683873748,5,-0.257890606806124,-0.6293792700113,0.113598056399051,0
"辽宁省",210000,0.683873748,6,-0.568221029836967,-0.975267971414463,-0.161174088259471,1
"北京市",110000,0.657671343,1,NA,NA,NA,NA
"北京市",110000,0.657671343,2,NA,NA,NA,NA
"北京市",110000,0.657671343,3,NA,NA,NA,NA
"北京市",110000,0.657671343,4,NA,NA,NA,NA
"北京市",110000,0.657671343,5,NA,NA,NA,NA
"北京市",110000,0.657671343,6,NA,NA,NA,NA
"天津市",120000,0.585728355,1,-0.360244481505498,-0.738835867637999,0.018346904627003,0
"天津市",120000,0.585728355,2,0.0372380906716938,-0.357100524367303,0.43157670571069,0
"天津市",120000,0.585728355,3,-0.258661077276448,-0.726188617985986,0.208866463433091,0
"天津市",120000,0.585728355,4,-0.376956626080525,-0.898609929302539,0.144696677141489,0
"天津市",120000,0.585728355,5,-0.658739034638716,-1.19924665782765,-0.118231411449786,1
"天津市",120000,0.585728355,6,-1.0170567114547,-1.59805378823135,-0.436059634678056,1
"河北省",130000,0.535806517,1,-0.378862239989469,-0.850078950434195,0.0923544704552569,0
"河北省",130000,0.535806517,2,-0.0195749575648109,-0.507574444824195,0.468424529694573,0
"河北省",130000,0.535806517,3,-0.312605606027555,-0.889340550075905,0.264129338020795,0
"河北省",130000,0.535806517,4,-0.485978019904748,-1.13209498002892,0.160138940219427,0
"河北省",130000,0.535806517,5,-0.862631338343825,-1.53055754519454,-0.194705131493106,1
"河北省",130000,0.535806517,6,-1.2453578216896,-1.95903718323405,-0.531678460145143,1
"山西省",140000,0.653380632,1,-0.335014365697729,-0.614702773037692,-0.0553259583577646,1
"山西省",140000,0.653380632,2,0.114229087607952,-0.180962574674176,0.40942074989008,0
"山西省",140000,0.653380632,3,-0.185557394641518,-0.538076030106499,0.166961240823463,0
"山西省",140000,0.653380632,4,-0.229214759406417,-0.618988316083318,0.160558797270483,0
"山西省",140000,0.653380632,5,-0.382431527522768,-0.78839323527878,0.0235301802332433,0
"山西省",140000,0.653380632,6,-0.707671268774914,-1.14987384185732,-0.265468695692509,1
"宁夏回族自治区",640000,0.794808805,1,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,2,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,3,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,4,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,5,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,6,NA,NA,NA,NA
"甘肃省",620000,0.809319375,1,-0.276858857571845,-0.609049003811208,0.0553312886675172,0
"甘肃省",620000,0.809319375,2,0.291693613813876,-0.0558571315345558,0.639244359162309,0
"甘肃省",620000,0.809319375,3,-0.01705314195004,-0.430454794917576,0.396348511017496,0
"甘肃省",620000,0.809319375,4,0.111330777259465,-0.348419179548621,0.571080734067552,0
"甘肃省",620000,0.809319375,5,0.254458275035162,-0.222762774672084,0.731679324742409,0
"甘肃省",620000,0.809319375,6,0.00546329481094771,-0.510396673608889,0.521323263230784,0
"山东省",370000,0.61462279,1,-0.34946864403812,-0.680637278018734,-0.0183000100575053,1
"山东省",370000,0.61462279,2,0.070121113316444,-0.276522602753268,0.416764829386156,0
"山东省",370000,0.61462279,3,-0.227438335044792,-0.639531377102968,0.184654707013385,0
"山东省",370000,0.61462279,4,-0.313855752721988,-0.772087932499073,0.144376427055097,0
"山东省",370000,0.61462279,5,-0.54072749595283,-1.0164484881509,-0.0650065037547626,1
"山东省",370000,0.61462279,6,-0.884917514374058,-1.39884577881786,-0.370989249930252,1
"陕西省",610000,0.750042761,1,-0.298965369018791,-0.560112637689034,-0.0378181003485479,1
"陕西省",610000,0.750042761,2,0.224234456350991,-0.0524825608725234,0.500951473574505,0
"陕西省",610000,0.750042761,3,-0.0811062524983994,-0.41244706697181,0.250234561975011,0
"陕西省",610000,0.750042761,4,-0.0181199669110603,-0.383459531282812,0.347219597460692,0
"陕西省",610000,0.750042761,5,0.0123589079345654,-0.368741032888757,0.393458848757888,0
"陕西省",610000,0.750042761,6,-0.265618807317691,-0.682626486991166,0.151388872355784,0
"青海省",630000,0.636659688,1,NA,NA,NA,NA
"青海省",630000,0.636659688,2,NA,NA,NA,NA
"青海省",630000,0.636659688,3,NA,NA,NA,NA
"青海省",630000,0.636659688,4,NA,NA,NA,NA
"青海省",630000,0.636659688,5,NA,NA,NA,NA
"青海省",630000,0.636659688,6,NA,NA,NA,NA
"河南省",410000,0.750178907,1,-0.298914594979851,-0.560166651561725,-0.0376625383979772,1
"河南省",410000,0.750178907,2,0.224389395944064,-0.0524313186430339,0.501210110531163,0
"河南省",410000,0.750178907,3,-0.0809591358835955,-0.41241973842303,0.250501466655839,0
"河南省",410000,0.750178907,4,-0.0178226455928108,-0.383300690348997,0.347655399163376,0
"河南省",410000,0.750178907,5,0.0129149596083888,-0.368325566138023,0.3941554853548,0
"河南省",410000,0.750178907,6,-0.264996188355744,-0.682147618836673,0.152155242125184,0
"江苏省",320000,0.654435956,1,NA,NA,NA,NA
"江苏省",320000,0.654435956,2,NA,NA,NA,NA
"江苏省",320000,0.654435956,3,NA,NA,NA,NA
"江苏省",320000,0.654435956,4,NA,NA,NA,NA
"江苏省",320000,0.654435956,5,NA,NA,NA,NA
"江苏省",320000,0.654435956,6,NA,NA,NA,NA
"安徽省",340000,0.707038712,1,-0.315003219991242,-0.561176488201973,-0.0688299517805113,1
"安徽省",340000,0.707038712,2,0.175294128669105,-0.0866538788102764,0.437242136148487,0
"安徽省",340000,0.707038712,3,-0.127575558329938,-0.441831102167945,0.186679985508069,0
"安徽省",340000,0.707038712,4,-0.112034004332222,-0.457593010469882,0.233525001805438,0
"安徽省",340000,0.707038712,5,-0.163279549512803,-0.524321755081504,0.197762656055898,0
"安徽省",340000,0.707038712,6,-0.462283684345974,-0.858757972461582,-0.0658093962303662,1
"上海市",310000,0.8213917,1,NA,NA,NA,NA
"上海市",310000,0.8213917,2,NA,NA,NA,NA
"上海市",310000,0.8213917,3,NA,NA,NA,NA
"上海市",310000,0.8213917,4,NA,NA,NA,NA
"上海市",310000,0.8213917,5,NA,NA,NA,NA
"上海市",310000,0.8213917,6,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,1,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,2,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,3,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,4,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,5,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,6,NA,NA,NA,NA
"湖北省",420000,0.720866868,1,-0.309846172915238,-0.556697943992777,-0.0629944018376982,1
"湖北省",420000,0.720866868,2,0.191031123245505,-0.0715752005297481,0.453637447020758,0
