"省份","iso","tele_e","lag","estimate_e","lower_ci_e","upper_ci_e","sig"
"黑龙江省",230000,0.592757784,1,-0.0562763228565579,-0.120190450063417,0.00763780435030101,0
"黑龙江省",230000,0.592757784,2,0.036605422258395,-0.0302538879146992,0.103464732431489,0
"黑龙江省",230000,0.592757784,3,-0.108163395281792,-0.187515208953125,-0.0288115816104585,1
"黑龙江省",230000,0.592757784,4,-0.151826091728976,-0.240135202682156,-0.0635169807757964,1
"黑龙江省",230000,0.592757784,5,-0.0557128392101454,-0.147359228290565,0.0359335498702743,0
"黑龙江省",230000,0.592757784,6,-0.264193592362854,-0.362909827284904,-0.165477357440804,1
"吉林省",220000,0.562162909,1,-0.0627476759074738,-0.135795633551103,0.0103002817361551,0
"吉林省",220000,0.562162909,2,0.0287542161090758,-0.0473517847602296,0.104860216978381,0
"吉林省",220000,0.562162909,3,-0.114764897075159,-0.204860349509176,-0.0246694446411415,1
"吉林省",220000,0.562162909,4,-0.161840134794235,-0.262399090165299,-0.0612811794231723,1
"吉林省",220000,0.562162909,5,-0.0607661568439582,-0.164955843028421,0.0434235293405043,0
"吉林省",220000,0.562162909,6,-0.280628920571553,-0.392312902889898,-0.168944938253208,1
"内蒙古自治区",150000,0.608904501,1,-0.0528610088106523,-0.112388780640039,0.0066667630187345,0
"内蒙古自治区",150000,0.608904501,2,0.0407489660317138,-0.0216846321995598,0.103182564262987,0
"内蒙古自治区",150000,0.608904501,3,-0.104679394081183,-0.178900847692575,-0.0304579404697902,1
"内蒙古自治区",150000,0.608904501,4,-0.146541091564715,-0.228986193068917,-0.0640959900605134,1
"内蒙古自治区",150000,0.608904501,5,-0.0530459059494511,-0.138695825436647,0.0326040135377451,0
"内蒙古自治区",150000,0.608904501,6,-0.25551970193552,-0.348062908137435,-0.162976495733606,1
"新疆维吾尔自治区",650000,0.869026001,1,0.00215925398283257,-0.0761275712862034,0.0804460792518685,0
"新疆维吾尔自治区",650000,0.869026001,2,0.107500914531916,0.0261017909202234,0.188900038143609,1
"新疆维吾尔自治区",650000,0.869026001,3,-0.0485525902049359,-0.144875940490335,0.0477707600804634,0
"新疆维吾尔自治区",650000,0.869026001,4,-0.0614004298297093,-0.169046716149409,0.0462458564899907,0
"新疆维吾尔自治区",650000,0.869026001,5,-0.0100819597694507,-0.121519703873961,0.10135578433506,0
"新疆维吾尔自治区",650000,0.869026001,6,-0.115784461094071,-0.235090018637476,0.00352109644933536,0
"辽宁省",210000,0.683873748,1,-0.0370036972413677,-0.0828778474961548,0.0088704530134195,0
"辽宁省",210000,0.683873748,2,0.0599874500280115,0.0112360829642321,0.108738817091791,1
"辽宁省",210000,0.683873748,3,-0.0885031678825836,-0.146945071234534,-0.0300612645306335,1
"辽宁省",210000,0.683873748,4,-0.122002822719752,-0.186320784992002,-0.0576848604475022,1
"辽宁省",210000,0.683873748,5,-0.0406633282184171,-0.107825913239664,0.0264992568028302,0
"辽宁省",210000,0.683873748,6,-0.215246807210374,-0.288930848692157,-0.141562765728591,1
"北京市",110000,0.657671343,1,-0.0425459657924921,-0.0916005383258984,0.00650860674091416,0
"北京市",110000,0.657671343,2,0.0532634322550037,0.00134066936695734,0.10518619514305,1
"北京市",110000,0.657671343,3,-0.094156899875214,-0.156240650595084,-0.0320731491553444,1
"北京市",110000,0.657671343,4,-0.130579161472022,-0.199096499816006,-0.062061823128038,1
"北京市",110000,0.657671343,5,-0.044991147019272,-0.116428501069988,0.0264462070314444,0
"北京市",110000,0.657671343,6,-0.229322534796522,-0.307335389404457,-0.151309680188587,1
"天津市",120000,0.585728355,1,-0.0577631704676479,-0.123690209414114,0.00816386847881861,0
"天津市",120000,0.585728355,2,0.0348015418310031,-0.034092295754193,0.103695379416199,0
"天津市",120000,0.585728355,3,-0.109680145657463,-0.19139326718027,-0.0279670241346555,1
"天津市",120000,0.585728355,4,-0.154126902068296,-0.245131535379702,-0.0631222687568895,1
"天津市",120000,0.585728355,5,-0.0568738812971399,-0.151278598326868,0.0375308357325885,0
"天津市",120000,0.585728355,6,-0.267969746791815,-0.369531844273809,-0.166407649309821,1
"河北省",130000,0.535806517,1,-0.0683225154118135,-0.149869324371712,0.0132242935480851,0
"河北省",130000,0.535806517,2,0.0219906824471711,-0.0627469351754684,0.106728300069811,0
"河北省",130000,0.535806517,3,-0.120451855072362,-0.2205983382186,-0.0203053719261239,1
"河北省",130000,0.535806517,4,-0.170466875205263,-0.282458762021945,-0.0584749883885819,1
"河北省",130000,0.535806517,5,-0.065119409487,-0.181031091455192,0.0507922724811923,0
"河北省",130000,0.535806517,6,-0.294787368772996,-0.418639887361566,-0.170934850184426,1
"山西省",140000,0.653380632,1,-0.0434535264777522,-0.0932167477758556,0.00630969482035114,0
"山西省",140000,0.653380632,2,0.0521623571047326,-0.000468483979638334,0.104793198189104,0
"山西省",140000,0.653380632,3,-0.0950827129848057,-0.15798136608467,-0.0321840598849413,1
"山西省",140000,0.653380632,4,-0.131983558931877,-0.201439021854217,-0.0625280960095369,1
"山西省",140000,0.653380632,5,-0.0456998384441558,-0.118092876586509,0.0266931996981971,0
"山西省",140000,0.653380632,6,-0.231627471277997,-0.310611567707336,-0.152643374848658,1
"宁夏回族自治区",640000,0.794808805,1,-0.0135389856002683,-0.0702850579097916,0.043207086709255,0
"宁夏回族自治区",640000,0.794808805,2,0.0884554206176438,0.0288405967408506,0.148070244494437,1
"宁夏回族自治区",640000,0.794808805,3,-0.0645665452380146,-0.135574313409,0.00644122293297122,0
"宁夏回族自治区",640000,0.794808805,4,-0.0856925440131068,-0.164458808712093,-0.00692627931412083,1
"宁夏回族自治区",640000,0.794808805,5,-0.0223403221676936,-0.104219103651229,0.0595384593158422,0
"宁夏回族自治区",640000,0.794808805,6,-0.155653359888046,-0.244399772839651,-0.0669069469364414,1
"甘肃省",620000,0.809319375,1,-0.0104697453618288,-0.0709055242502244,0.0499660335265669,0
"甘肃省",620000,0.809319375,2,0.0921790990577134,0.0288505427347299,0.155507655380697,1
