"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省",230000,0.719710549,1,0.0470448817081806,-0.0169920512747191,0.11108181469108,0
"黑龙江省",230000,0.719710549,2,0.165210243423028,0.100733600986655,0.229686885859401,1
"黑龙江省",230000,0.719710549,3,0.132717646107789,0.0672535593462583,0.198181732869319,1
"黑龙江省",230000,0.719710549,4,0.319619258858383,0.264658905610584,0.374579612106181,1
"吉林省",220000,0.641250374,1,0.00956818568477347,-0.0581833650812403,0.0773197364507873,0
"吉林省",220000,0.641250374,2,0.245484899437885,0.177301940080468,0.313667858795302,1
"吉林省",220000,0.641250374,3,0.186451724637421,0.117033389082521,0.255870060192322,1
"吉林省",220000,0.641250374,4,0.419184255213469,0.360438045229649,0.477930465197288,1
"内蒙古自治区",150000,0.807231788,1,0.0888496172902126,-0.00659943921393943,0.184298673794365,0
"内蒙古自治区",150000,0.807231788,2,0.0756649759708587,-0.0203498428498773,0.171679794791595,0
"内蒙古自治区",150000,0.807231788,3,0.0727780254093037,-0.0263646765252158,0.171920727343823,0
"内蒙古自治区",150000,0.807231788,4,0.208555883814577,0.122324090379133,0.294787677250021,1
"新疆维吾尔自治区",650000,0.725999111,1,0.0500486288512165,-0.01526078883747,0.115358046539903,0
"新疆维吾尔自治区",650000,0.725999111,2,0.158776251255943,0.0930218152768339,0.224530687235053,1
"新疆维吾尔自治区",650000,0.725999111,3,0.128410874113634,0.0615677167690338,0.195254031458234,1
"新疆维吾尔自治区",650000,0.725999111,4,0.311639151082575,0.255374261359694,0.367904040805455,1
"辽宁省",210000,0.756878475,1,0.064798233195384,-0.00944784542567892,0.139044311816447,0
"辽宁省",210000,0.756878475,2,0.127182766751766,0.0524565271031532,0.201909006400379,1
"辽宁省",210000,0.756878475,3,0.107262894643526,0.0307843912849833,0.183741398002068,1
"辽宁省",210000,0.756878475,4,0.272453618242413,0.207146656714602,0.337760579770223,1
"北京市",110000,0.593655811,1,-0.0131654746711702,-0.097910830058129,0.0715798807157886,0
"北京市",110000,0.593655811,2,0.294180140979245,0.208950475086425,0.379409806872066,1
"北京市",110000,0.593655811,3,0.219047241864162,0.131424851658898,0.306669632069426,1
"北京市",110000,0.593655811,4,0.479581169847127,0.403857673093303,0.555304666600952,1
"天津市",120000,0.69770718,1,0.0365349182585215,-0.0248076983563853,0.0978775348734282,0
"天津市",120000,0.69770718,2,0.187722465421551,0.125953626492476,0.249491304350626,1
"天津市",120000,0.69770718,3,0.147786829394246,0.0852553650377185,0.210318293750773,1
"天津市",120000,0.69770718,4,0.347541263292921,0.29536141703993,0.399721109545911,1
"河北省",130000,0.640250434,1,0.00909056187853491,-0.0589307559406677,0.0771118796977375,0
"河北省",130000,0.640250434,2,0.246507964190614,0.178054574035943,0.314961354345285,1
"河北省",130000,0.640250434,3,0.187136541545935,0.117428016558787,0.256845066533083,1
"河北省",130000,0.640250434,4,0.420453166765798,0.36143300606482,0.479473327466777,1
"山西省",140000,0.544707664,1,-0.0365456777618215,-0.144500762193061,0.0714094066694184,0
"山西省",140000,0.544707664,2,0.344260269694095,0.235731004136032,0.452789535252157,1
"山西省",140000,0.544707664,3,0.252569771921965,0.140254713329414,0.364884830514516,1
"山西省",140000,0.544707664,4,0.541695765916321,0.443337249605691,0.64005428222695,1
"宁夏回族自治区",640000,0.566392154,1,-0.0261880276526724,-0.12338279728632,0.0710067419809752,0
"宁夏回族自治区",640000,0.566392154,2,0.322074301136064,0.224348556785422,0.419800045486705,1
"宁夏回族自治区",640000,0.566392154,3,0.237718975469688,0.136834314152545,0.338603636786831,1
"宁夏回族自治区",640000,0.566392154,4,0.51417841500789,0.426260524078336,0.602096305937443,1
"甘肃省",620000,0.566206887,1,-0.0262765208919771,-0.123560435482722,0.0710073936987675,0
"甘肃省",620000,0.566206887,2,0.322263852646698,0.224448614662294,0.420079090631103,1
"甘肃省",620000,0.566206887,3,0.237845857056773,0.136866391277206,0.338825322836339,1
"甘肃省",620000,0.566206887,4,0.514413516550548,0.426408803465802,0.602418229635293,1
"山东省",370000,0.718665491,1,0.0465457071780087,-0.0173002599161302,0.110391674272147,0
"山东省",370000,0.718665491,2,0.166279469580956,0.101994613240208,0.230564325921704,1
"山东省",370000,0.718665491,3,0.133433362439546,0.0681764609552367,0.198690263923855,1
"山东省",370000,0.718665491,4,0.320945424597381,0.266181291143831,0.375709558050932,1
"陕西省",610000,0.780959942,1,0.0763008052780579,-0.00731305907257004,0.159914669628686,0
"陕西省",610000,0.780959942,2,0.102544388367342,0.0184132724756652,0.186675504259019,1
"陕西省",610000,0.780959942,3,0.0907705093169984,0.00425346539820715,0.17728755323579,1
"陕西省",610000,0.780959942,4,0.241894533023955,0.167273564931659,0.31651550111625,1
"青海省",630000,0.551731684,1,-0.0331906372918974,-0.137593093938875,0.0712118193550799,0
"青海省",630000,0.551731684,2,0.337073811222119,0.232111668501924,0.442035953942313,1
"青海省",630000,0.551731684,3,0.247759315632851,0.139215404381883,0.356303226883819,1
"青海省",630000,0.551731684,4,0.532782370990831,0.437862804108861,0.627701937872801,1
"河南省",410000,0.685587451,1,0.030745899821855,-0.0303688631055794,0.0918606627492895,0
"河南省",410000,0.685587451,2,0.200122476974779,0.138585439195846,0.261659514753712,1
"河南省",410000,0.685587451,3,0.156087122757648,0.0938120050386116,0.218362240476684,1
"河南省",410000,0.685587451,4,0.362921050219341,0.310978629294758,0.414863471143923,1
"江苏省",320000,0.676686823,1,0.0264944929141668,-0.0350366212192934,0.0880256070476271,0
"江苏省",320000,0.676686823,2,0.209228942146647,0.147276788609286,0.271181095684009,1
"江苏省",320000,0.676686823,3,0.162182789048413,0.0994631312396132,0.224902446857213,1
"江苏省",320000,0.676686823,4,0.374215837598772,0.321843042963996,0.426588632233548,1
"安徽省",340000,0.668888735,1,0.0227697169556659,-0.0395248961751659,0.0850643300864977,0
"安徽省",340000,0.668888735,2,0.217207369823792,0.154491583073621,0.279923156573962,1
"安徽省",340000,0.668888735,3,0.167523371999866,0.103982327095371,0.23106441690436,1
"安徽省",340000,0.668888735,4,0.384111515288716,0.330950198338758,0.437272832238675,1
"上海市",310000,0.736387375,1,0.0550106087619024,-0.0128382738491689,0.122859491372974,0
"上海市",310000,0.736387375,2,0.148147746805227,0.0798436850324213,0.216451808578032,1
"上海市",310000,0.736387375,3,0.121296388407191,0.0517073911223044,0.190885385692077,1
"上海市",310000,0.736387375,4,0.298456571929576,0.239602426645218,0.357310717213934,1
