"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省",230000,0.719710549,1,-0.10439955340409,-0.159080157361873,-0.0497189494463082,1
"黑龙江省",230000,0.719710549,2,0.104485144964465,0.049505269738373,0.159465020190557,1
"黑龙江省",230000,0.719710549,3,-0.148827709804596,-0.208120365218221,-0.0895350543909715,1
"黑龙江省",230000,0.719710549,4,0.0382729662394526,-0.0231734621601841,0.0997193946390893,0
"黑龙江省",230000,0.719710549,5,-0.0177702462070706,-0.0717495323526196,0.0362090399384785,0
"黑龙江省",230000,0.719710549,6,-0.0399722610632741,-0.0766956747867958,-0.00324884733975234,1
"吉林省",220000,0.641250374,1,-0.116025025768439,-0.172036186231507,-0.0600138653053705,1
"吉林省",220000,0.641250374,2,0.116437358603686,0.060178002415165,0.172696714792208,1
"吉林省",220000,0.641250374,3,-0.195654015885461,-0.256323887304578,-0.134984144466345,1
"吉林省",220000,0.641250374,4,0.0604146664349458,-0.0024894647547604,0.123318797624652,0
"吉林省",220000,0.641250374,5,-0.0279429663295102,-0.0832260333388778,0.0273401006798573,0
"吉林省",220000,0.641250374,6,-0.062897153342342,-0.100762216279405,-0.0250320904052785,1
"内蒙古自治区",150000,0.807231788,1,-0.0914314999261571,-0.171119918897871,-0.0117430809544432,1
"内蒙古自治区",150000,0.807231788,2,0.0911526161178574,0.00985140288341076,0.172453829352304,1
"内蒙古自治区",150000,0.807231788,3,-0.0965936136406432,-0.183072282120752,-0.0101149451605344,1
"内蒙古自治区",150000,0.807231788,4,0.0135742062038536,-0.075843574190585,0.102991986598292,0
"内蒙古自治区",150000,0.807231788,5,-0.00642271774290207,-0.0870166670873173,0.0741712316015132,0
"内蒙古自治区",150000,0.807231788,6,-0.014399861101057,-0.0718100916294209,0.043010369427307,0
"新疆维吾尔自治区",650000,0.725999111,1,-0.103467774909555,-0.15921245599591,-0.0477230938231995,1
"新疆维吾尔自治区",650000,0.725999111,2,0.10352717824431,0.0474129776480873,0.159641378840533,1
"新疆维吾尔自治区",650000,0.725999111,3,-0.145074593921022,-0.205527274097971,-0.0846219137440733,1
"新疆维吾尔自治区",650000,0.725999111,4,0.0364983149024555,-0.0261384763885435,0.0991351061934545,0
"新疆维吾尔自治区",650000,0.725999111,5,-0.0169549054154065,-0.0720872390690949,0.0381774282382819,0
"新疆维吾尔自治区",650000,0.725999111,6,-0.0381348370906633,-0.0757740495614758,-0.000495624619850886,1
"辽宁省",210000,0.756878475,1,-0.0988923684334587,-0.161844023673491,-0.0359407131934266,1
"辽宁省",210000,0.756878475,2,0.0988231770670088,0.0350772350014966,0.162569119132521,1
"辽宁省",210000,0.756878475,3,-0.126645288222348,-0.194940805330531,-0.0583497711141652,1
"辽宁省",210000,0.756878475,4,0.0277840643936401,-0.0429126635151338,0.098480792302414,0
"辽宁省",210000,0.756878475,5,-0.0129512548050051,-0.0758232098428593,0.0499207002328492,0
"辽宁省",210000,0.756878475,6,-0.0291123477405422,-0.0728441545788444,0.01461945909776,0
"北京市",110000,0.593655811,1,-0.123077129295479,-0.191503853399165,-0.0546504051917935,1
"北京市",110000,0.593655811,2,0.123687665973526,0.054416658797503,0.192958673149548,1
