省份,iso,tele_e,lag,estimate_e,lower_ci_e,upper_ci_e,sig,,,
黑龙江省,230000,0.592757784,1,-0.021956939,-0.086996727,0.043082849,0,,,
黑龙江省,230000,0.592757784,2,-0.108016786,-0.176053629,-0.039979944,1,,,
黑龙江省,230000,0.592757784,3,0.128088058,0.047338694,0.208837423,1,,,
黑龙江省,230000,0.592757784,4,-0.047166408,-0.137030827,0.04269801,0,,,
黑龙江省,230000,0.592757784,5,0.06690352,-0.026356953,0.160163993,0,,,
黑龙江省,230000,0.592757784,6,0.106773296,0.006318462,0.20722813,1,,,
吉林省,220000,0.562162909,1,-0.039755279,-0.114089763,0.034579206,0,,,
吉林省,220000,0.562162909,2,-0.125575184,-0.20302157,-0.048128797,1,,,
吉林省,220000,0.562162909,3,0.120778721,0.0290965,0.212460942,1,,,
吉林省,220000,0.562162909,4,-0.072861923,-0.175191931,0.029468086,0,,,
吉林省,220000,0.562162909,5,0.058045074,-0.04797961,0.164069758,0,,,
吉林省,220000,0.562162909,6,0.079857332,-0.033793639,0.193508302,0,,,
内蒙古自治区,150000,0.608904501,1,-0.012563707,-0.073139887,0.048012473,0,,,
内蒙古自治区,150000,0.608904501,2,-0.098750186,-0.16228337,-0.035217002,1,,,
内蒙古自治区,150000,0.608904501,3,0.131945626,0.056416978,0.207474274,1,,,
内蒙古自治区,150000,0.608904501,4,-0.033605372,-0.117502504,0.050291759,0,,,
内蒙古自治区,150000,0.608904501,5,0.071578644,-0.01557975,0.158737037,0,,,
内蒙古自治区,150000,0.608904501,6,0.120978436,0.02680535,0.215151521,1,,,
新疆维吾尔自治区,650000,0.869026001,1,0.138760031,0.059094411,0.21842565,1,,,
新疆维吾尔自治区,650000,0.869026001,2,0.050533531,-0.032299201,0.133366263,0,,,
新疆维吾尔自治区,650000,0.869026001,3,0.194090537,0.096070731,0.292110342,1,,,
新疆维吾尔自治区,650000,0.869026001,4,0.184861145,0.075318983,0.294403307,1,,,
新疆维吾尔自治区,650000,0.869026001,5,0.146894273,0.033493878,0.260294669,1,,,
新疆维吾尔自治区,650000,0.869026001,6,0.349821373,0.228414595,0.47122815,1,,,
辽宁省,210000,0.683873748,1,0.031049092,-0.015632998,0.077731182,0,,,
辽宁省,210000,0.683873748,2,-0.055725339,-0.105335319,-0.006115358,1,,,
辽宁省,210000,0.683873748,3,0.149856322,0.090385135,0.20932751,1,,,
辽宁省,210000,0.683873748,4,0.029358551,-0.036092184,0.094809287,0,,,
辽宁省,210000,0.683873748,5,0.093285254,0.024939796,0.161630712,1,,,
辽宁省,210000,0.683873748,6,0.186932933,0.111951161,0.261914704,1,,,
北京市,110000,0.657671343,1,0.015806039,-0.034112487,0.065724565,0,,,
北京市,110000,0.657671343,2,-0.070762898,-0.123600129,-0.017925667,1,,,
北京市,110000,0.657671343,3,0.143596378,0.080419203,0.206773553,1,,,
北京市,110000,0.657671343,4,0.007352112,-0.06237196,0.077076183,0,,,
北京市,110000,0.657671343,5,0.085698605,0.01300309,0.158394119,1,,,
北京市,110000,0.657671343,6,0.163881261,0.084494437,0.243268085,1,,,
天津市,120000,0.585728355,1,-0.026046257,-0.093134408,0.041041895,0,,,
天津市,120000,0.585728355,2,-0.112050975,-0.182158177,-0.041943774,1,,,
天津市,120000,0.585728355,3,0.126408677,0.043256417,0.209560937,1,,,
天津市,120000,0.585728355,4,-0.053070168,-0.145677583,0.039537247,0,,,
天津市,120000,0.585728355,5,0.064868218,-0.031199163,0.160935599,0,,,
天津市,120000,0.585728355,6,0.100589128,-0.00276169,0.203939946,0,,,
河北省,130000,0.535806517,1,-0.055087913,-0.138070931,0.027895106,0,,,
河北省,130000,0.535806517,2,-0.140701116,-0.22693114,-0.054471092,1,,,
河北省,130000,0.535806517,3,0.114481988,0.012571716,0.21639226,1,,,
河北省,130000,0.535806517,4,-0.094997691,-0.208961989,0.018966607,0,,,
河北省,130000,0.535806517,5,0.050413839,-0.06753929,0.168366968,0,,,
河北省,130000,0.535806517,6,0.05667019,-0.06936363,0.18270401,0,,,
山西省,140000,0.653380632,1,0.01330995,-0.037329706,0.063949605,0,,,
山西省,140000,0.653380632,2,-0.073225337,-0.126783117,-0.019667557,1,,,
山西省,140000,0.653380632,3,0.142571296,0.078564866,0.206577726,1,,,
山西省,140000,0.653380632,4,0.003748501,-0.066930218,0.074427219,0,,,
山西省,140000,0.653380632,5,0.084456271,0.010788241,0.158124302,1,,,
山西省,140000,0.653380632,6,0.160106491,0.07973132,0.240481662,1,,,
宁夏回族自治区,640000,0.794808805,1,0.095584732,0.037839243,0.153330221,1,,,
宁夏回族自治区,640000,0.794808805,2,0.007940285,-0.05272448,0.068605051,0,,,
宁夏回族自治区,640000,0.794808805,3,0.176359511,0.104101148,0.248617874,1,,,
宁夏回族自治区,640000,0.794808805,4,0.122528841,0.042375338,0.202682344,1,,,
