"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省",230000,0.719710549,1,-0.336625723996206,-0.465933304325252,-0.20731814366716,1
"黑龙江省",230000,0.719710549,2,-0.0104585531558934,-0.14062832067932,0.119711214367533,0
"黑龙江省",230000,0.719710549,3,-0.172494053459198,-0.304740331966177,-0.0402477749522199,1
"黑龙江省",230000,0.719710549,4,0.124195157989209,0.0130312625307109,0.235359053447707,1
"吉林省",220000,0.641250374,1,-0.31048383907249,-0.443128024127968,-0.177839654017013,1
"吉林省",220000,0.641250374,2,0.147009259160897,0.0135231041955854,0.280495414126208,1
"吉林省",220000,0.641250374,3,-0.201080158582493,-0.336800548006057,-0.0653597691589284,1
"吉林省",220000,0.641250374,4,0.187223782760019,0.0726783376931891,0.301769227826849,1
"内蒙古自治区",150000,0.807231788,1,-0.365786634717079,-0.558356733393596,-0.173216536040561,1
"内蒙古自治区",150000,0.807231788,2,-0.186111717791136,-0.379859165955082,0.00763573037280971,0
"内蒙古自治区",150000,0.807231788,3,-0.140606648943787,-0.340568023197641,0.0593547253100671,0
"内蒙古自治区",150000,0.807231788,4,0.0538875996335543,-0.119973968182886,0.227749167449994,0
"新疆维吾尔自治区",650000,0.725999111,1,-0.338720989067176,-0.470755888055595,-0.206686090078756,1
"新疆维吾尔自治区",650000,0.725999111,2,-0.0230795561138718,-0.155990795168237,0.109831682940493,0
"新疆维吾尔自治区",650000,0.725999111,3,-0.17020288479425,-0.305398488826723,-0.0350072807617769,1
"新疆维吾尔自治区",650000,0.725999111,4,0.119143430604635,0.00520009236283776,0.233086768846432,1
"辽宁省",210000,0.756878475,1,-0.349009581722055,-0.499405720001455,-0.198613443442655,1
"辽宁省",210000,0.756878475,2,-0.08505374741301,-0.236417673190892,0.0663101783648718,0
"辽宁省",210000,0.756878475,3,-0.158952326846292,-0.313905163999586,-0.00399948969299746,1
"辽宁省",210000,0.756878475,4,0.0943374211008674,-0.0380806191924375,0.226755461394172,0
"北京市",110000,0.593655811,1,-0.294625964820482,-0.458751030464485,-0.13050089917648,1
"北京市",110000,0.593655811,2,0.242530480134259,0.0774337246391139,0.407627235629403,1
"北京市",110000,0.593655811,3,-0.218420716148357,-0.387843595688503,-0.0489978366082105,1
"北京市",110000,0.593655811,4,0.225457445283174,0.0794586449342609,0.371456245632087,1
"天津市",120000,0.69770718,1,-0.329294494613503,-0.45234288119209,-0.206246108034915,1
"天津市",120000,0.69770718,2,0.0337017151589438,-0.0901729236740724,0.15757635399196,0
"天津市",120000,0.69770718,3,-0.180510739877507,-0.305960704666861,-0.0550607750881527,1
"天津市",120000,0.69770718,4,0.141870903530112,0.0371307692832361,0.246611037776987,1
"河北省",130000,0.640250434,1,-0.310150672387473,-0.443275901106357,-0.177025443668589,1
"河北省",130000,0.640250434,2,0.149016116324395,0.015047198131889,0.2829850345169,1
"河北省",130000,0.640250434,3,-0.201444475765789,-0.337681798828209,-0.0652071527033696,1
"河北省",130000,0.640250434,4,0.188027054522456,0.0729932079185459,0.303060901126365,1
"山西省",140000,0.544707664,1,-0.278317094414533,-0.486851143040409,-0.0697830457886567,1
"山西省",140000,0.544707664,2,0.340768313851181,0.131053712892732,0.55048291480963,1
"山西省",140000,0.544707664,3,-0.236254437214266,-0.452902179189151,-0.0196066952393814,1
"山西省",140000,0.544707664,4,0.264778468853278,0.075480034346745,0.45407690335981,1
"宁夏回族自治区",640000,0.566392154,1,-0.28554207756311,-0.473389156667571,-0.0976949984586499,1
"宁夏回族自治区",640000,0.566392154,2,0.297248028540763,0.108319880983406,0.486176176098121,1
"宁夏回族自治区",640000,0.566392154,3,-0.228353930865854,-0.423036960413155,-0.0336709013185535,1
"宁夏回族自治区",640000,0.566392154,4,0.247358885178421,0.0781245556115962,0.416593214745246,1
"甘肃省",620000,0.566206887,1,-0.285480349067168,-0.473498254419409,-0.0974624437149264,1
"甘肃省",620000,0.566206887,2,0.297619855256476,0.10852007305395,0.486719637459003,1
"甘肃省",620000,0.566206887,3,-0.228421430867452,-0.423286050762314,-0.0335568109725899,1
"甘肃省",620000,0.566206887,4,0.247507713857753,0.078107047655919,0.416908380059587,1
"山东省",370000,0.718665491,1,-0.336277524594731,-0.46516995136041,-0.207385097829053,1
"山东省",370000,0.718665491,2,-0.00836114517784388,-0.138113567651676,0.121391277295988,0
"山东省",370000,0.718665491,3,-0.172874808891466,-0.304671670417125,-0.0410779473658071,1
"山东省",370000,0.718665491,4,0.125034673941675,0.0142948341871524,0.235774513696197,1
"陕西省",610000,0.780959942,1,-0.357033205670233,-0.526169942687285,-0.18789646865318,1
"陕西省",610000,0.780959942,2,-0.133384711827364,-0.30358179684835,0.0368123731936232,0
"陕西省",610000,0.780959942,3,-0.150178508190073,-0.325178778649074,0.0248217622689275,0
"陕西省",610000,0.780959942,4,0.0749922979543332,-0.0759704509031677,0.225955046811834,0
"青海省",630000,0.551731684,1,-0.28065740429202,-0.482347965756607,-0.0789668428274327,1
