"省份","iso","tele_e","lag","estimate_e","lower_ci_e","upper_ci_e","sig"
"黑龙江省",230000,0.592757784,1,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,2,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,3,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,4,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,5,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,6,NA,NA,NA,NA
"吉林省",220000,0.562162909,1,NA,NA,NA,NA
"吉林省",220000,0.562162909,2,NA,NA,NA,NA
"吉林省",220000,0.562162909,3,NA,NA,NA,NA
"吉林省",220000,0.562162909,4,NA,NA,NA,NA
"吉林省",220000,0.562162909,5,NA,NA,NA,NA
"吉林省",220000,0.562162909,6,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,1,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,2,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,3,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,4,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,5,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,6,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,1,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,2,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,3,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,4,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,5,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,6,NA,NA,NA,NA
"辽宁省",210000,0.683873748,1,NA,NA,NA,NA
"辽宁省",210000,0.683873748,2,NA,NA,NA,NA
"辽宁省",210000,0.683873748,3,NA,NA,NA,NA
"辽宁省",210000,0.683873748,4,NA,NA,NA,NA
"辽宁省",210000,0.683873748,5,NA,NA,NA,NA
"辽宁省",210000,0.683873748,6,NA,NA,NA,NA
"北京市",110000,0.657671343,1,NA,NA,NA,NA
"北京市",110000,0.657671343,2,NA,NA,NA,NA
"北京市",110000,0.657671343,3,NA,NA,NA,NA
"北京市",110000,0.657671343,4,NA,NA,NA,NA
"北京市",110000,0.657671343,5,NA,NA,NA,NA
"北京市",110000,0.657671343,6,NA,NA,NA,NA
"天津市",120000,0.585728355,1,NA,NA,NA,NA
"天津市",120000,0.585728355,2,NA,NA,NA,NA
"天津市",120000,0.585728355,3,NA,NA,NA,NA
"天津市",120000,0.585728355,4,NA,NA,NA,NA
"天津市",120000,0.585728355,5,NA,NA,NA,NA
"天津市",120000,0.585728355,6,NA,NA,NA,NA
"河北省",130000,0.535806517,1,NA,NA,NA,NA
"河北省",130000,0.535806517,2,NA,NA,NA,NA
"河北省",130000,0.535806517,3,NA,NA,NA,NA
"河北省",130000,0.535806517,4,NA,NA,NA,NA
"河北省",130000,0.535806517,5,NA,NA,NA,NA
"河北省",130000,0.535806517,6,NA,NA,NA,NA
"山西省",140000,0.653380632,1,NA,NA,NA,NA
"山西省",140000,0.653380632,2,NA,NA,NA,NA
"山西省",140000,0.653380632,3,NA,NA,NA,NA
"山西省",140000,0.653380632,4,NA,NA,NA,NA
"山西省",140000,0.653380632,5,NA,NA,NA,NA
"山西省",140000,0.653380632,6,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,1,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,2,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,3,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,4,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,5,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,6,NA,NA,NA,NA
"甘肃省",620000,0.809319375,1,-0.32475504568758,-0.766446338338616,0.116936246963457,0
"甘肃省",620000,0.809319375,2,0.0448010618917689,-0.415296518433013,0.504898642216551,0
"甘肃省",620000,0.809319375,3,-1.05255183016511,-1.5977882507897,-0.507315409540519,1
"甘肃省",620000,0.809319375,4,-0.810316614471447,-1.41885144523696,-0.201781783705931,1
"甘肃省",620000,0.809319375,5,-0.817288054228383,-1.44788742860021,-0.186688679856559,1
"甘肃省",620000,0.809319375,6,-1.45228241755161,-2.12911345097637,-0.775451384126857,1
"山东省",370000,0.61462279,1,0.12209400273509,-0.389723837147056,0.633911842617237,0
"山东省",370000,0.61462279,2,-0.133028447423429,-0.664178207408132,0.398121312561275,0
"山东省",370000,0.61462279,3,-0.267437696407141,-0.895198417297293,0.360323024483011,0
"山东省",370000,0.61462279,4,-0.166645752915359,-0.869197732209627,0.535906226378909,0
"山东省",370000,0.61462279,5,-0.0964471895954314,-0.82335732502375,0.630462945832887,0
"山东省",370000,0.61462279,6,-0.135081240827904,-0.912309102583383,0.642146620927574,0
"陕西省",610000,0.750042761,1,-0.188709009956558,-0.490152414776144,0.112734394863028,0
"陕西省",610000,0.750042761,2,-0.00934026360444551,-0.328630168234629,0.309949641025738,0
"陕西省",610000,0.750042761,3,-0.813518837096868,-1.19559417113435,-0.431443503059389,1
"陕西省",610000,0.750042761,4,-0.6143469255141,-1.03575816557377,-0.192935685454431,1
"陕西省",610000,0.750042761,5,-0.59782346686403,-1.03747268452884,-0.158174249199219,1
"陕西省",610000,0.750042761,6,-1.05125213901336,-1.5312561446923,-0.571248133334411,1
"青海省",630000,0.636659688,1,NA,NA,NA,NA
"青海省",630000,0.636659688,2,NA,NA,NA,NA
"青海省",630000,0.636659688,3,NA,NA,NA,NA
"青海省",630000,0.636659688,4,NA,NA,NA,NA
"青海省",630000,0.636659688,5,NA,NA,NA,NA
"青海省",630000,0.636659688,6,NA,NA,NA,NA
"河南省",410000,0.750178907,1,-0.189021479281824,-0.490654607010544,0.112611648446896,0
"河南省",410000,0.750178907,2,-0.0092159122894222,-0.328694416336292,0.310262591757448,0
"河南省",410000,0.750178907,3,-0.814067845950077,-1.19636059183489,-0.431775100065261,1
"河南省",410000,0.750178907,4,-0.614797026953308,-1.03645936660792,-0.193134687298693,1
"河南省",410000,0.750178907,5,-0.598327531177003,-1.03823195427618,-0.15842310807783,1
"河南省",410000,0.750178907,6,-1.0521732217915,-1.53243756991768,-0.571908873665315,1
"江苏省",320000,0.654435956,1,NA,NA,NA,NA
"江苏省",320000,0.654435956,2,NA,NA,NA,NA
"江苏省",320000,0.654435956,3,NA,NA,NA,NA
"江苏省",320000,0.654435956,4,NA,NA,NA,NA
"江苏省",320000,0.654435956,5,NA,NA,NA,NA
"江苏省",320000,0.654435956,6,NA,NA,NA,NA
"安徽省",340000,0.707038712,1,-0.0900102147313009,-0.379008064978236,0.198987635515634,0
"安徽省",340000,0.707038712,2,-0.0486187590759337,-0.355558685506971,0.258321167355103,0
"安徽省",340000,0.707038712,3,-0.640104975324612,-1.00789425056029,-0.272315700088936,1
"安徽省",340000,0.707038712,4,-0.472174666713412,-0.877063606375625,-0.0672857270511982,1
"安徽省",340000,0.707038712,5,-0.438606108922812,-0.861477981822534,-0.0157342360230899,1
"安徽省",340000,0.707038712,6,-0.760312346994489,-1.22327363105773,-0.29735106293125,1
"上海市",310000,0.8213917,1,NA,NA,NA,NA
"上海市",310000,0.8213917,2,NA,NA,NA,NA
"上海市",310000,0.8213917,3,NA,NA,NA,NA
"上海市",310000,0.8213917,4,NA,NA,NA,NA
"上海市",310000,0.8213917,5,NA,NA,NA,NA
"上海市",310000,0.8213917,6,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,1,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,2,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,3,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,4,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,5,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,6,NA,NA,NA,NA
"湖北省",420000,0.720866868,1,NA,NA,NA,NA
"湖北省",420000,0.720866868,2,NA,NA,NA,NA
"湖北省",420000,0.720866868,3,NA,NA,NA,NA
"湖北省",420000,0.720866868,4,NA,NA,NA,NA
"湖北省",420000,0.720866868,5,NA,NA,NA,NA
"湖北省",420000,0.720866868,6,NA,NA,NA,NA
"四川省",510000,0.825915231,1,-0.362844272888764,-0.856618380368792,0.130929834591264,0
"四川省",510000,0.825915231,2,0.0599591753694433,-0.452869532540134,0.57278788327902,0
"四川省",510000,0.825915231,3,-1.11947463267555,-1.72610417393947,-0.512845091411635,1
"四川省",510000,0.825915231,4,-0.865182851235594,-1.54370438704823,-0.18666131542296,1
"四川省",510000,0.825915231,5,-0.878732229987111,-1.58099497438008,-0.176469485594143,1
"四川省",510000,0.825915231,6,-1.56456009849777,-2.31591741955733,-0.81320277743822,1
"重庆市",500000,0.738457741,1,-0.162120176038605,-0.450632700405828,0.126392348328618,0
"重庆市",500000,0.738457741,2,-0.0199216429440303,-0.326375544652877,0.286532258764817,0
"重庆市",500000,0.738457741,3,-0.766802234739057,-1.13408771093734,-0.399516758540771,1
