"省份","iso","tele_e","lag","estimate_e","lower_ci_e","upper_ci_e","sig"
"黑龙江省",230000,0.592757784,1,-0.103468975390375,-0.141110233435435,-0.0658277173453155,1
"黑龙江省",230000,0.592757784,2,-0.0481689435865151,-0.0875447225718855,-0.00879316460114465,1
"黑龙江省",230000,0.592757784,3,-0.0540538698085716,-0.10078691968781,-0.0073208199293328,1
"黑龙江省",230000,0.592757784,4,-0.19004374910102,-0.242052063669098,-0.138035434532942,1
"黑龙江省",230000,0.592757784,5,-0.148741380582,-0.202715134602125,-0.094767626561874,1
"黑龙江省",230000,0.592757784,6,-0.269709703546915,-0.327847136291813,-0.211572270802017,1
"吉林省",220000,0.562162909,1,-0.111078516836774,-0.154099006100896,-0.0680580275726514,1
"吉林省",220000,0.562162909,2,-0.0526146440807031,-0.0974361216270887,-0.0077931665343176,1
"吉林省",220000,0.562162909,3,-0.0645937130529584,-0.117654066404561,-0.0115333597013554,1
"吉林省",220000,0.562162909,4,-0.213292074445197,-0.272514749513779,-0.154069399376614,1
"吉林省",220000,0.562162909,5,-0.173254402318872,-0.234615341358376,-0.111893463279368,1
"吉林省",220000,0.562162909,6,-0.306799367562762,-0.372573958903714,-0.241024776221811,1
"内蒙古自治区",150000,0.608904501,1,-0.0994529723102917,-0.134510952731824,-0.0643949918887594,1
"内蒙古自治区",150000,0.608904501,2,-0.045822685667618,-0.0825920085764469,-0.00905336275878917,1
"内蒙古自治区",150000,0.608904501,3,-0.0484913739300469,-0.0922029758865864,-0.00477977197350747,1
"内蒙古自治区",150000,0.608904501,4,-0.177774238927949,-0.226329033867521,-0.129219443988376,1
"内蒙古自治区",150000,0.608904501,5,-0.13580441565568,-0.186246639649786,-0.0853621916615743,1
"内蒙古自治区",150000,0.608904501,6,-0.250135303962378,-0.304637224855222,-0.195633383069533,1
"新疆维吾尔自治区",650000,0.869026001,1,-0.0347556877046387,-0.0808615287801629,0.0113501533708855,0
"新疆维吾尔自治区",650000,0.869026001,2,-0.00802477732189211,-0.0559635594098158,0.0399140047660316,0
"新疆维吾尔自治区",650000,0.869026001,3,0.0411197074845615,-0.0156084720636417,0.0978478870327647,0
"新疆维吾尔自治区",650000,0.869026001,4,0.0198859659598049,-0.0435106854227297,0.0832826173423396,0
"新疆维吾尔自治区",650000,0.869026001,5,0.0726083980501407,0.00697882497905493,0.138237971121226,1
"新疆维吾尔自治区",650000,0.869026001,6,0.0652057143715185,-0.00505748836559322,0.13546891710863,0
"辽宁省",210000,0.683873748,1,-0.0808066600683951,-0.107823546675476,-0.0537897734613138,1
"辽宁省",210000,0.683873748,2,-0.034929004342337,-0.0636403842499111,-0.0062176244347629,1
"辽宁省",210000,0.683873748,3,-0.0226646917968558,-0.0570831664103857,0.0117537828166741,0
"辽宁省",210000,0.683873748,4,-0.120806872822876,-0.158685963418709,-0.0829277822270436,1
"辽宁省",210000,0.683873748,5,-0.0757380554790831,-0.115292443597,-0.0361836673611658,1
"辽宁省",210000,0.683873748,6,-0.159251318237609,-0.202646419452744,-0.115856217022474,1
"北京市",110000,0.657671343,1,-0.0873237086539122,-0.1162136568346,-0.0584337604732245,1
"北京市",110000,0.657671343,2,-0.0387364408772932,-0.0693155663647748,-0.0081573153898115,1
"北京市",110000,0.657671343,3,-0.0316913422187299,-0.0682546277297457,0.00487194329228578,0
"北京市",110000,0.657671343,4,-0.140717463607767,-0.181069713194456,-0.100365214021077,1
"北京市",110000,0.657671343,5,-0.09673177169212,-0.138803720342476,-0.0546598230417635,1
"北京市",110000,0.657671343,6,-0.191016063079912,-0.236960553280412,-0.145071572879413,1
"天津市",120000,0.585728355,1,-0.10521733132646,-0.144044063280398,-0.0663905993725211,1
"天津市",120000,0.585728355,2,-0.0491903805421869,-0.0897643636596551,-0.00861639742471876,1
"天津市",120000,0.585728355,3,-0.0564754871466894,-0.104599193552825,-0.00835178074055359,1
"天津市",120000,0.585728355,4,-0.195385246733411,-0.248981048404674,-0.141789445062148,1
"天津市",120000,0.585728355,5,-0.154373452812228,-0.209971682338008,-0.0987752232864477,1
"天津市",120000,0.585728355,6,-0.278231364767406,-0.338044825202284,-0.218417904332527,1
"河北省",130000,0.535806517,1,-0.117633864989088,-0.165659624128005,-0.0696081058501704,1
"河北省",130000,0.535806517,2,-0.0564444562613189,-0.1063493938776,-0.0065395186450373,1
"河北省",130000,0.535806517,3,-0.0736734115373487,-0.13265316733081,-0.0146936557438872,1
"河北省",130000,0.535806517,4,-0.233319676326709,-0.299275603362625,-0.167363749290794,1
"河北省",130000,0.535806517,5,-0.194371494969243,-0.262635926043777,-0.126107063894709,1
"河北省",130000,0.535806517,6,-0.338750788313786,-0.411691854952065,-0.265809721675507,1
"山西省",140000,0.653380632,1,-0.0883908920690763,-0.117698188216184,-0.0590835959219688,1
"山西省",140000,0.653380632,2,-0.0393599183719101,-0.0703560557982026,-0.00836378094561755,1
"山西省",140000,0.653380632,3,-0.0331694793690522,-0.0702126893053465,0.00387373056724201,0
"山西省",140000,0.653380632,4,-0.143977873898243,-0.184882617759289,-0.103073130037197,1
"山西省",140000,0.653380632,5,-0.100169546548518,-0.14280433088286,-0.0575347622141754,1
"山西省",140000,0.653380632,6,-0.196217621490565,-0.242734109864571,-0.149701133116558,1
"宁夏回族自治区",640000,0.794808805,1,-0.0532149502117576,-0.0866346907948248,-0.0197952096286904,1
"宁夏回族自治区",640000,0.794808805,2,-0.0188091791190707,-0.0539184275266177,0.0163000692884763,0
"宁夏回族自治区",640000,0.794808805,3,0.0155521046792572,-0.0262668458678923,0.0573710552264066,0
"宁夏回族自治区",640000,0.794808805,4,-0.036509934292787,-0.0828981339655166,0.00987826537994253,0
"宁夏回族自治区",640000,0.794808805,5,0.0131445911609892,-0.0350766781721872,0.0613658604941657,0
"宁夏回族自治区",640000,0.794808805,6,-0.0247665722888552,-0.0770324292514816,0.0274992846737711,0
"甘肃省",620000,0.809319375,1,-0.0496058887651634,-0.0851986262037831,-0.0140131513265438,1
"甘肃省",620000,0.809319375,2,-0.0167006675392734,-0.0539970624733609,0.0205957273948142,0
"甘肃省",620000,0.809319375,3,0.0205509527930901,-0.0238027457475125,0.0649046513336926,0
"甘肃省",620000,0.809319375,4,-0.0254836937119888,-0.0747732562027421,0.0238058687787644,0
"甘肃省",620000,0.809319375,5,0.0247706532980109,-0.0264145134693007,0.0759558200653225,0
"甘肃省",620000,0.809319375,6,-0.0071756468159309,-0.0624895550256266,0.0481382613937648,0
"山东省",370000,0.61462279,1,-0.0980307224351742,-0.132226870445174,-0.0638345744251744,1
"山东省",370000,0.61462279,2,-0.0449917687172069,-0.0808930940238125,-0.00909044341060133,1
"山东省",370000,0.61462279,3,-0.0465214404138583,-0.0892281088021373,-0.00381477202557943,1
"山东省",370000,0.61462279,4,-0.173429045718824,-0.220833682565912,-0.126024408871735,1
"山东省",370000,0.61462279,5,-0.131222846273399,-0.180489771446098,-0.0819559211006995,1
"山东省",370000,0.61462279,6,-0.243203116210164,-0.296497911468641,-0.189908320951686,1
"陕西省",610000,0.750042761,1,-0.0643491374640116,-0.0926167497380952,-0.036081525189928,1
"陕西省",610000,0.750042761,2,-0.0253140732862684,-0.0552657277393686,0.00463758116683178,0
"陕西省",610000,0.750042761,3,0.000130335953896416,-0.0357277529571306,0.0359884248649234,0
"陕西省",610000,0.750042761,4,-0.0705265973869725,-0.110066599259057,-0.0309865955148879,1
"陕西省",610000,0.750042761,5,-0.022722560106855,-0.0639631265207004,0.0185180063069904,0
"陕西省",610000,0.750042761,6,-0.0790357115247122,-0.124161204711086,-0.0339102183383389,1
"青海省",630000,0.636659688,1,-0.0925497165908601,-0.123738581562029,-0.0613608516196908,1
"青海省",630000,0.636659688,2,-0.0417896164505619,-0.0746694510583621,-0.00890978184276163,1
"青海省",630000,0.636659688,3,-0.0389297947374978,-0.0781443099259505,0.000284720450954845,0
"青海省",630000,0.636659688,4,-0.156683725651968,-0.200084496588245,-0.113282954715692,1
"青海省",630000,0.636659688,5,-0.113566589802757,-0.158746004531275,-0.0683871750742385,1
