"省份","iso","tele_e","lag","estimate_e","lower_ci_e","upper_ci_e","sig"
"黑龙江省",230000,0.592757784,1,-0.689501844489739,-0.972522701715212,-0.406480987264267,1
"黑龙江省",230000,0.592757784,2,-0.903047085988436,-1.19810065106882,-0.607993520908052,1
"黑龙江省",230000,0.592757784,3,-0.989582664169162,-1.33958576500672,-0.639579563331601,1
"黑龙江省",230000,0.592757784,4,-1.48777143435299,-1.87804574579062,-1.09749712291536,1
"黑龙江省",230000,0.592757784,5,-1.21411335294799,-1.61862342394708,-0.80960328194889,1
"黑龙江省",230000,0.592757784,6,-1.79983832107694,-2.23502892902144,-1.36464771313244,1
"吉林省",220000,0.562162909,1,-0.691016109933941,-1.01599388639334,-0.366038333474544,1
"吉林省",220000,0.562162909,2,-0.864807487089378,-1.20226248164605,-0.527352492532706,1
"吉林省",220000,0.562162909,3,-0.870560238573429,-1.26994612083257,-0.471174356314288,1
"吉林省",220000,0.562162909,4,-1.34948728979279,-1.7960775956077,-0.902896983977876,1
"吉林省",220000,0.562162909,5,-0.992582358881213,-1.45472932183079,-0.53043539593164,1
"吉林省",220000,0.562162909,6,-1.54271221575312,-2.03776627264245,-1.04765815886378,1
"内蒙古自治区",150000,0.608904501,1,-0.68870267745309,-0.95126205580771,-0.42614329909847,1
"内蒙古自治区",150000,0.608904501,2,-0.923228373920372,-1.19767338527177,-0.64878336256897,1
"内蒙古自治区",150000,0.608904501,3,-1.05239780633751,-1.37844660087355,-0.726349011801471,1
"内蒙古自治区",150000,0.608904501,4,-1.56075211977173,-1.92364364940442,-1.19786059013903,1
"内蒙古自治区",150000,0.608904501,5,-1.33102830252451,-1.70755096664275,-0.954505638406264,1
"内蒙古自治区",150000,0.608904501,6,-1.93553890674614,-2.34176829115955,-1.52930952233274,1
"新疆维吾尔自治区",650000,0.869026001,1,-0.675828200968255,-1.00455623672505,-0.347100165211457,1
"新疆维吾尔自治区",650000,0.869026001,2,-1.24834628419199,-1.58958191584614,-0.907110652537837,1
"新疆维吾尔自治区",650000,0.869026001,3,-2.06434153480839,-2.46820027837881,-1.66048279123797,1
"新疆维吾尔自治区",650000,0.869026001,4,-2.73646142105883,-3.18814279515087,-2.28478004696679,1
