"省份","iso","tele_e","lag","estimate_e","lower_ci_e","upper_ci_e","sig"
"黑龙江省",230000,0.592757784,1,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,2,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,3,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,4,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,5,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,6,NA,NA,NA,NA
"吉林省",220000,0.562162909,1,NA,NA,NA,NA
"吉林省",220000,0.562162909,2,NA,NA,NA,NA
"吉林省",220000,0.562162909,3,NA,NA,NA,NA
"吉林省",220000,0.562162909,4,NA,NA,NA,NA
"吉林省",220000,0.562162909,5,NA,NA,NA,NA
"吉林省",220000,0.562162909,6,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,1,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,2,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,3,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,4,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,5,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,6,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,1,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,2,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,3,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,4,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,5,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,6,NA,NA,NA,NA
"辽宁省",210000,0.683873748,1,NA,NA,NA,NA
"辽宁省",210000,0.683873748,2,NA,NA,NA,NA
"辽宁省",210000,0.683873748,3,NA,NA,NA,NA
"辽宁省",210000,0.683873748,4,NA,NA,NA,NA
"辽宁省",210000,0.683873748,5,NA,NA,NA,NA
"辽宁省",210000,0.683873748,6,NA,NA,NA,NA
"北京市",110000,0.657671343,1,NA,NA,NA,NA
"北京市",110000,0.657671343,2,NA,NA,NA,NA
"北京市",110000,0.657671343,3,NA,NA,NA,NA
"北京市",110000,0.657671343,4,NA,NA,NA,NA
"北京市",110000,0.657671343,5,NA,NA,NA,NA
"北京市",110000,0.657671343,6,NA,NA,NA,NA
"天津市",120000,0.585728355,1,NA,NA,NA,NA
"天津市",120000,0.585728355,2,NA,NA,NA,NA
"天津市",120000,0.585728355,3,NA,NA,NA,NA
"天津市",120000,0.585728355,4,NA,NA,NA,NA
"天津市",120000,0.585728355,5,NA,NA,NA,NA
"天津市",120000,0.585728355,6,NA,NA,NA,NA
"河北省",130000,0.535806517,1,NA,NA,NA,NA
"河北省",130000,0.535806517,2,NA,NA,NA,NA
"河北省",130000,0.535806517,3,NA,NA,NA,NA
"河北省",130000,0.535806517,4,NA,NA,NA,NA
"河北省",130000,0.535806517,5,NA,NA,NA,NA
"河北省",130000,0.535806517,6,NA,NA,NA,NA
"山西省",140000,0.653380632,1,NA,NA,NA,NA
"山西省",140000,0.653380632,2,NA,NA,NA,NA
"山西省",140000,0.653380632,3,NA,NA,NA,NA
"山西省",140000,0.653380632,4,NA,NA,NA,NA
"山西省",140000,0.653380632,5,NA,NA,NA,NA
"山西省",140000,0.653380632,6,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,1,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,2,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,3,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,4,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,5,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,6,NA,NA,NA,NA
"甘肃省",620000,0.809319375,1,NA,NA,NA,NA
"甘肃省",620000,0.809319375,2,NA,NA,NA,NA
"甘肃省",620000,0.809319375,3,NA,NA,NA,NA
"甘肃省",620000,0.809319375,4,NA,NA,NA,NA
"甘肃省",620000,0.809319375,5,NA,NA,NA,NA
"甘肃省",620000,0.809319375,6,NA,NA,NA,NA
"山东省",370000,0.61462279,1,NA,NA,NA,NA
"山东省",370000,0.61462279,2,NA,NA,NA,NA
"山东省",370000,0.61462279,3,NA,NA,NA,NA
"山东省",370000,0.61462279,4,NA,NA,NA,NA
"山东省",370000,0.61462279,5,NA,NA,NA,NA
"山东省",370000,0.61462279,6,NA,NA,NA,NA
"陕西省",610000,0.750042761,1,NA,NA,NA,NA
"陕西省",610000,0.750042761,2,NA,NA,NA,NA
"陕西省",610000,0.750042761,3,NA,NA,NA,NA
"陕西省",610000,0.750042761,4,NA,NA,NA,NA
"陕西省",610000,0.750042761,5,NA,NA,NA,NA
"陕西省",610000,0.750042761,6,NA,NA,NA,NA
"青海省",630000,0.636659688,1,NA,NA,NA,NA
"青海省",630000,0.636659688,2,NA,NA,NA,NA
"青海省",630000,0.636659688,3,NA,NA,NA,NA
"青海省",630000,0.636659688,4,NA,NA,NA,NA
"青海省",630000,0.636659688,5,NA,NA,NA,NA
"青海省",630000,0.636659688,6,NA,NA,NA,NA
"河南省",410000,0.750178907,1,-0.115166478705211,-0.556298092349846,0.325965134939424,0
"河南省",410000,0.750178907,2,-0.618862102528234,-1.08768162797651,-0.150042577079958,1
"河南省",410000,0.750178907,3,-1.28055142631152,-1.84190956197297,-0.719193290650077,1
"河南省",410000,0.750178907,4,-1.94187463432015,-2.55983167586908,-1.32391759277122,1
"河南省",410000,0.750178907,5,-2.24088223218526,-2.88637833289577,-1.59538613147475,1
"河南省",410000,0.750178907,6,-3.87348499531526,-4.57901605714297,-3.16795393348754,1
"江苏省",320000,0.654435956,1,NA,NA,NA,NA
"江苏省",320000,0.654435956,2,NA,NA,NA,NA
"江苏省",320000,0.654435956,3,NA,NA,NA,NA
"江苏省",320000,0.654435956,4,NA,NA,NA,NA
"江苏省",320000,0.654435956,5,NA,NA,NA,NA
"江苏省",320000,0.654435956,6,NA,NA,NA,NA
"安徽省",340000,0.707038712,1,NA,NA,NA,NA
"安徽省",340000,0.707038712,2,NA,NA,NA,NA
"安徽省",340000,0.707038712,3,NA,NA,NA,NA
"安徽省",340000,0.707038712,4,NA,NA,NA,NA
"安徽省",340000,0.707038712,5,NA,NA,NA,NA
"安徽省",340000,0.707038712,6,NA,NA,NA,NA
"上海市",310000,0.8213917,1,NA,NA,NA,NA
"上海市",310000,0.8213917,2,NA,NA,NA,NA
"上海市",310000,0.8213917,3,NA,NA,NA,NA
"上海市",310000,0.8213917,4,NA,NA,NA,NA
"上海市",310000,0.8213917,5,NA,NA,NA,NA
"上海市",310000,0.8213917,6,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,1,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,2,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,3,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,4,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,5,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,6,NA,NA,NA,NA
"湖北省",420000,0.720866868,1,0.182048044064902,-0.251590102326649,0.615686190456453,0
"湖北省",420000,0.720866868,2,-0.410472498781001,-0.871551143535259,0.0506061459732577,0
"湖北省",420000,0.720866868,3,-1.13123067026976,-1.68373908321487,-0.578722257324652,1
"湖北省",420000,0.720866868,4,-1.53644401450784,-2.14433257449811,-0.928555454517564,1
"湖北省",420000,0.720866868,5,-1.93571531208912,-2.57085145390028,-1.30057917027796,1
"湖北省",420000,0.720866868,6,-3.47451283592006,-4.16989065642595,-2.77913501541417,1
"四川省",510000,0.825915231,1,-0.883108121864958,-1.63603934815866,-0.13017689557126,1
"四川省",510000,0.825915231,2,-1.15729829073173,-1.95023177551325,-0.364364805950197,1
"四川省",510000,0.825915231,3,-1.66636577240678,-2.59977248351743,-0.732959061296135,1
"四川省",510000,0.825915231,4,-2.98942457725064,-4.02746887172512,-1.95138028277615,1
"四川省",510000,0.825915231,5,-3.02937124635734,-4.10861118936048,-1.95013130335419,1
"四川省",510000,0.825915231,6,-4.90434759518197,-6.04839289056955,-3.7603022997944,1
"重庆市",500000,0.738457741,1,NA,NA,NA,NA
"重庆市",500000,0.738457741,2,NA,NA,NA,NA
"重庆市",500000,0.738457741,3,NA,NA,NA,NA
"重庆市",500000,0.738457741,4,NA,NA,NA,NA
"重庆市",500000,0.738457741,5,NA,NA,NA,NA
"重庆市",500000,0.738457741,6,NA,NA,NA,NA
"浙江省",330000,0.831647693,1,NA,NA,NA,NA
"浙江省",330000,0.831647693,2,NA,NA,NA,NA
"浙江省",330000,0.831647693,3,NA,NA,NA,NA
"浙江省",330000,0.831647693,4,NA,NA,NA,NA
"浙江省",330000,0.831647693,5,NA,NA,NA,NA
"浙江省",330000,0.831647693,6,NA,NA,NA,NA
"江西省",360000,0.79643261,1,NA,NA,NA,NA
"江西省",360000,0.79643261,2,NA,NA,NA,NA
"江西省",360000,0.79643261,3,NA,NA,NA,NA
