"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省",230000,0.719710549,1,0.0151847236840922,-0.0954915026175779,0.125860949985762,0
"黑龙江省",230000,0.719710549,2,-0.263420346908426,-0.374702312946304,-0.152138380870549,1
"黑龙江省",230000,0.719710549,3,-0.31921161731704,-0.439222862138911,-0.199200372495168,1
"黑龙江省",230000,0.719710549,4,0.101919477743467,-0.0224511093158523,0.226290064802787,0
"黑龙江省",230000,0.719710549,5,-0.0747948916293663,-0.184051616256255,0.0344618329975229,0
"黑龙江省",230000,0.719710549,6,-0.314162561639913,-0.388492553513678,-0.239832569766149,1
"吉林省",220000,0.641250374,1,0.0684476181687509,-0.0449217198073963,0.181816956144898,0
"吉林省",220000,0.641250374,2,-0.240750233163621,-0.35462193147029,-0.126878534856952,1
"吉林省",220000,0.641250374,3,-0.274263403531146,-0.397062201146102,-0.151464605916189,1
"吉林省",220000,0.641250374,4,0.0836163914754309,-0.0437046575794958,0.210937440530358,0
"吉林省",220000,0.641250374,5,0.029403542358848,-0.0824920987299575,0.141299183447653,0
"吉林省",220000,0.641250374,6,-0.262806557296509,-0.339447303214106,-0.186165811378913,1
"内蒙古自治区",150000,0.807231788,1,-0.0442292977353552,-0.205522569085195,0.117063973614485,0
"内蒙古自治区",150000,0.807231788,2,-0.28870854494286,-0.453266191041343,-0.124150898844376,1
"内蒙古自治区",150000,0.807231788,3,-0.369350727526498,-0.544387797167525,-0.19431365788547,1
"内蒙古自治区",150000,0.807231788,4,0.122336317085241,-0.0586496593309819,0.303322293501464,0
"内蒙古自治区",150000,0.807231788,5,-0.191026802207035,-0.354152911477419,-0.0279006929366508,1
"内蒙古自治区",150000,0.807231788,6,-0.371449473506017,-0.487650597964957,-0.255248349047077,1
"新疆维吾尔自治区",650000,0.725999111,1,0.0109157169648714,-0.101914253673188,0.123745687602931,0
"新疆维吾尔自治区",650000,0.725999111,2,-0.265237350449793,-0.378815246712971,-0.151659454186616,1
"新疆维吾尔自治区",650000,0.725999111,3,-0.322814204606475,-0.445173396486875,-0.200455012726074,1
"新疆维吾尔自治区",650000,0.725999111,4,0.103386465202875,-0.0233934747752116,0.230166405180961,0
"新疆维吾尔自治区",650000,0.725999111,5,-0.0831463681897715,-0.194736917568229,0.0284441811886863,0
"新疆维吾尔自治区",650000,0.725999111,6,-0.318278731625333,-0.394462345113812,-0.242095118136853,1
"辽宁省",210000,0.756878475,1,-0.0100468198442215,-0.137464059909634,0.117370420221191,0
"辽宁省",210000,0.756878475,2,-0.274159567284605,-0.403184482870813,-0.145134651698396,1
"辽宁省",210000,0.756878475,3,-0.340504354477342,-0.478737833256961,-0.202270875697723,1
"辽宁省",210000,0.756878475,4,0.110589962559261,-0.0325036847395195,0.253683609858041,0
"辽宁省",210000,0.756878475,5,-0.124155470850479,-0.251411393794757,0.00310045209379931,0
"辽宁省",210000,0.756878475,6,-0.338490778714261,-0.427006102245685,-0.249975455182837,1
"北京市",110000,0.593655811,1,0.100757311425393,-0.0377417367531643,0.23925635960395,0
"北京市",110000,0.593655811,2,-0.226998362780407,-0.367206281337367,-0.0867904442234463,1
"北京市",110000,0.593655811,3,-0.246997461379344,-0.397020825710135,-0.0969740970485538,1
"北京市",110000,0.593655811,4,0.0725135945153363,-0.0828666484750946,0.227893837505767,0
"北京市",110000,0.593655811,5,0.0926111369245421,-0.0459652327023355,0.23118750655142,0
"北京市",110000,0.593655811,6,-0.231653598688522,-0.329331131485786,-0.133976065891259,1
"天津市",120000,0.69770718,1,0.030121768131852,-0.0756311758645201,0.135874712128224,0
"天津市",120000,0.69770718,2,-0.257062740925532,-0.363057627176941,-0.151067854674123,1
"天津市",120000,0.69770718,3,-0.306606341661946,-0.42123452969348,-0.191978153630411,1
"天津市",120000,0.69770718,4,0.0967865608082906,-0.0220710146808579,0.215644136297439,0
"天津市",120000,0.69770718,5,-0.0455734860912723,-0.149449790620106,0.0583028184375617,0
"天津市",120000,0.69770718,6,-0.299760285403166,-0.369812420837998,-0.229708149968334,1
"河北省",130000,0.640250434,1,0.0691264300463816,-0.0446244957366614,0.182877355829425,0
"河北省",130000,0.640250434,2,-0.240461312656651,-0.354733488390691,-0.126189136922611,1
"河北省",130000,0.640250434,3,-0.273690558557335,-0.396902164071761,-0.150478953042908,1
"河北省",130000,0.640250434,4,0.0833831267894567,-0.0443635018642427,0.211129755443156,0
"河北省",130000,0.640250434,5,0.030731505011011,-0.0815711569973037,0.143034167019326,0
"河北省",130000,0.640250434,6,-0.262152047884784,-0.339119657781444,-0.185184437988123,1
"山西省",140000,0.544707664,1,0.133985888711647,-0.0403370334939404,0.308308810917235,0
"山西省",140000,0.544707664,2,-0.212855390755587,-0.390428170544566,-0.0352826109666085,1
"山西省",140000,0.544707664,3,-0.218956078910093,-0.407828089817293,-0.0300840680028933,1
"山西省",140000,0.544707664,4,0.0610950352628044,-0.134338290213352,0.256528360738961,0
"山西省",140000,0.544707664,5,0.157616348345813,-0.0186254106921449,0.333858107383771,0
"山西省",140000,0.544707664,6,-0.199614653453777,-0.326240214995502,-0.0729890919120514,1
"宁夏回族自治区",640000,0.566392154,1,0.119265316104925,-0.0383299337287938,0.276860565938644,0
"宁夏回族自治区",640000,0.566392154,2,-0.219120860527966,-0.379268732310895,-0.0589729887450381,1
"宁夏回族自治区",640000,0.566392154,3,-0.231378675372032,-0.402108547716509,-0.0606488030275544,1
"宁夏回族自治区",640000,0.566392154,4,0.066153564524922,-0.110572530981049,0.242879660030893,0
"宁夏回族自治区",640000,0.566392154,5,0.128818427619367,-0.0298775773428724,0.287514432581606,0
"宁夏回族自治区",640000,0.566392154,6,-0.213808207860512,-0.327020433134463,-0.100595982586562,1
"甘肃省",620000,0.566206887,1,0.119391085091197,-0.0383420454777965,0.277124215660191,0
"甘肃省",620000,0.566206887,2,-0.219067329880563,-0.379358973588234,-0.0587756861728913,1
"甘肃省",620000,0.566206887,3,-0.231272539734131,-0.402151941063195,-0.060393138405066,1
"甘肃省",620000,0.566206887,4,0.0661103456832151,-0.110769918413817,0.242990609780247,0
"甘肃省",620000,0.566206887,5,0.12906447003859,-0.0297764242878401,0.287905364365021,0
"甘肃省",620000,0.566206887,6,-0.213686941589354,-0.327010369565053,-0.100363513613654,1
"山东省",370000,0.718665491,1,0.0158941640337262,-0.0944545926986071,0.12624292076606,0
"山东省",370000,0.718665491,2,-0.263118390103845,-0.37405070100379,-0.152186079203899,1
"山东省",370000,0.718665491,3,-0.31861292517287,-0.43826697560664,-0.198958874739101,1
"山东省",370000,0.718665491,4,0.101675687989887,-0.0223285096668134,0.225679885646588,0
"山东省",370000,0.718665491,5,-0.0734070103631461,-0.18230816823395,0.0354941475076578,0
"山东省",370000,0.718665491,6,-0.313478520300634,-0.387525784544507,-0.23943125605676,1
"陕西省",610000,0.780959942,1,-0.0263945865405969,-0.168815653791279,0.116026480710086,0
"陕西省",610000,0.780959942,2,-0.281117614421662,-0.42592125832028,-0.136313970523044,1
"陕西省",610000,0.780959942,3,-0.354300129556788,-0.508839831749109,-0.199760427364466,1
"陕西省",610000,0.780959942,4,0.116207655458389,-0.0436666028769104,0.276081913793689,0
"陕西省",610000,0.780959942,5,-0.156136678508234,-0.299343399440016,-0.0129299575764528,1
"陕西省",610000,0.780959942,6,-0.354253271263475,-0.455155051144456,-0.253351491382493,1
"青海省",630000,0.551731684,1,0.129217614410473,-0.0395652545918134,0.29800048341276,0
"青海省",630000,0.551731684,2,-0.214884895945268,-0.386690388915508,-0.0430794029750285,1
"青海省",630000,0.551731684,3,-0.222979994897999,-0.405843244666731,-0.0401167451292667,1
"青海省",630000,0.551731684,4,0.0627335893956292,-0.126503346475113,0.251970525266372,0
"青海省",630000,0.551731684,5,0.148288152426012,-0.0221493563303021,0.318725661182325,0
"青海省",630000,0.551731684,6,-0.204212216505709,-0.326411510596136,-0.0820129224152825,1
"河南省",410000,0.685587451,1,0.0383492777812972,-0.0665689849278108,0.143267540490405,0
"河南省",410000,0.685587451,2,-0.253560892567608,-0.358627753231301,-0.148494031903914,1
"河南省",410000,0.685587451,3,-0.299663199231801,-0.413362781965891,-0.18596361649771,1
"河南省",410000,0.685587451,4,0.0939592863925476,-0.0239571036046409,0.211875676389736,0
"河南省",410000,0.685587451,5,-0.0294779728941433,-0.132409518275516,0.0734535724872298,0
"河南省",410000,0.685587451,6,-0.291827332727941,-0.361147529879937,-0.222507135575945,1
"江苏省",320000,0.676686823,1,0.0443914923189425,-0.0607972468928444,0.149580231530729,0
"江苏省",320000,0.676686823,2,-0.250989164309798,-0.356311729409813,-0.145666599209783,1
"江苏省",320000,0.676686823,3,-0.294564213279084,-0.40854098942831,-0.180587437129858,1
"江苏省",320000,0.676686823,4,0.0918829596175474,-0.0263284584550295,0.210094377690124,0
"江苏省",320000,0.676686823,5,-0.0176575621046995,-0.12085047153619,0.0855353473267904,0
"江苏省",320000,0.676686823,6,-0.286001438378011,-0.355558118125001,-0.21644475863102,1
"安徽省",340000,0.668888735,1,0.0496852447012955,-0.0563519829243476,0.155722472326939,0
"安徽省",340000,0.668888735,2,-0.248736001581675,-0.354931747057116,-0.142540256106234,1
"安徽省",340000,0.668888735,3,-0.290096849721136,-0.404980695291149,-0.175213004151123,1
"安徽省",340000,0.668888735,4,0.0900638319213659,-0.0290888723838708,0.209216536226603,0
"安徽省",340000,0.668888735,5,-0.00730137111095938,-0.111384706590922,0.0967819643690033,0
"安徽省",340000,0.668888735,6,-0.280897210134851,-0.351195899425348,-0.210598520844355,1
"上海市",310000,0.736387375,1,0.0038636168477002,-0.113174836824455,0.120902070519855,0
"上海市",310000,0.736387375,2,-0.26823891304497,-0.386288814991124,-0.150189011098817,1
"上海市",310000,0.736387375,3,-0.328765426498808,-0.455708174991022,-0.201822678006594,1
"上海市",310000,0.736387375,4,0.105809825744285,-0.0256770620953601,0.23729671358393,0
"上海市",310000,0.736387375,5,-0.0969424225658438,-0.213074403195142,0.0191895580634548,0
"上海市",310000,0.736387375,6,-0.325078356162296,-0.404856828396889,-0.245299883927703,1
"西藏自治区",540000,0.551986038,1,0.129044945534018,-0.0395393487934044,0.29762923986144,0
"西藏自治区",540000,0.551986038,2,-0.214958388441448,-0.38655709800353,-0.0433596788793657,1
"西藏自治区",540000,0.551986038,3,-0.223125709051317,-0.405773587961569,-0.0404778301410653,1
"西藏自治区",540000,0.551986038,4,0.0627929247616876,-0.126221923377008,0.251807772900383,0
"西藏自治区",540000,0.551986038,5,0.147950359546011,-0.0222789885362893,0.31817970762831,0
"西藏自治区",540000,0.551986038,6,-0.204378703581844,-0.326419070132171,-0.0823383370315161,1
"湖北省",420000,0.749728784,1,-0.0051932334568483,-0.128704711694809,0.118318244781113,0
"湖北省",420000,0.749728784,2,-0.272093750987226,-0.396995806072117,-0.147191695902334,1
"湖北省",420000,0.749728784,3,-0.336408444169073,-0.470394502134158,-0.202422386203988,1
"湖北省",420000,0.749728784,4,0.108922092061103,-0.0298036867991665,0.247647870921372,0
"湖北省",420000,0.749728784,5,-0.114660378522433,-0.237740755816879,0.00841999877201383,0
"湖北省",420000,0.749728784,6,-0.33381095787458,-0.419057604879741,-0.248564310869419,1
"四川省",510000,0.820962494,1,-0.0535504233239469,-0.225472256050867,0.118371409402973,0
"四川省",510000,0.820962494,2,-0.292675865520675,-0.468327128614784,-0.117024602426566,1
"四川省",510000,0.820962494,3,-0.377216765407745,-0.563793957631163,-0.190639573184326,1
"四川省",510000,0.820962494,4,0.125539398093396,-0.0673385184131707,0.318417314599963,0
"四川省",510000,0.820962494,5,-0.209261761060397,-0.383556511259117,-0.0349670108616769,1
"四川省",510000,0.820962494,6,-0.380436889057588,-0.505156649071671,-0.255717129043506,1
"重庆市",500000,0.876865856,1,-0.0915005664576281,-0.310237250888952,0.127236117973696,0
"重庆市",500000,0.876865856,2,-0.308828462366872,-0.533175827547813,-0.0844810971859302,1
"重庆市",500000,0.876865856,3,-0.409242646901461,-0.646633131270978,-0.171852162531944,1
"重庆市",500000,0.876865856,4,0.13858046073899,-0.106690556974419,0.3838514784524,0
"重庆市",500000,0.876865856,5,-0.28350379244863,-0.506726354162095,-0.0602812307351646,1
"重庆市",500000,0.876865856,6,-0.417028361122019,-0.578747031444045,-0.255309690799993,1
"浙江省",330000,0.73207247,1,0.00679280136361959,-0.108403249385993,0.121988852113232,0
"浙江省",330000,0.73207247,2,-0.266992173700481,-0.383086296755427,-0.150898050645535,1
"浙江省",330000,0.73207247,3,-0.32629350654189,-0.451230210953775,-0.201356802130004,1
"浙江省",330000,0.73207247,4,0.10480325038993,-0.02462311758544,0.2342296183653,0
"浙江省",330000,0.73207247,5,-0.0912120460556217,-0.205358573414041,0.0229344813027977,0
"浙江省",330000,0.73207247,6,-0.32225404077017,-0.400462945088844,-0.244045136451497,1
"江西省",360000,0.694281998,1,0.0324469618681232,-0.072930401827593,0.137824325563839,0
"江西省",360000,0.694281998,2,-0.256073076225745,-0.361657644073276,-0.150488508378213,1
"江西省",360000,0.694281998,3,-0.304644125635897,-0.418858266059767,-0.190429985212027,1
"江西省",360000,0.694281998,4,0.0959875388633392,-0.0224481188248155,0.214423196551494,0
"江西省",360000,0.694281998,5,-0.0410246993912093,-0.14448316543966,0.0624337666572418,0
"江西省",360000,0.694281998,6,-0.29751833703039,-0.367241500879141,-0.22779517318164,1
"湖南省",430000,0.709622356,1,0.022033119820092,-0.0858613421801387,0.129927581820323,0
"湖南省",430000,0.709622356,2,-0.260505486180808,-0.368810647014368,-0.152200325347248,1
"湖南省",430000,0.709622356,3,-0.313432299903112,-0.430406708262267,-0.196457891543956,1
"湖南省",430000,0.709622356,4,0.0995661173696523,-0.0216912538690773,0.220823488608382,0
"湖南省",430000,0.709622356,5,-0.0613973442447108,-0.167625723334045,0.0448310348446233,0
"湖南省",430000,0.709622356,6,-0.307559348181301,-0.379479686771092,-0.235639009591509,1
"贵州省",520000,0.703049282,1,0.026495268252744,-0.0800594765284876,0.133050013033976,0
"贵州省",520000,0.703049282,2,-0.258606276355785,-0.365469711314243,-0.151742841397328,1
"贵州省",520000,0.703049282,3,-0.309666721565025,-0.425175072715652,-0.194158370414398,1
"贵州省",520000,0.703049282,4,0.0980327593256741,-0.0217239991115931,0.217789517762941,0
"贵州省",520000,0.703049282,5,-0.0526680237035745,-0.157428747774753,0.052092700367604,0
"贵州省",520000,0.703049282,6,-0.303256951240515,-0.374009996034777,-0.232503906446252,1
"福建省",350000,0.535119346,1,0.14049494339983,-0.0415533318226733,0.322543218622333,0
"福建省",350000,0.535119346,2,-0.210084962832359,-0.395694597547701,-0.0244753281170168,1
"福建省",350000,0.535119346,3,-0.213463129559532,-0.41071438443334,-0.0162118746857247,1
"福建省",350000,0.535119346,4,0.0588582850705016,-0.145216638243886,0.262933208384889,0
"福建省",350000,0.535119346,5,0.170350040568409,-0.0139757747979359,0.354675855934753,0
"福建省",350000,0.535119346,6,-0.193338632518902,-0.326113709374751,-0.0605635556630529,1
"云南省",530000,0.550313342,1,0.130180459577326,-0.0397123963789471,0.300073315533599,0
"云南省",530000,0.550313342,2,-0.21447508326681,-0.387436364815132,-0.041513801718488,1
"云南省",530000,0.550313342,3,-0.222167456059824,-0.4062345849021,-0.0381003272175481,1
"云南省",530000,0.550313342,4,0.0624027204422579,-0.128075651153173,0.252881092037688,0
"云南省",530000,0.550313342,5,0.150171770647099,-0.021429156697247,0.321772697991445,0
"云南省",530000,0.550313342,6,-0.20328384261523,-0.326371144917624,-0.0801965403128362,1
"广西壮族自治区",450000,0.697405773,1,0.0303263790601087,-0.0753891422088746,0.136041900329092,0
"广西壮族自治区",450000,0.697405773,2,-0.256975653037014,-0.362929802607,-0.151021503467029,1
"广西壮族自治区",450000,0.697405773,3,-0.306433671816734,-0.421020679857521,-0.191846663775946,1
"广西壮族自治区",450000,0.697405773,4,0.0967162489803754,-0.0220993179566591,0.21553181591741,0
"广西壮族自治区",450000,0.697405773,5,-0.0451732048352965,-0.149008025677056,0.0586616160064625,0
"广西壮族自治区",450000,0.697405773,6,-0.299562999847773,-0.369582376407008,-0.229543623288537,1
"广东省",440000,0.693117218,1,0.0332376758097865,-0.0720369034392112,0.138512255058784,0
"广东省",440000,0.693117218,2,-0.255736527204694,-0.361207974024648,-0.150265080384741,1
"广东省",440000,0.693117218,3,-0.303976847230597,-0.418077246788704,-0.189876447672491,1
"广东省",440000,0.693117218,4,0.0957158205193095,-0.0226041934664675,0.214035834505086,0
"广东省",440000,0.693117218,5,-0.0394778222405937,-0.142821101340424,0.0638654568592365,0
"广东省",440000,0.693117218,6,-0.296755931813487,-0.366388984176522,-0.227122879450453,1
"海南省",460000,0.808871887,1,-0.0453426832201748,-0.207881429831939,0.117196063391589,0
"海南省",460000,0.808871887,2,-0.289182431610621,-0.455041057053808,-0.123323806167435,1
"海南省",460000,0.808871887,3,-0.37029030636993,-0.546679780568315,-0.193900832171546,1
"海南省",460000,0.808871887,4,0.122718917219451,-0.0596605061503492,0.30509834058925,0
"海南省",460000,0.808871887,5,-0.193204923112139,-0.357641389382933,-0.0287684568413458,1
"海南省",460000,0.808871887,6,-0.372522998149157,-0.489725491350908,-0.255320504947407,1
