"省份","iso","tele_e","lag","estimate_e","lower_ci_e","upper_ci_e","sig"
"黑龙江省",230000,0.592757784,1,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,2,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,3,NA,NA,NA,NA
"黑龙江省",230000,0.592757784,4,NA,NA,NA,NA
"吉林省",220000,0.562162909,1,NA,NA,NA,NA
"吉林省",220000,0.562162909,2,NA,NA,NA,NA
"吉林省",220000,0.562162909,3,NA,NA,NA,NA
"吉林省",220000,0.562162909,4,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,1,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,2,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,3,NA,NA,NA,NA
"内蒙古自治区",150000,0.608904501,4,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,1,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,2,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,3,NA,NA,NA,NA
"新疆维吾尔自治区",650000,0.869026001,4,NA,NA,NA,NA
"辽宁省",210000,0.683873748,1,NA,NA,NA,NA
"辽宁省",210000,0.683873748,2,NA,NA,NA,NA
"辽宁省",210000,0.683873748,3,NA,NA,NA,NA
"辽宁省",210000,0.683873748,4,NA,NA,NA,NA
"北京市",110000,0.657671343,1,NA,NA,NA,NA
"北京市",110000,0.657671343,2,NA,NA,NA,NA
"北京市",110000,0.657671343,3,NA,NA,NA,NA
"北京市",110000,0.657671343,4,NA,NA,NA,NA
"天津市",120000,0.585728355,1,NA,NA,NA,NA
"天津市",120000,0.585728355,2,NA,NA,NA,NA
"天津市",120000,0.585728355,3,NA,NA,NA,NA
"天津市",120000,0.585728355,4,NA,NA,NA,NA
"河北省",130000,0.535806517,1,NA,NA,NA,NA
"河北省",130000,0.535806517,2,NA,NA,NA,NA
"河北省",130000,0.535806517,3,NA,NA,NA,NA
"河北省",130000,0.535806517,4,NA,NA,NA,NA
"山西省",140000,0.653380632,1,NA,NA,NA,NA
"山西省",140000,0.653380632,2,NA,NA,NA,NA
"山西省",140000,0.653380632,3,NA,NA,NA,NA
"山西省",140000,0.653380632,4,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,1,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,2,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,3,NA,NA,NA,NA
"宁夏回族自治区",640000,0.794808805,4,NA,NA,NA,NA
"甘肃省",620000,0.809319375,1,NA,NA,NA,NA
"甘肃省",620000,0.809319375,2,NA,NA,NA,NA
"甘肃省",620000,0.809319375,3,NA,NA,NA,NA
"甘肃省",620000,0.809319375,4,NA,NA,NA,NA
"山东省",370000,0.61462279,1,NA,NA,NA,NA
"山东省",370000,0.61462279,2,NA,NA,NA,NA
"山东省",370000,0.61462279,3,NA,NA,NA,NA
"山东省",370000,0.61462279,4,NA,NA,NA,NA
"陕西省",610000,0.750042761,1,NA,NA,NA,NA
"陕西省",610000,0.750042761,2,NA,NA,NA,NA
"陕西省",610000,0.750042761,3,NA,NA,NA,NA
"陕西省",610000,0.750042761,4,NA,NA,NA,NA
"青海省",630000,0.636659688,1,NA,NA,NA,NA
"青海省",630000,0.636659688,2,NA,NA,NA,NA
"青海省",630000,0.636659688,3,NA,NA,NA,NA
"青海省",630000,0.636659688,4,NA,NA,NA,NA
"河南省",410000,0.750178907,1,NA,NA,NA,NA
"河南省",410000,0.750178907,2,NA,NA,NA,NA
"河南省",410000,0.750178907,3,NA,NA,NA,NA
"河南省",410000,0.750178907,4,NA,NA,NA,NA
"江苏省",320000,0.654435956,1,0.612941083680723,0.111632969809501,1.11424919755194,1
"江苏省",320000,0.654435956,2,0.672545773428288,0.0703770785720684,1.27471446828451,1
"江苏省",320000,0.654435956,3,0.441552585418045,-0.291411796430222,1.17451696726631,0
"江苏省",320000,0.654435956,4,0.355941986735409,-0.452949207785075,1.16483318125589,0
"安徽省",340000,0.707038712,1,0.435297857935634,0.0680180448458663,0.802577671025402,1
"安徽省",340000,0.707038712,2,0.461087324609308,0.016020336536054,0.906154312682562,1
"安徽省",340000,0.707038712,3,0.348030250638663,-0.193364691351771,0.889425192629096,0
"安徽省",340000,0.707038712,4,0.307793802570346,-0.299575045190755,0.915162650331447,0
"上海市",310000,0.8213917,1,NA,NA,NA,NA
"上海市",310000,0.8213917,2,NA,NA,NA,NA
"上海市",310000,0.8213917,3,NA,NA,NA,NA
"上海市",310000,0.8213917,4,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,1,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,2,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,3,NA,NA,NA,NA
"西藏自治区",540000,0.500579205,4,NA,NA,NA,NA
"湖北省",420000,0.720866868,1,0.388599197547074,0.0360327789199564,0.741165616174192,1
"湖北省",420000,0.720866868,2,0.405499354697867,-0.022450058194029,0.833448767589763,0
"湖北省",420000,0.720866868,3,0.32344519971826,-0.197070946842694,0.843961346279214,0
"湖北省",420000,0.720866868,4,0.295136659629942,-0.290534272287657,0.880807591547541,0
"四川省",510000,0.825915231,1,0.033843449339491,-0.528193660739099,0.595880559418081,0
"四川省",510000,0.825915231,2,-0.016785817792964,-0.690881813036381,0.657310177450453,0
"四川省",510000,0.825915231,3,0.136679925052575,-0.684005682205717,0.957365532310867,0
"四川省",510000,0.825915231,4,0.198984132413264,-0.703451907313013,1.10142017213954,0
"重庆市",500000,0.738457741,1,NA,NA,NA,NA
"重庆市",500000,0.738457741,2,NA,NA,NA,NA
"重庆市",500000,0.738457741,3,NA,NA,NA,NA
"重庆市",500000,0.738457741,4,NA,NA,NA,NA
"浙江省",330000,0.831647693,1,0.0144845199111332,-0.568760378419881,0.597729418242147,0
"浙江省",330000,0.831647693,2,-0.0398298104391617,-0.738955060470499,0.659295439592176,0
"浙江省",330000,0.831647693,3,0.12648819231762,-0.724706372282774,0.977682756918014,0
"浙江省",330000,0.831647693,4,0.193737113871208,-0.7411883648611,1.12866259260352,0
"江西省",360000,0.79643261,1,0.133408344719875,-0.328742123980946,0.595558813420696,0
"江西省",360000,0.79643261,2,0.101731723451032,-0.454707671496327,0.658171118398392,0
"江西省",360000,0.79643261,3,0.189097018015074,-0.48814996969542,0.866344005725567,0
"江西省",360000,0.79643261,4,0.22597006952988,-0.524306155995726,0.976246295055486,0
"湖南省",430000,0.743115144,1,0.313465196661132,-0.0397312015867144,0.666661594908978,0
"湖南省",430000,0.743115144,2,0.316063243558433,-0.11268977670231,0.744816263819176,0
"湖南省",430000,0.743115144,3,0.283890034275292,-0.237614249764299,0.805394318314883,0
"湖南省",430000,0.743115144,4,0.274772439736157,-0.311997039940493,0.861541919412807,0
"贵州省",520000,0.783541687,1,NA,NA,NA,NA
"贵州省",520000,0.783541687,2,NA,NA,NA,NA
"贵州省",520000,0.783541687,3,NA,NA,NA,NA
"贵州省",520000,0.783541687,4,NA,NA,NA,NA
"福建省",350000,0.810759891,1,NA,NA,NA,NA
"福建省",350000,0.810759891,2,NA,NA,NA,NA
"福建省",350000,0.810759891,3,NA,NA,NA,NA
"福建省",350000,0.810759891,4,NA,NA,NA,NA
"云南省",530000,0.646544986,1,0.639589447220034,0.111221807735895,1.16795708670417,1
"云南省",530000,0.646544986,2,0.704266778234141,0.070235162691404,1.33829839377688,1
"云南省",530000,0.646544986,3,0.45558192521298,-0.316225143991925,1.22738899441788,0
"云南省",530000,0.646544986,4,0.363164723825476,-0.486926556117202,1.21325600376815,0
"广西壮族自治区",450000,0.649788744,1,NA,NA,NA,NA
"广西壮族自治区",450000,0.649788744,2,NA,NA,NA,NA
"广西壮族自治区",450000,0.649788744,3,NA,NA,NA,NA
"广西壮族自治区",450000,0.649788744,4,NA,NA,NA,NA
"广东省",440000,0.657572742,1,0.602347935604754,0.111443064594614,1.09325280661489,1
"广东省",440000,0.657572742,2,0.659936169820502,0.0700079661439811,1.24986437349702,1
"广东省",440000,0.657572742,3,0.435975699856701,-0.282066065082231,1.15401746479563,0
"广东省",440000,0.657572742,4,0.353070833938502,-0.440015002778103,1.14615667065511,0
"海南省",460000,0.936057134,1,NA,NA,NA,NA
"海南省",460000,0.936057134,2,NA,NA,NA,NA
"海南省",460000,0.936057134,3,NA,NA,NA,NA
"海南省",460000,0.936057134,4,NA,NA,NA,NA
