"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省","230000",0.719710549,6,-0.959384752598663,-1.1170786175553,-0.801690887642028,1
"吉林省","220000",0.641250374,6,-0.700421756589207,-0.860896190231022,-0.539947322947392,1
"内蒙古自治区","150000",0.807231788,6,-1.24825438953103,-1.49414072662619,-1.00236805243586,1
"新疆维吾尔自治区","650000",0.725999111,6,-0.980140567330292,-1.14181444085269,-0.818466693807896,1
"辽宁省","210000",0.756878475,6,-1.08205995020583,-1.26986308508059,-0.894256815331067,1
"北京市","110000",0.593655811,6,-0.543332754069893,-0.746792457530735,-0.33987305060905,1
"天津市","120000",0.69770718,6,-0.886761178173273,-1.03504274568895,-0.738479610657599,1
"河北省","130000",0.640250434,6,-0.697121388495079,-0.858252987189887,-0.53598978980027,1
"山西省","140000",0.544707664,6,-0.381776158048647,-0.6451843470636,-0.118367969033695,1
"宁夏回族自治区","640000",0.566392154,6,-0.453347251247675,-0.688923657906114,-0.217770844589237,1
"甘肃省","620000",0.566206887,6,-0.452735765262822,-0.688542606202283,-0.21692892432336,1
"山东省","370000",0.718665491,6,-0.955935469561967,-1.11301958545321,-0.798851353670724,1
"陕西省","610000",0.780959942,6,-1.16154242450088,-1.37537432240466,-0.947710526597101,1
"青海省","630000",0.551731684,6,-0.404959400543713,-0.659176054735841,-0.150742746351585,1
"河南省","410000",0.685587451,6,-0.846759211154175,-0.99319177749816,-0.700326644810189,1
"江苏省","320000",0.676686823,6,-0.817382099858595,-0.964056642802009,-0.670707556915182,1
"安徽省","340000",0.668888735,6,-0.791643994741886,-0.939642162852804,-0.643645826630968,1
"上海市","310000",0.736387375,6,NA,NA,NA,NA
"西藏自治区","540000",0.551986038,6,-0.405798912740659,-0.659685660195021,-0.151912165286297,1
"湖北省","420000",0.749728784,6,-1.05846192226488,-1.23937215802515,-0.877551686504605,1
"四川省","510000",0.820962494,6,-1.29357349266947,-1.55728695493822,-1.02986003040071,1
"重庆市","500000",0.876865856,6,-1.47808623573333,-1.81916480769095,-1.13700766377571,1
"浙江省","330000",0.73207247,6,-1.00018609032946,-1.16618332304039,-0.834188857618521,1
"江西省","360000",0.694281998,6,-0.87545613848151,-1.02296353333698,-0.727948743626045,1
"湖南省","430000",0.709622356,6,-0.926088004489171,-1.07854873742155,-0.773627271556791,1
"贵州省","520000",0.703049282,6,-0.904393139087305,-1.05426810857475,-0.754518169599859,1
"福建省","350000",0.535119346,6,-0.350129280432437,-0.626317029395353,-0.0739415314695215,1
"云南省","530000",0.550313342,6,-0.400278068980458,-0.656338238023645,-0.144217899937271,1
"广西壮族自治区","450000",0.697405773,6,-0.885766364438302,-1.03397197085426,-0.737560758022349,1
"广东省","440000",0.693117218,6,-0.871611705066827,-1.01890061183701,-0.724322798296644,1
"海南省","460000",0.808871887,6,-1.25366764473715,-1.50165011011797,-1.00568517935633,1
