"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省","230000",0.719710549,4,NA,NA,NA,NA
"吉林省","220000",0.641250374,4,NA,NA,NA,NA
"内蒙古自治区","150000",0.807231788,4,1.3339753064272,-0.0946111026699405,2.76256171552434,0
"新疆维吾尔自治区","650000",0.725999111,4,1.11094564143302,-0.0820853504692545,2.30397663333529,0
"辽宁省","210000",0.756878475,4,NA,NA,NA,NA
"北京市","110000",0.593655811,4,NA,NA,NA,NA
"天津市","120000",0.69770718,4,NA,NA,NA,NA
"河北省","130000",0.640250434,4,NA,NA,NA,NA
"山西省","140000",0.544707664,4,NA,NA,NA,NA
"宁夏回族自治区","640000",0.566392154,4,0.672734228672974,-0.0630343661041393,1.40850282345009,0
"甘肃省","620000",0.566206887,4,0.672225565922091,-0.0630205637315085,1.40747169557569,0
"山东省","370000",0.718665491,4,NA,NA,NA,NA
"陕西省","610000",0.780959942,4,1.26184422287127,-0.0904468940307079,2.61413533977325,0
"青海省","630000",0.551731684,4,0.632482942694091,-0.0620442058657553,1.32701009125394,0
"河南省","410000",0.685587451,4,0.999992767238578,-0.0763383461457943,2.07632388062295,0
"江苏省","320000",0.676686823,4,NA,NA,NA,NA
"安徽省","340000",0.668888735,4,NA,NA,NA,NA
"上海市","310000",0.736387375,4,NA,NA,NA,NA
"西藏自治区","540000",0.551986038,4,0.633181288353806,-0.0620595214469062,1.32842209815452,0
"湖北省","420000",0.749728784,4,NA,NA,NA,NA
"四川省","510000",0.820962494,4,1.37167386410631,-0.0968224601610406,2.84017018837367,0
"重庆市","500000",0.876865856,4,NA,NA,NA,NA
"浙江省","330000",0.73207247,4,NA,NA,NA,NA
"江西省","360000",0.694281998,4,NA,NA,NA,NA
"湖南省","430000",0.709622356,4,NA,NA,NA,NA
"贵州省","520000",0.703049282,4,NA,NA,NA,NA
"福建省","350000",0.535119346,4,NA,NA,NA,NA
"云南省","530000",0.550313342,4,0.628588791315735,-0.0619600876795393,1.31913767031101,0
"广西壮族自治区","450000",0.697405773,4,NA,NA,NA,NA
"广东省","440000",0.693117218,4,NA,NA,NA,NA
"海南省","460000",0.808871887,4,NA,NA,NA,NA
