省份,iso,tele_e,lag,estimate_e,lower_ci_e,upper_ci_e,sig
黑龙江省,230000,0.592757784,4,NA,NA,NA,NA
吉林省,220000,0.562162909,4,NA,NA,NA,NA
内蒙古自治区,150000,0.608904501,4,0.956211095,0.390804125,1.521618066,1
新疆维吾尔自治区,650000,0.869026001,4,1.023310119,0.362515163,1.684105075,0
辽宁省,210000,0.683873748,4,NA,NA,NA,NA
北京市,110000,0.657671343,4,NA,NA,NA,NA
天津市,120000,0.585728355,4,NA,NA,NA,NA
河北省,130000,0.535806517,4,NA,NA,NA,NA
山西省,140000,0.653380632,4,NA,NA,NA,NA
宁夏回族自治区,640000,0.794808805,4,1.004165599,0.504770967,1.503560231,0
甘肃省,620000,0.809319375,4,1.007908638,0.482224953,1.533592324,0
山东省,370000,0.61462279,4,NA,NA,NA,NA
陕西省,610000,0.750042761,4,0.99261808,0.550064902,1.435171259,0
青海省,630000,0.636659688,4,0.963370619,0.453238553,1.473502685,1
河南省,410000,0.750178907,4,0.992653199,0.549992627,1.435313772,0
江苏省,320000,0.654435956,4,NA,NA,NA,NA
安徽省,340000,0.707038712,4,NA,NA,NA,NA
上海市,310000,0.8213917,4,NA,NA,NA,NA
西藏自治区,540000,0.500579205,4,0.928268301,0.082029328,1.774507274,1
湖北省,420000,0.720866868,4,NA,NA,NA,NA
四川省,510000,0.825915231,4,1.012189583,0.452795242,1.571583924,0
重庆市,500000,0.738457741,4,NA,NA,NA,NA
浙江省,330000,0.831647693,4,NA,NA,NA,NA
江西省,360000,0.79643261,4,NA,NA,NA,NA
湖南省,430000,0.743115144,4,NA,NA,NA,NA
贵州省,520000,0.783541687,4,NA,NA,NA,NA
福建省,350000,0.810759891,4,NA,NA,NA,NA
云南省,530000,0.646544986,4,0.965920557,0.472756476,1.459084639,0
广西壮族自治区,450000,0.649788744,4,NA,NA,NA,NA
广东省,440000,0.657572742,4,NA,NA,NA,NA
海南省,460000,0.936057134,4,NA,NA,NA,NA
