"省份","iso","tele_e","lag","estimate_e","lower_ci_e","upper_ci_e","sig"
"黑龙江省","230000",0.592757784,6,NA,NA,NA,NA
"吉林省","220000",0.562162909,6,NA,NA,NA,NA
"内蒙古自治区","150000",0.608904501,6,-0.9110682287637,-1.43751181642553,-0.384624641101865,1
"新疆维吾尔自治区","650000",0.869026001,6,NA,NA,NA,NA
"辽宁省","210000",0.683873748,6,-0.568221029836967,-0.975267971414463,-0.161174088259471,1
"北京市","110000",0.657671343,6,NA,NA,NA,NA
"天津市","120000",0.585728355,6,-1.0170567114547,-1.59805378823135,-0.436059634678056,1
"河北省","130000",0.535806517,6,-1.2453578216896,-1.95903718323405,-0.531678460145143,1
"山西省","140000",0.653380632,6,-0.707671268774914,-1.14987384185732,-0.265468695692509,1
"宁夏回族自治区","640000",0.794808805,6,NA,NA,NA,NA
"甘肃省","620000",0.809319375,6,0.00546329481094771,-0.510396673608889,0.521323263230784,0
"山东省","370000",0.61462279,6,-0.884917514374058,-1.39884577881786,-0.370989249930252,1
"陕西省","610000",0.750042761,6,-0.265618807317691,-0.682626486991166,0.151388872355784,0
"青海省","630000",0.636659688,6,NA,NA,NA,NA
"河南省","410000",0.750178907,6,-0.264996188355744,-0.682147618836673,0.152155242125184,0
"江苏省","320000",0.654435956,6,NA,NA,NA,NA
"安徽省","340000",0.707038712,6,-0.462283684345974,-0.858757972461582,-0.0658093962303662,1
"上海市","310000",0.8213917,6,NA,NA,NA,NA
"西藏自治区","540000",0.500579205,6,NA,NA,NA,NA
"湖北省","420000",0.720866868,6,-0.399045160009163,-0.79648524945493,-0.00160507056339615,1
"四川省","510000",0.825915231,6,0.0813589849916352,-0.472084539052672,0.634802509035943,0
"重庆市","500000",0.738457741,6,NA,NA,NA,NA
"浙江省","330000",0.831647693,6,0.107574514936253,-0.459560488755712,0.674709518628217,0
"江西省","360000",0.79643261,6,NA,NA,NA,NA
"湖南省","430000",0.743115144,6,-0.297299985650551,-0.707607616445196,0.113007645144095,0
"贵州省","520000",0.783541687,6,NA,NA,NA,NA
"福建省","350000",0.810759891,6,0.0120510210503373,-0.506939040191552,0.531041082292227,0
"云南省","530000",0.646544986,6,-0.738931847982208,-1.19186450261735,-0.285999193347069,1
"广西壮族自治区","450000",0.649788744,6,-0.724097587418058,-1.17182201736765,-0.276373157468467,1
"广东省","440000",0.657572742,6,-0.688500032186493,-1.12459670551633,-0.252403358856657,1
"海南省","460000",0.936057134,6,0.585056760267542,-0.270703362601126,1.44081688313621,0
