"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省","230000",0.719710549,6,0.187207536676804,0.15111970498466,0.223295368368949,1
"吉林省","220000",0.641250374,6,0.194064304484255,0.156854582409592,0.231274026558918,1
"内蒙古自治区","150000",0.807231788,6,0.179558907113547,0.123142290937482,0.235975523289612,1
"新疆维吾尔自治区","650000",0.725999111,6,0.186657968574557,0.149670188111178,0.223645749037936,1
"辽宁省","210000",0.756878475,6,0.183959368565192,0.140984439909169,0.226934297221216,1
"北京市","110000",0.593655811,6,0.198223674092952,0.150800416336137,0.245646931849767,1
"天津市","120000",0.69770718,6,0.189130448424257,0.155119551752276,0.223141345096238,1
"河北省","130000",0.640250434,6,0.194151690937336,0.156783273671602,0.231520108203069,1
"山西省","140000",0.544707664,6,0.202501335703877,0.141023568282595,0.263979103125159,1
"宁夏回族自治区","640000",0.566392154,6,0.200606291333239,0.145640810668072,0.255571771998407,1
"甘肃省","620000",0.566206887,6,0.20062248213069,0.145603011625307,0.255641952636073,1
"山东省","370000",0.718665491,6,0.187298866068452,0.151348301001328,0.223249431135576,1
"陕西省","610000",0.780959942,6,0.181854848307855,0.13286619167021,0.230843504945499,1
"青海省","630000",0.551731684,6,0.201887494679244,0.142558717063829,0.261216272294658,1
"河南省","410000",0.685587451,6,0.190189612103693,0.156534077579537,0.223845146627848,1
"江苏省","320000",0.676686823,6,0.190967453085267,0.15719710428667,0.224737801883865,1
"安徽省","340000",0.668888735,6,0.191648941225691,0.157518340598125,0.225779541853257,1
"上海市","310000",0.736387375,6,0.185750120559045,0.147017006158225,0.224483234959865,1
"西藏自治区","540000",0.551986038,6,0.201865266251651,0.14261364928396,0.261116883219342,1
"湖北省","420000",0.749728784,6,0.184584192191727,0.143196233281862,0.225972151101592,1
"四川省","510000",0.820962494,6,0.178358957420924,0.117806472554293,0.238911442287556,1
"重庆市","500000",0.876865856,6,0.17347346777105,0.0949577030179694,0.25198923252413,1
"浙江省","330000",0.73207247,6,0.186127207427589,0.148156131355462,0.224098283499716,1
"江西省","360000",0.694281998,6,0.189429780890342,0.155578602670241,0.223280959110443,1
"湖南省","430000",0.709622356,6,0.188089160978531,0.153171236075778,0.223007085881285,1
"贵州省","520000",0.703049282,6,0.188663593067157,0.154312399048752,0.223014787085562,1
"福建省","350000",0.535119346,6,0.203339275081274,0.13887586662802,0.267802683534528,1
"云南省","530000",0.550313342,6,0.202011445992959,0.14225153297598,0.261771359009937,1
"广西壮族自治区","450000",0.697405773,6,0.189156788893349,0.155161796929,0.223151780857697,1
"广东省","440000",0.693117218,6,0.189531572990688,0.15572414464931,0.223339001332066,1
"海南省","460000",0.808871887,6,0.179415576079373,0.122512787017486,0.236318365141259,1
