"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省","230000",0.719710549,4,0.319619258858383,0.264658905610584,0.374579612106181,1
"吉林省","220000",0.641250374,4,0.419184255213469,0.360438045229649,0.477930465197288,1
"内蒙古自治区","150000",0.807231788,4,0.208555883814577,0.122324090379133,0.294787677250021,1
"新疆维吾尔自治区","650000",0.725999111,4,0.311639151082575,0.255374261359694,0.367904040805455,1
"辽宁省","210000",0.756878475,4,0.272453618242413,0.207146656714602,0.337760579770223,1
"北京市","110000",0.593655811,4,0.479581169847127,0.403857673093303,0.555304666600952,1
"天津市","120000",0.69770718,4,0.347541263292921,0.29536141703993,0.399721109545911,1
"河北省","130000",0.640250434,4,0.420453166765798,0.36143300606482,0.479473327466777,1
"山西省","140000",0.544707664,4,0.541695765916321,0.443337249605691,0.64005428222695,1
"宁夏回族自治区","640000",0.566392154,4,0.51417841500789,0.426260524078336,0.602096305937443,1
"甘肃省","620000",0.566206887,4,0.514413516550548,0.426408803465802,0.602418229635293,1
"山东省","370000",0.718665491,4,0.320945424597381,0.266181291143831,0.375709558050932,1
"陕西省","610000",0.780959942,4,0.241894533023955,0.167273564931659,0.31651550111625,1
"青海省","630000",0.551731684,4,0.532782370990831,0.437862804108861,0.627701937872801,1
"河南省","410000",0.685587451,4,0.362921050219341,0.310978629294758,0.414863471143923,1
"江苏省","320000",0.676686823,4,0.374215837598772,0.321843042963996,0.426588632233548,1
"安徽省","340000",0.668888735,4,0.384111515288716,0.330950198338758,0.437272832238675,1
"上海市","310000",0.736387375,4,0.298456571929576,0.239602426645218,0.357310717213934,1
"西藏自治区","540000",0.551986038,4,NA,NA,NA,NA
"湖北省","420000",0.749728784,4,0.281526488120093,0.218651166123419,0.344401810116766,1
"四川省","510000",0.820962494,4,0.191131786903721,0.0984111339296709,0.28385243987777,1
"重庆市","500000",0.876865856,4,0.120191108607157,-0.000791013006548158,0.241173230220862,0
"浙江省","330000",0.73207247,4,0.303932133264961,0.246215838220654,0.361648428309267,1
"江西省","360000",0.694281998,4,0.35188777709238,0.299871298747282,0.403904255437478,1
"湖南省","430000",0.709622356,4,0.332421051605778,0.279096116893662,0.385745986317895,1
"贵州省","520000",0.703049282,4,0.340762201607696,0.288178281381287,0.393346121834105,1
"福建省","350000",0.535119346,4,0.553863223441382,0.450735122641224,0.656991324241541,1
"云南省","530000",0.550313342,4,0.534582229531298,0.438972289608416,0.630192169454179,1
"广西壮族自治区","450000",0.697405773,4,0.34792374506608,0.295761295493331,0.400086194638829,1
"广东省","440000",0.693117218,4,0.353365868575791,0.301387728852609,0.405344008298973,1
"海南省","460000",0.808871887,4,0.206474618370586,0.119480699961895,0.293468536779277,1
