"省份","iso","tele_e","lag","estimate_e","lower_ci_e","upper_ci_e","sig"
"黑龙江省","230000",0.592757784,6,0.106773296245246,0.00631846240550471,0.207228130084987,1
"吉林省","220000",0.562162909,6,0.0798573317458253,-0.0337936385855393,0.19350830207719,0
"内蒙古自治区","150000",0.608904501,6,0.120978435555479,0.0268053503547417,0.215151520756217,1
"新疆维吾尔自治区","650000",0.869026001,6,0.34982137279696,0.228414595394599,0.471228150199321,1
"辽宁省","210000",0.683873748,6,0.186932932535783,0.111951161304962,0.261914703766604,1
"北京市","110000",0.657671343,6,0.16388126120915,0.0844944374187951,0.243268084999504,1
"天津市","120000",0.585728355,6,0.100589127772088,-0.00276169020659076,0.203939945750767,0
"河北省","130000",0.535806517,6,0.0566701897357729,-0.0693636301852619,0.182704009656808,0
"山西省","140000",0.653380632,6,0.160106490926438,0.079731319719224,0.240481662133652,1
"宁夏回族自治区","640000",0.794808805,6,0.284528495712725,0.194219073215341,0.37483791821011,1
"甘肃省","620000",0.809319375,6,0.297294228110271,0.201718121703692,0.392870334516849,1
"山东省","370000",0.61462279,6,0.126009123333136,0.0339218131537367,0.218096433512535,1
"陕西省","610000",0.750042761,6,0.245145388212418,0.167173697583005,0.323117078841831,1
"青海省","630000",0.636659688,6,0.145396173100306,0.060540396550933,0.230251949649678,1
"河南省","410000",0.750178907,6,0.245265163204234,0.167266848335274,0.323263478073193,1
"江苏省","320000",0.654435956,6,0.161034916465663,0.0809092842371999,0.241160548694126,1
"安徽省","340000",0.707038712,6,0.20731240290964,0.133637772579817,0.280987033239462,1
"上海市","310000",0.8213917,6,0.307914904649249,0.207598094267691,0.408231715030807,1
"西藏自治区","540000",0.500579205,6,0.0256788201288697,-0.117929252429853,0.169286892687593,0
"湖北省","420000",0.720866868,6,0.219477778842323,0.145356589005433,0.293598968679212,1
"四川省","510000",0.825915231,6,0.311894499264622,0.209727253385707,0.414061745143538,1
"重庆市","500000",0.738457741,6,0.234953420209768,0.158963020968075,0.31094381945146,1
"浙江省","330000",0.831647693,6,0.316937655796109,0.21237245076288,0.421502860829339,1
"江西省","360000",0.79643261,6,0.285957044701207,0.19508404519169,0.376830044210724,1
"湖南省","430000",0.743115144,6,0.239050789256299,0.162332503409783,0.315769075102815,1
"贵州省","520000",0.783541687,6,0.274616203274898,0.188019715214922,0.361212691334874,1
"福建省","350000",0.810759891,6,0.298561527862823,0.202435798500417,0.394687257225228,1
"云南省","530000",0.646544986,6,0.154092803827975,0.0720027190421775,0.236182888613772,1
"广西壮族自治区","450000",0.649788744,6,0.156946512992425,0.0756912079009,0.23820181808395,1
"广东省","440000",0.657572742,6,0.163794516582293,0.084385768315908,0.243203264848678,1
"海南省","460000",0.936057134,6,0.408792282015707,0.253697426280459,0.563887137750955,1
