"省份","iso","tele_e","lag","estimate_e","lower_ci_e","upper_ci_e","sig"
"黑龙江省","230000",0.592757784,4,0.639473811671903,0.339681102605757,0.939266520738049,1
"吉林省","220000",0.562162909,4,0.627720246232646,0.287789691804473,0.967650800660819,1
"内蒙古自治区","150000",0.608904501,4,0.645676860218061,0.365028090506079,0.926325629930044,1
"新疆维吾尔自治区","650000",0.869026001,4,0.745607161368416,0.382253671596267,1.10896065114057,1
"辽宁省","210000",0.683873748,4,0.674477629972677,0.45255524151563,0.896400018429724,1
"北京市","110000",0.657671343,4,0.66441151001522,0.428965281245211,0.89985773878523,1
"天津市","120000",0.585728355,4,0.636773331485201,0.328163889821137,0.945382773149265,1
"河北省","130000",0.535806517,4,0.617594969430087,0.240071102039797,0.995118836820378,1
"山西省","140000",0.653380632,4,0.662763157063315,0.424287402700927,0.901238911425703,1
"宁夏回族自治区","640000",0.794808805,4,0.717095305382598,0.448331335305271,0.985859275459926,1
"甘肃省","620000",0.809319375,4,0.722669798955653,0.437847104278288,1.00749249363302,1
"山东省","370000",0.61462279,4,0.647873642651788,0.373588012290749,0.922159273012827,1
"陕西省","610000",0.750042761,4,0.699897633301552,0.468845755975642,0.930949510627461,1
"青海省","630000",0.636659688,4,0.656339509001012,0.404146284094775,0.908532733907249,1
"河南省","410000",0.750178907,4,0.699949936209156,0.468816519818173,0.931083352600139,1
"江苏省","320000",0.654435956,4,0.663168578549548,0.425457584262837,0.900879572836259,1
"安徽省","340000",0.707038712,4,0.683376862941337,0.465483612053206,0.901270113829467,1
"上海市","310000",0.8213917,4,0.727307597341542,0.428046289739734,1.02656890494335,1
"西藏自治区","540000",0.500579205,4,0.604061770917556,0.173265240630345,1.03485830120477,1
"湖北省","420000",0.720866868,4,0.688689195037815,0.469433541137181,0.907944848938448,1
"四川省","510000",0.825915231,4,0.729045392237746,0.424152005483078,1.03393877899241,1
"重庆市","500000",0.738457741,4,0.695447041799377,0.470464706242863,0.920429377355891,1
"浙江省","330000",0.831647693,4,0.731247619481526,0.41905854151295,1.0434366974501,1
"江西省","360000",0.79643261,4,0.717719118956868,0.447235736330701,0.988202501583036,1
"湖南省","430000",0.743115144,4,0.697236266005637,0.470023758397935,0.924448773613338,1
"贵州省","520000",0.783541687,4,0.712766841588423,0.455337189702467,0.970196493474379,1
"福建省","350000",0.810759891,4,0.72322319880031,0.436725786931485,1.00972061066913,1
"云南省","530000",0.646544986,4,0.660137122062989,0.416408059785485,0.903866184340494,1
"广西壮族自治区","450000",0.649788744,4,0.661383269397211,0.420210888266832,0.90255565052759,1
"广东省","440000",0.657572742,4,0.6643736306872,0.42886018196113,0.899887079413269,1
"海南省","460000",0.936057134,4,0.771358363430297,0.305922698611323,1.23679402824927,1
