"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省","230000",0.719710549,6,NA,NA,NA,NA
"吉林省","220000",0.641250374,6,NA,NA,NA,NA
"内蒙古自治区","150000",0.807231788,6,NA,NA,NA,NA
"新疆维吾尔自治区","650000",0.725999111,6,NA,NA,NA,NA
"辽宁省","210000",0.756878475,6,NA,NA,NA,NA
"北京市","110000",0.593655811,6,NA,NA,NA,NA
"天津市","120000",0.69770718,6,NA,NA,NA,NA
"河北省","130000",0.640250434,6,NA,NA,NA,NA
"山西省","140000",0.544707664,6,NA,NA,NA,NA
"宁夏回族自治区","640000",0.566392154,6,NA,NA,NA,NA
"甘肃省","620000",0.566206887,6,-0.0306694900133982,-0.421515731884721,0.360176751857925,0
"山东省","370000",0.718665491,6,-0.159880829542241,-0.372156581473812,0.0523949223893291,0
"陕西省","610000",0.780959942,6,-0.212676468802614,-0.486921367420264,0.0615684298150369,0
"青海省","630000",0.551731684,6,NA,NA,NA,NA
"河南省","410000",0.685587451,6,-0.131846610775627,-0.347575443878736,0.0838822223274818,0
"江苏省","320000",0.676686823,6,NA,NA,NA,NA
"安徽省","340000",0.668888735,6,-0.117694156232808,-0.345493430261574,0.110105117795957,0
"上海市","310000",0.736387375,6,NA,NA,NA,NA
"西藏自治区","540000",0.551986038,6,NA,NA,NA,NA
"湖北省","420000",0.749728784,6,NA,NA,NA,NA
"四川省","510000",0.820962494,6,-0.246579332877719,-0.589002887690717,0.0958442219352793,0
"重庆市","500000",0.876865856,6,-0.293958412173144,-0.74753180849821,0.159614984151923,0
"浙江省","330000",0.73207247,6,NA,NA,NA,NA
"江西省","360000",0.694281998,6,NA,NA,NA,NA
"湖南省","430000",0.709622356,6,-0.152216614101241,-0.362597802070744,0.0581645738682616,0
"贵州省","520000",0.703049282,6,-0.146645818658551,-0.356995986785314,0.0637043494682125,0
"福建省","350000",0.535119346,6,NA,NA,NA,NA
"云南省","530000",0.550313342,6,-0.0171994320079355,-0.440070654456223,0.405671790440352,0
"广西壮族自治区","450000",0.697405773,6,-0.141862845848875,-0.353092943825138,0.069367252127388,0
"广东省","440000",0.693117218,6,-0.138228220306894,-0.350680933688388,0.0742244930745995,0
"海南省","460000",0.808871887,6,NA,NA,NA,NA
