省份,iso,tele_e,lag,estimate_e,lower_ci_e,upper_ci_e,sig
黑龙江省,230000,0.592757784,6,NA,NA,NA,NA
吉林省,220000,0.562162909,6,NA,NA,NA,NA
内蒙古自治区,150000,0.608904501,6,NA,NA,NA,NA
新疆维吾尔自治区,650000,0.869026001,6,NA,NA,NA,NA
辽宁省,210000,0.683873748,6,NA,NA,NA,NA
北京市,110000,0.657671343,6,NA,NA,NA,NA
天津市,120000,0.585728355,6,NA,NA,NA,NA
河北省,130000,0.535806517,6,NA,NA,NA,NA
山西省,140000,0.653380632,6,NA,NA,NA,NA
宁夏回族自治区,640000,0.794808805,6,NA,NA,NA,NA
甘肃省,620000,0.809319375,6,-1.452282418,-2.129113451,-0.775451384,1
山东省,370000,0.61462279,6,-0.135081241,-0.912309103,0.642146621,0
陕西省,610000,0.750042761,6,-1.051252139,-1.531256145,-0.571248133,1
青海省,630000,0.636659688,6,NA,NA,NA,NA
河南省,410000,0.750178907,6,-1.052173222,-1.53243757,-0.571908874,1
江苏省,320000,0.654435956,6,NA,NA,NA,NA
安徽省,340000,0.707038712,6,-0.760312347,-1.223273631,-0.297351063,1
上海市,310000,0.8213917,6,NA,NA,NA,NA
西藏自治区,540000,0.500579205,6,NA,NA,NA,NA
湖北省,420000,0.720866868,6,NA,NA,NA,NA
四川省,510000,0.825915231,6,-1.564560098,-2.31591742,-0.813202777,1
重庆市,500000,0.738457741,6,-0.972874791,-1.43518897,-0.510560612,1
浙江省,330000,0.831647693,6,NA,NA,NA,NA
江西省,360000,0.79643261,6,NA,NA,NA,NA
湖南省,430000,0.743115144,6,-1.004384007,-1.47272362,-0.536044394,1
贵州省,520000,0.783541687,6,-1.277885928,-1.852173465,-0.70359839,1
福建省,350000,0.810759891,6,NA,NA,NA,NA
云南省,530000,0.646544986,6,-0.351047813,-0.986648075,0.284552448,0
广西壮族自治区,450000,0.649788744,6,-0.372993149,-0.995506058,0.249519761,0
广东省,440000,0.657572742,6,-0.425655045,-1.018040725,0.166730635,0
海南省,460000,0.936057134,6,NA,NA,NA,NA
