"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省","230000",0.719710549,6,NA,NA,NA,NA
"吉林省","220000",0.641250374,6,NA,NA,NA,NA
"内蒙古自治区","150000",0.807231788,6,NA,NA,NA,NA
"新疆维吾尔自治区","650000",0.725999111,6,NA,NA,NA,NA
"辽宁省","210000",0.756878475,6,NA,NA,NA,NA
"北京市","110000",0.593655811,6,NA,NA,NA,NA
"天津市","120000",0.69770718,6,NA,NA,NA,NA
"河北省","130000",0.640250434,6,NA,NA,NA,NA
"山西省","140000",0.544707664,6,NA,NA,NA,NA
"宁夏回族自治区","640000",0.566392154,6,NA,NA,NA,NA
"甘肃省","620000",0.566206887,6,NA,NA,NA,NA
"山东省","370000",0.718665491,6,NA,NA,NA,NA
"陕西省","610000",0.780959942,6,NA,NA,NA,NA
"青海省","630000",0.551731684,6,NA,NA,NA,NA
"河南省","410000",0.685587451,6,NA,NA,NA,NA
"江苏省","320000",0.676686823,6,NA,NA,NA,NA
"安徽省","340000",0.668888735,6,0.324578645219899,0.0873301747589106,0.561827115680887,1
"上海市","310000",0.736387375,6,NA,NA,NA,NA
"西藏自治区","540000",0.551986038,6,NA,NA,NA,NA
"湖北省","420000",0.749728784,6,0.144285620844351,-0.105234901474961,0.393806143163662,0
"四川省","510000",0.820962494,6,-0.0145829247869178,-0.376100884234121,0.346935034660285,0
"重庆市","500000",0.876865856,6,-0.139261055644324,-0.614496244229762,0.335974132941115,0
"浙江省","330000",0.73207247,6,0.18366350705004,-0.0496822650020859,0.417009279102167,0
"江西省","360000",0.694281998,6,0.267945475872937,0.0444444427604175,0.491446508985457,1
"湖南省","430000",0.709622356,6,0.233732736357853,0.0106406211743431,0.456824851541363,1
"贵州省","520000",0.703049282,6,0.248392294405675,0.0258787314664049,0.470905857344945,1
"福建省","350000",0.535119346,6,0.622917006094457,0.160518215019491,1.08531579716942,1
"云南省","530000",0.550313342,6,0.589030689533838,0.158433260182282,1.01962811888539,1
"广西壮族自治区","450000",0.697405773,6,0.260978695803089,0.0380594610473208,0.483897930558856,1
"广东省","440000",0.693117218,6,0.270543219337098,0.0467605412549492,0.494325897419246,1
"海南省","460000",0.808871887,6,NA,NA,NA,NA
