"省份","iso","tele_e","lag","estimate_e","lower_ci_e","upper_ci_e","sig"
"黑龙江省","230000",0.592757784,6,NA,NA,NA,NA
"吉林省","220000",0.562162909,6,NA,NA,NA,NA
"内蒙古自治区","150000",0.608904501,6,NA,NA,NA,NA
"新疆维吾尔自治区","650000",0.869026001,6,NA,NA,NA,NA
"辽宁省","210000",0.683873748,6,NA,NA,NA,NA
"北京市","110000",0.657671343,6,NA,NA,NA,NA
"天津市","120000",0.585728355,6,NA,NA,NA,NA
"河北省","130000",0.535806517,6,NA,NA,NA,NA
"山西省","140000",0.653380632,6,NA,NA,NA,NA
"宁夏回族自治区","640000",0.794808805,6,NA,NA,NA,NA
"甘肃省","620000",0.809319375,6,NA,NA,NA,NA
"山东省","370000",0.61462279,6,NA,NA,NA,NA
"陕西省","610000",0.750042761,6,NA,NA,NA,NA
"青海省","630000",0.636659688,6,NA,NA,NA,NA
"河南省","410000",0.750178907,6,NA,NA,NA,NA
"江苏省","320000",0.654435956,6,NA,NA,NA,NA
"安徽省","340000",0.707038712,6,0.251404169217807,-0.276243830473072,0.779052168908686,0
"上海市","310000",0.8213917,6,NA,NA,NA,NA
"西藏自治区","540000",0.500579205,6,NA,NA,NA,NA
"湖北省","420000",0.720866868,6,0.0645104175020865,-0.433638336350876,0.562659171355049,0
"四川省","510000",0.825915231,6,-1.35526548556589,-2.05869921963359,-0.6518317514982,1
"重庆市","500000",0.738457741,6,-0.17323814788326,-0.653601592793028,0.307125297026507,0
"浙江省","330000",0.831647693,6,-1.43274228939627,-2.16247752080357,-0.703007057988971,1
"江西省","360000",0.79643261,6,-0.956794594067224,-1.54038040104482,-0.373208787089631,1
"湖南省","430000",0.743115144,6,-0.236185045497234,-0.715867794041942,0.243497703047474,0
"贵州省","520000",0.783541687,6,-0.782567968149172,-1.32476228354317,-0.240373652755173,1
"福建省","350000",0.810759891,6,-1.15043424478966,-1.78859060482629,-0.512277884753027,1
"云南省","530000",0.646544986,6,1.06900410137094,0.305877145297076,1.83213105744479,1
"广西壮族自治区","450000",0.649788744,6,1.02516325214434,0.277515044181762,1.77281146010691,1
"广东省","440000",0.657572742,6,0.919959015978091,0.208525845632977,1.63139218632321,1
"海南省","460000",0.936057134,6,NA,NA,NA,NA
