"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省","230000",0.719710549,6,0.259513538262497,0.238260155882507,0.280766920642488,1
"吉林省","220000",0.641250374,6,0.254539959027948,0.232625856284055,0.276454061771841,1
"内蒙古自治区","150000",0.807231788,6,0.265061497043783,0.231835784665057,0.298287209422509,1
"新疆维吾尔自治区","650000",0.725999111,6,0.259912169305295,0.23812877571486,0.281695562895731,1
"辽宁省","210000",0.756878475,6,0.261869607758198,0.23656017383956,0.287179041676837,1
"北京市","110000",0.593655811,6,0.251522946508994,0.22359373648029,0.279452156537699,1
"天津市","120000",0.69770718,6,0.258118747858977,0.238088544930125,0.278148950787829,1
"河北省","130000",0.640250434,6,0.254476572974835,0.232469009099598,0.276484136850071,1
"山西省","140000",0.544707664,6,0.248420130494515,0.212213729677227,0.284626531311803,1
"宁夏回族自治区","640000",0.566392154,6,0.249794707203983,0.217423619125253,0.282165795282713,1
"甘肃省","620000",0.566206887,6,0.249782963155438,0.217380078577308,0.282185847733567,1
"山东省","370000",0.718665491,6,0.259447292185839,0.238274750907481,0.280619833464196,1
"陕西省","610000",0.780959942,6,0.263396128495741,0.234545000484396,0.292247256507085,1
"青海省","630000",0.551731684,6,0.248865382114398,0.213924596323926,0.28380616790487,1
"河南省","410000",0.685587451,6,0.257350479976796,0.237529562207427,0.277171397746165,1
"江苏省","320000",0.676686823,6,0.256786270445078,0.236897734546189,0.276674806343968,1
"安徽省","340000",0.668888735,6,0.256291950765751,0.236191250003661,0.27639265152784,1
"上海市","310000",0.736387375,6,0.260570679869584,0.237759398267766,0.283381961471402,1
"西藏自治区","540000",0.551986038,6,0.248881505577959,0.21398616238334,0.283776848772578,1
"湖北省","420000",0.749728784,6,0.261416389871659,0.237041577770377,0.28579120197294,1
"四川省","510000",0.820962494,6,0.265931884526825,0.230270414868364,0.301593354185286,1
"重庆市","500000",0.876865856,6,0.269475590622111,0.22323491910186,0.315716262142362,1
"浙江省","330000",0.73207247,6,0.260297158660804,0.237934668001209,0.282659649320399,1
"江西省","360000",0.694281998,6,0.257901626063496,0.237965486899955,0.277837765227037,1
"湖南省","430000",0.709622356,6,0.25887404915584,0.238309665675975,0.279438432635705,1
"贵州省","520000",0.703049282,6,0.258457382938188,0.23822676703667,0.278687998839706,1
"福建省","350000",0.535119346,6,0.247812328392377,0.20984757946919,0.285777077315564,1
"云南省","530000",0.550313342,6,0.248775473618544,0.21358077715743,0.283970170079658,1
"广西壮族自治区","450000",0.697405773,6,0.258099641712497,0.238078805620528,0.278120477804467,1
"广东省","440000",0.693117218,6,0.257827790826437,0.23791741749193,0.277738164160944,1
"海南省","460000",0.808871887,6,0.265165462684046,0.231653426141174,0.298677499226918,1
