"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省","230000",0.719710549,6,-0.907372094849692,-1.05590490957498,-0.758839280124404,1
"吉林省","220000",0.641250374,6,-0.754851123370294,-0.913705046124627,-0.595997200615962,1
"内蒙古自治区","150000",0.807231788,6,-1.07750712701551,-1.31046048326301,-0.844553770767999,1
"新疆维吾尔自治区","650000",0.725999111,6,-0.919596609840238,-1.07164615173097,-0.76754706794951,1
"辽宁省","210000",0.756878475,6,-0.979623886046873,-1.15607137058719,-0.803176401506557,1
"北京市","110000",0.593655811,6,-0.662330695192593,-0.86707742451701,-0.457583965868176,1
"天津市","120000",0.69770718,6,-0.864599118423121,-1.00564915815812,-0.723549078688124,1
"河北省","130000",0.640250434,6,-0.752907311490942,-0.912502129745064,-0.59331249323682,1
"山西省","140000",0.544707664,6,-0.567178996479758,-0.833092532493452,-0.301265460466064,1
"宁夏回族自治区","640000",0.566392154,6,-0.609332094925374,-0.847032808834498,-0.37163138101625,1
"甘肃省","620000",0.566206887,6,-0.608971949121174,-0.846907280035053,-0.371036618207295,1
"山东省","370000",0.718665491,6,-0.905340576803596,-1.05334458847323,-0.757336565133958,1
"陕西省","610000",0.780959942,6,-1.02643653643274,-1.22803174389613,-0.824841328969355,1
"青海省","630000",0.551731684,6,-0.580833189248136,-0.837454051322039,-0.324212327174234,1
"河南省","410000",0.685587451,6,-0.841039231625174,-0.981464162007696,-0.700614301242653,1
"江苏省","320000",0.676686823,6,-0.823737047053999,-0.965336124966979,-0.682137969141019,1
"安徽省","340000",0.668888735,6,-0.808578121427822,-0.9523168655145,-0.664839377341144,1
"上海市","310000",0.736387375,6,-0.939790652451849,-1.09882378408093,-0.780757520822771,1
"西藏自治区","540000",0.551986038,6,NA,NA,NA,NA
"湖北省","420000",0.749728784,6,-0.965725397838078,-1.13560940366211,-0.795841392014048,1
"四川省","510000",0.820962494,6,-1.10419863794086,-1.35467933350361,-0.853717942378119,1
"重庆市","500000",0.876865856,6,-1.2128707774206,-1.53969996904747,-0.886041585793727,1
"浙江省","330000",0.73207247,6,-0.931402785582558,-1.08736653002065,-0.775439041144465,1
"江西省","360000",0.694281998,6,-0.857940809464037,-0.998554148268692,-0.717327470659382,1
"湖南省","430000",0.709622356,6,-0.887761368811524,-1.03188891863224,-0.743633818990807,1
"贵州省","520000",0.703049282,6,-0.8749837828313,-1.01711821664619,-0.732849349016407,1
"福建省","350000",0.535119346,6,-0.548539991708058,-0.827341697167779,-0.269738286248338,1
"云南省","530000",0.550313342,6,-0.578076033790224,-0.836562417953856,-0.319589649626592,1
"广西壮族自治区","450000",0.697405773,6,-0.86401320476118,-1.00501665549463,-0.723009754027726,1
"广东省","440000",0.693117218,6,-0.855676560408261,-0.996187902178134,-0.715165218638388,1
"海南省","460000",0.808871887,6,-1.08069536222913,-1.31570725601034,-0.845683468447932,1
