省份,iso,tele_e,lag,estimate_e,lower_ci_e,upper_ci_e,sig
黑龙江省,230000,0.592757784,6,-1.799838321,-2.235028929,-1.364647713,1
吉林省,220000,0.562162909,6,-1.542712216,-2.037766273,-1.047658159,1
内蒙古自治区,150000,0.608904501,6,-1.935538907,-2.341768291,-1.529309522,1
新疆维吾尔自治区,650000,0.869026001,6,-4.121657602,-4.622205086,-3.621110117,1
辽宁省,210000,0.683873748,6,-2.565597062,-2.877565577,-2.253628547,1
北京市,110000,0.657671343,6,-2.345386247,-2.680772954,-2.009999541,1
天津市,120000,0.585728355,6,-1.740761443,-2.189184799,-1.292338087,1
河北省,130000,0.535806517,6,-1.32120726,-1.871695818,-0.770718702,1
山西省,140000,0.653380632,6,-2.309326162,-2.649674748,-1.968977575,1
宁夏回族自治区,640000,0.794808805,6,-3.49791985,-3.864462873,-3.131376826,1
甘肃省,620000,0.809319375,6,-3.619869894,-4.008852573,-3.230887214,1
山东省,370000,0.61462279,6,-1.983596674,-2.380111632,-1.587081716,1
陕西省,610000,0.750042761,6,-3.121696102,-3.43745618,-2.805936023,1
青海省,630000,0.636659688,6,-2.168799645,-2.531071519,-1.806527772,1
河南省,410000,0.750178907,6,-3.122840303,-3.438703218,-2.806977388,1
江苏省,320000,0.654435956,6,-2.318195338,-2.657296763,-1.979093914,1
安徽省,340000,0.707038712,6,-2.76028055,-3.062819887,-2.457741213,1
上海市,310000,0.8213917,6,-3.721328387,-4.130654074,-3.312002699,1
西藏自治区,540000,0.500579205,6,0,NA,NA,NA
湖北省,420000,0.720866868,6,-2.876495435,-3.178942875,-2.574047995,1
四川省,510000,0.825915231,6,-3.759345143,-4.176636565,-3.342053721,1
重庆市,500000,0.738457741,6,-3.024333028,-3.33268463,-2.715981426,1
浙江省,330000,0.831647693,6,-3.807522023,-4.23515229,-3.379891756,1
江西省,360000,0.79643261,6,-3.511566666,-3.880499966,-3.142633367,1
湖南省,430000,0.743115144,6,-3.063474874,-3.374481112,-2.752468636,1
贵州省,520000,0.783541687,6,-3.403228495,-3.754115769,-3.05234122,1
福建省,350000,0.810759891,6,-3.631976309,-4.023311782,-3.240640837,1
云南省,530000,0.646544986,6,-2.251877879,-2.600711328,-1.90304443,1
广西壮族自治区,450000,0.649788744,6,-2.27913914,-2.623859836,-1.934418443,1
广东省,440000,0.657572742,6,-2.344557583,-2.680055039,-2.009060126,1
海南省,460000,0.936057134,6,-4.685002089,-5.331903361,-4.038100817,1
