"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省","230000",0.719710549,6,NA,NA,NA,NA
"吉林省","220000",0.641250374,6,NA,NA,NA,NA
"内蒙古自治区","150000",0.807231788,6,NA,NA,NA,NA
"新疆维吾尔自治区","650000",0.725999111,6,NA,NA,NA,NA
"辽宁省","210000",0.756878475,6,NA,NA,NA,NA
"北京市","110000",0.593655811,6,NA,NA,NA,NA
"天津市","120000",0.69770718,6,NA,NA,NA,NA
"河北省","130000",0.640250434,6,NA,NA,NA,NA
"山西省","140000",0.544707664,6,NA,NA,NA,NA
"宁夏回族自治区","640000",0.566392154,6,NA,NA,NA,NA
"甘肃省","620000",0.566206887,6,NA,NA,NA,NA
"山东省","370000",0.718665491,6,NA,NA,NA,NA
"陕西省","610000",0.780959942,6,NA,NA,NA,NA
"青海省","630000",0.551731684,6,NA,NA,NA,NA
"河南省","410000",0.685587451,6,-4.06520760630625,-4.47858722919837,-3.65182798341413,1
"江苏省","320000",0.676686823,6,NA,NA,NA,NA
"安徽省","340000",0.668888735,6,NA,NA,NA,NA
"上海市","310000",0.736387375,6,NA,NA,NA,NA
"西藏自治区","540000",0.551986038,6,NA,NA,NA,NA
"湖北省","420000",0.749728784,6,-3.59106284717787,-3.96149774010011,-3.22062795425563,1
"四川省","510000",0.820962494,6,-3.06448990754515,-3.83052082140805,-2.29845899368226,1
"重庆市","500000",0.876865856,6,NA,NA,NA,NA
"浙江省","330000",0.73207247,6,NA,NA,NA,NA
"江西省","360000",0.694281998,6,NA,NA,NA,NA
"湖南省","430000",0.709622356,6,-3.88753708234164,-4.21858367728552,-3.55649048739777,1
"贵州省","520000",0.703049282,6,-3.93612647770801,-4.28334061767741,-3.58891233773861,1
"福建省","350000",0.535119346,6,NA,NA,NA,NA
"云南省","530000",0.550313342,6,NA,NA,NA,NA
"广西壮族自治区","450000",0.697405773,6,-3.9778443543141,-4.34315822769645,-3.61253048093174,1
"广东省","440000",0.693117218,6,-4.00954615691748,-4.39086670754585,-3.62822560628911,1
"海南省","460000",0.808871887,6,NA,NA,NA,NA
