"省份","iso","tele_e","lag","estimate_e","lower_ci_e","upper_ci_e","sig"
"黑龙江省","230000",0.592757784,6,NA,NA,NA,NA
"吉林省","220000",0.562162909,6,NA,NA,NA,NA
"内蒙古自治区","150000",0.608904501,6,NA,NA,NA,NA
"新疆维吾尔自治区","650000",0.869026001,6,NA,NA,NA,NA
"辽宁省","210000",0.683873748,6,NA,NA,NA,NA
"北京市","110000",0.657671343,6,NA,NA,NA,NA
"天津市","120000",0.585728355,6,NA,NA,NA,NA
"河北省","130000",0.535806517,6,NA,NA,NA,NA
"山西省","140000",0.653380632,6,NA,NA,NA,NA
"宁夏回族自治区","640000",0.794808805,6,NA,NA,NA,NA
"甘肃省","620000",0.809319375,6,NA,NA,NA,NA
"山东省","370000",0.61462279,6,NA,NA,NA,NA
"陕西省","610000",0.750042761,6,NA,NA,NA,NA
"青海省","630000",0.636659688,6,NA,NA,NA,NA
"河南省","410000",0.750178907,6,-3.87348499531526,-4.57901605714297,-3.16795393348754,1
"江苏省","320000",0.654435956,6,NA,NA,NA,NA
"安徽省","340000",0.707038712,6,NA,NA,NA,NA
"上海市","310000",0.8213917,6,NA,NA,NA,NA
"西藏自治区","540000",0.500579205,6,NA,NA,NA,NA
"湖北省","420000",0.720866868,6,-3.47451283592006,-4.16989065642595,-2.77913501541417,1
"四川省","510000",0.825915231,6,-4.90434759518197,-6.04839289056955,-3.7603022997944,1
"重庆市","500000",0.738457741,6,NA,NA,NA,NA
"浙江省","330000",0.831647693,6,NA,NA,NA,NA
"江西省","360000",0.79643261,6,NA,NA,NA,NA
"湖南省","430000",0.743115144,6,-3.77733867203949,-4.46947386609653,-3.08520347798245,1
"贵州省","520000",0.783541687,6,-4.32759261914951,-5.17462883136836,-3.48055640693066,1
"福建省","350000",0.810759891,6,NA,NA,NA,NA
"云南省","530000",0.646544986,6,NA,NA,NA,NA
"广西壮族自治区","450000",0.649788744,6,-2.50705394921348,-3.57641132861472,-1.43769656981223,1
"广东省","440000",0.657572742,6,-2.61300353841769,-3.62458598984189,-1.6014210869935,1
"海南省","460000",0.936057134,6,NA,NA,NA,NA
