"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省","230000",0.719710549,6,1.39832410160347,1.27626131779179,1.52038688541515,1
"吉林省","220000",0.641250374,6,1.50286830838924,1.37701086425022,1.62872575252827,1
"内蒙古自治区","150000",0.807231788,6,1.28170648625704,1.09088401505867,1.47252895745541,1
"新疆维吾尔自治区","650000",0.725999111,6,1.389944911446,1.26483815831962,1.51505166457238,1
"辽宁省","210000",0.756878475,6,1.34879972389793,1.20344215654361,1.49415729125226,1
"北京市","110000",0.593655811,6,1.56628565147,1.40588214181619,1.7266891611238,1
"天津市","120000",0.69770718,6,1.42764247565399,1.31260467667708,1.5426802746309,1
"河北省","130000",0.640250434,6,1.50420067776178,1.37780646607838,1.63059488944517,1
"山西省","140000",0.544707664,6,1.63150657663042,1.42356536536606,1.83944778789478,1
"宁夏回族自治区","640000",0.566392154,6,1.60261309268644,1.41669891416853,1.78852727120435,1
"甘肃省","620000",0.566206887,6,1.60285995157451,1.41676315886547,1.78895674428356,1
"山东省","370000",0.718665491,6,1.39971658842439,1.27811809258981,1.52131508425898,1
"陕西省","610000",0.780959942,6,1.31671238958147,1.15101410503513,1.48241067412782,1
"青海省","630000",0.551731684,6,1.62214742596134,1.42147491624504,1.82281993567763,1
"河南省","410000",0.685587451,6,1.44379140031244,1.32995557139001,1.55762722923488,1
"江苏省","320000",0.676686823,6,1.45565103603407,1.34142686153079,1.56987521053735,1
"安徽省","340000",0.668888735,6,1.46604159308299,1.35059890976233,1.58148427640365,1
"上海市","310000",0.736387375,6,1.37610307614852,1.2450929392749,1.50711321302215,1
"西藏自治区","540000",0.551986038,6,1.62180851214713,1.42139698911306,1.8222200351812,1
"湖北省","420000",0.749728784,6,1.35832632480544,1.21833649322126,1.49831615638963,1
"四川省","510000",0.820962494,6,1.26341101639123,1.05859946294052,1.46822256984193,1
"重庆市","500000",0.876865856,6,1.18892261973715,0.92335241589056,1.45449282358374,1
"浙江省","330000",0.73207247,6,1.38185246837943,1.25341983520746,1.51028510155141,1
"江西省","360000",0.694281998,6,1.43220635707902,1.31770878670406,1.54670392745398,1
"湖南省","430000",0.709622356,6,1.4117661075012,1.29366039378259,1.5298718212198,1
"贵州省","520000",0.703049282,6,1.42052439547945,1.3043355813409,1.536713209618,1
"福建省","350000",0.535119346,6,1.64428252442457,1.42624273868963,1.86232231015951,1
"云南省","530000",0.550313342,6,1.62403729479404,1.42190652103563,1.82616806855245,1
"广西壮族自治区","450000",0.697405773,6,1.42804408520603,1.31306008200455,1.54302808840752,1
"广东省","440000",0.693117218,6,1.43375836739738,1.31940877576589,1.54810795902886,1
"海南省","460000",0.808871887,6,1.27952113746059,1.08705424449803,1.47198803042316,1
