"省份","iso","tele_e","lag","estimate_e","lower_ci_e","upper_ci_e","sig"
"黑龙江省","230000",0.592757784,6,-1.08037760245298,-1.41427348582955,-0.746481719076411,1
"吉林省","220000",0.562162909,6,-0.955978233916967,-1.33373597523118,-0.57822049260275,1
"内蒙古自治区","150000",0.608904501,6,-1.14603047401169,-1.4590468244599,-0.833014123563478,1
"新疆维吾尔自治区","650000",0.869026001,6,-2.2036896519832,-2.60722646190252,-1.80015284206389,1
"辽宁省","210000",0.683873748,6,-1.45085691917352,-1.70008439569492,-1.20162944265213,1
"北京市","110000",0.657671343,6,-1.34431742077306,-1.60818659107329,-1.08044825047282,1
"天津市","120000",0.585728355,6,-1.05179580472481,-1.39531747857213,-0.708274130877489,1
"河北省","130000",0.535806517,6,-0.848812621320488,-1.26772898431993,-0.429896258321044,1
"山西省","140000",0.653380632,6,-1.32687130474968,-1.59402558459837,-1.059717024901,1
"宁夏回族自治区","640000",0.794808805,6,-1.90192106110275,-2.20209521150847,-1.60174691069702,1
"甘肃省","620000",0.809319375,6,-1.96092132650986,-2.27860109619849,-1.64324155682124,1
"山东省","370000",0.61462279,6,-1.16928115049612,-1.47536471666054,-0.863197584331692,1
"陕西省","610000",0.750042761,6,-1.71990143835693,-1.97906693120525,-1.46073594550861,1
"青海省","630000",0.636659688,6,-1.25888361482037,-1.54093071387544,-0.976836515765307,1
"河南省","410000",0.750178907,6,-1.7204550106931,-1.97970899827724,-1.46120102310896,1
"江苏省","320000",0.654435956,6,-1.33116227306385,-1.59748712505365,-1.06483742107405,1
"安徽省","340000",0.707038712,6,-1.54504612222663,-1.7899288703845,-1.30016337406876,1
"上海市","310000",0.8213917,6,-2.01000763938944,-2.34344475475321,-1.67657052402567,1
"西藏自治区","540000",0.500579205,6,-0.705577672067674,-1.18290805443134,-0.228247289704012,1
"湖北省","420000",0.720866868,6,-1.60127167877548,-1.84763871967859,-1.35490463787237,1
"四川省","510000",0.825915231,6,-2.02840040615032,-2.36798807466723,-1.6888127376334,1
"重庆市","500000",0.738457741,6,-1.67279651727204,-1.92537651280935,-1.42021652173472,1
"浙江省","330000",0.831647693,6,-2.05170871033383,-2.39926681351802,-1.70415060714965,1
"江西省","360000",0.79643261,6,-1.90852348443756,-2.2105708751556,-1.60647609371951,1
"湖南省","430000",0.743115144,6,-1.69173361023998,-1.94673298503089,-1.43673423544907,1
"贵州省","520000",0.783541687,6,-1.85610873585478,-2.14394168299023,-1.56827578871933,1
"福建省","350000",0.810759891,6,-1.96677849313552,-2.28628512207367,-1.64727186419737,1
"云南省","530000",0.646544986,6,-1.2990774325428,-1.57193181225078,-1.02622305283481,1
"广西壮族自治区","450000",0.649788744,6,-1.31226661690402,-1.58234632173784,-1.04218691207021,1
"广东省","440000",0.657572742,6,-1.34391650715151,-1.60785855092146,-1.07997446338156,1
"海南省","460000",0.936057134,6,-2.47623956818497,-2.99175019005806,-1.96072894631189,1
