"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省","230000",0.719710549,6,-0.314162561639913,-0.388492553513678,-0.239832569766149,1
"吉林省","220000",0.641250374,6,-0.262806557296509,-0.339447303214106,-0.186165811378913,1
"内蒙古自治区","150000",0.807231788,6,-0.371449473506017,-0.487650597964957,-0.255248349047077,1
"新疆维吾尔自治区","650000",0.725999111,6,-0.318278731625333,-0.394462345113812,-0.242095118136853,1
"辽宁省","210000",0.756878475,6,-0.338490778714261,-0.427006102245685,-0.249975455182837,1
"北京市","110000",0.593655811,6,-0.231653598688522,-0.329331131485786,-0.133976065891259,1
"天津市","120000",0.69770718,6,-0.299760285403166,-0.369812420837998,-0.229708149968334,1
"河北省","130000",0.640250434,6,-0.262152047884784,-0.339119657781444,-0.185184437988123,1
"山西省","140000",0.544707664,6,-0.199614653453777,-0.326240214995502,-0.0729890919120514,1
"宁夏回族自治区","640000",0.566392154,6,-0.213808207860512,-0.327020433134463,-0.100595982586562,1
"甘肃省","620000",0.566206887,6,-0.213686941589354,-0.327010369565053,-0.100363513613654,1
"山东省","370000",0.718665491,6,-0.313478520300634,-0.387525784544507,-0.23943125605676,1
"陕西省","610000",0.780959942,6,-0.354253271263475,-0.455155051144456,-0.253351491382493,1
"青海省","630000",0.551731684,6,-0.204212216505709,-0.326411510596136,-0.0820129224152825,1
"河南省","410000",0.685587451,6,-0.291827332727941,-0.361147529879937,-0.222507135575945,1
"江苏省","320000",0.676686823,6,-0.286001438378011,-0.355558118125001,-0.21644475863102,1
"安徽省","340000",0.668888735,6,-0.280897210134851,-0.351195899425348,-0.210598520844355,1
"上海市","310000",0.736387375,6,-0.325078356162296,-0.404856828396889,-0.245299883927703,1
"西藏自治区","540000",0.551986038,6,-0.204378703581844,-0.326419070132171,-0.0823383370315161,1
"湖北省","420000",0.749728784,6,-0.33381095787458,-0.419057604879741,-0.248564310869419,1
"四川省","510000",0.820962494,6,-0.380436889057588,-0.505156649071671,-0.255717129043506,1
"重庆市","500000",0.876865856,6,-0.417028361122019,-0.578747031444045,-0.255309690799993,1
"浙江省","330000",0.73207247,6,-0.32225404077017,-0.400462945088844,-0.244045136451497,1
"江西省","360000",0.694281998,6,-0.29751833703039,-0.367241500879141,-0.22779517318164,1
"湖南省","430000",0.709622356,6,-0.307559348181301,-0.379479686771092,-0.235639009591509,1
"贵州省","520000",0.703049282,6,-0.303256951240515,-0.374009996034777,-0.232503906446252,1
"福建省","350000",0.535119346,6,-0.193338632518902,-0.326113709374751,-0.0605635556630529,1
"云南省","530000",0.550313342,6,-0.20328384261523,-0.326371144917624,-0.0801965403128362,1
"广西壮族自治区","450000",0.697405773,6,-0.299562999847773,-0.369582376407008,-0.229543623288537,1
"广东省","440000",0.693117218,6,-0.296755931813487,-0.366388984176522,-0.227122879450453,1
"海南省","460000",0.808871887,6,-0.372522998149157,-0.489725491350908,-0.255320504947407,1
