"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省","230000",0.719710549,4,NA,NA,NA,NA
"吉林省","220000",0.641250374,4,NA,NA,NA,NA
"内蒙古自治区","150000",0.807231788,4,NA,NA,NA,NA
"新疆维吾尔自治区","650000",0.725999111,4,NA,NA,NA,NA
"辽宁省","210000",0.756878475,4,NA,NA,NA,NA
"北京市","110000",0.593655811,4,NA,NA,NA,NA
"天津市","120000",0.69770718,4,NA,NA,NA,NA
"河北省","130000",0.640250434,4,NA,NA,NA,NA
"山西省","140000",0.544707664,4,NA,NA,NA,NA
"宁夏回族自治区","640000",0.566392154,4,NA,NA,NA,NA
"甘肃省","620000",0.566206887,4,NA,NA,NA,NA
"山东省","370000",0.718665491,4,NA,NA,NA,NA
"陕西省","610000",0.780959942,4,NA,NA,NA,NA
"青海省","630000",0.551731684,4,NA,NA,NA,NA
"河南省","410000",0.685587451,4,NA,NA,NA,NA
"江苏省","320000",0.676686823,4,0.636007746551678,0.345029446159446,0.92698604694391,1
"安徽省","340000",0.668888735,4,0.584268090131944,0.281978091329117,0.886558088934771,1
"上海市","310000",0.736387375,4,NA,NA,NA,NA
"西藏自治区","540000",0.551986038,4,NA,NA,NA,NA
"湖北省","420000",0.749728784,4,1.12063499958647,0.780156542507239,1.46111345666571,1
"四川省","510000",0.820962494,4,1.59326465969072,1.03629131815584,2.15023800122559,1
"重庆市","500000",0.876865856,4,NA,NA,NA,NA
"浙江省","330000",0.73207247,4,1.00348684480816,0.698883954772107,1.30808973484421,1
"江西省","360000",0.694281998,4,0.752750249219651,0.475896707886218,1.02960379055308,1
"湖南省","430000",0.709622356,4,0.854532231197249,0.575770122040402,1.1332943403541,1
"贵州省","520000",0.703049282,4,NA,NA,NA,NA
"福建省","350000",0.535119346,4,NA,NA,NA,NA
"云南省","530000",0.550313342,4,-0.202469645278958,-0.859939109805646,0.45499981924773,0
"广西壮族自治区","450000",0.697405773,4,NA,NA,NA,NA
"广东省","440000",0.693117218,4,0.745022032122771,0.467760798156437,1.02228326608911,1
"海南省","460000",0.808871887,4,NA,NA,NA,NA
