"省份","iso","tele_e","lag","estimate_e","lower_ci_e","upper_ci_e","sig"
"黑龙江省","230000",0.592757784,4,NA,NA,NA,NA
"吉林省","220000",0.562162909,4,NA,NA,NA,NA
"内蒙古自治区","150000",0.608904501,4,NA,NA,NA,NA
"新疆维吾尔自治区","650000",0.869026001,4,NA,NA,NA,NA
"辽宁省","210000",0.683873748,4,NA,NA,NA,NA
"北京市","110000",0.657671343,4,NA,NA,NA,NA
"天津市","120000",0.585728355,4,NA,NA,NA,NA
"河北省","130000",0.535806517,4,NA,NA,NA,NA
"山西省","140000",0.653380632,4,NA,NA,NA,NA
"宁夏回族自治区","640000",0.794808805,4,NA,NA,NA,NA
"甘肃省","620000",0.809319375,4,NA,NA,NA,NA
"山东省","370000",0.61462279,4,NA,NA,NA,NA
"陕西省","610000",0.750042761,4,NA,NA,NA,NA
"青海省","630000",0.636659688,4,NA,NA,NA,NA
"河南省","410000",0.750178907,4,NA,NA,NA,NA
"江苏省","320000",0.654435956,4,0.355941986735409,-0.452949207785075,1.16483318125589,0
"安徽省","340000",0.707038712,4,0.307793802570346,-0.299575045190755,0.915162650331447,0
"上海市","310000",0.8213917,4,NA,NA,NA,NA
"西藏自治区","540000",0.500579205,4,NA,NA,NA,NA
"湖北省","420000",0.720866868,4,0.295136659629942,-0.290534272287657,0.880807591547541,0
"四川省","510000",0.825915231,4,0.198984132413264,-0.703451907313013,1.10142017213954,0
"重庆市","500000",0.738457741,4,NA,NA,NA,NA
"浙江省","330000",0.831647693,4,0.193737113871208,-0.7411883648611,1.12866259260352,0
"江西省","360000",0.79643261,4,0.22597006952988,-0.524306155995726,0.976246295055486,0
"湖南省","430000",0.743115144,4,0.274772439736157,-0.311997039940493,0.861541919412807,0
"贵州省","520000",0.783541687,4,NA,NA,NA,NA
"福建省","350000",0.810759891,4,NA,NA,NA,NA
"云南省","530000",0.646544986,4,0.363164723825476,-0.486926556117202,1.21325600376815,0
"广西壮族自治区","450000",0.649788744,4,NA,NA,NA,NA
"广东省","440000",0.657572742,4,0.353070833938502,-0.440015002778103,1.14615667065511,0
"海南省","460000",0.936057134,4,NA,NA,NA,NA
