"省份","iso","tele_c","lag","estimate_c","lower_ci_c","upper_ci_c","sig"
"黑龙江省","230000",0.719710549,6,NA,NA,NA,NA
"吉林省","220000",0.641250374,6,NA,NA,NA,NA
"内蒙古自治区","150000",0.807231788,6,NA,NA,NA,NA
"新疆维吾尔自治区","650000",0.725999111,6,NA,NA,NA,NA
"辽宁省","210000",0.756878475,6,-1.62016410081748,-1.83413392372642,-1.40619427790853,1
"北京市","110000",0.593655811,6,-0.996030564275992,-1.31359802056923,-0.678463107982757,1
"天津市","120000",0.69770718,6,NA,NA,NA,NA
"河北省","130000",0.640250434,6,NA,NA,NA,NA
"山西省","140000",0.544707664,6,NA,NA,NA,NA
"宁夏回族自治区","640000",0.566392154,6,NA,NA,NA,NA
"甘肃省","620000",0.566206887,6,NA,NA,NA,NA
"山东省","370000",0.718665491,6,-1.47404465722278,-1.66253726655596,-1.28555204788961,1
"陕西省","610000",0.780959942,6,-1.7122472147398,-1.9562006797285,-1.46829374975109,1
"青海省","630000",0.551731684,6,NA,NA,NA,NA
"河南省","410000",0.685587451,6,-1.34756029787511,-1.54269989013932,-1.1524207056109,1
"江苏省","320000",0.676686823,6,-1.31352592853606,-1.51496066345068,-1.11209119362144,1
"安徽省","340000",0.668888735,6,-1.28370746998117,-1.49202004691936,-1.07539489304298,1
"上海市","310000",0.736387375,6,NA,NA,NA,NA
"西藏自治区","540000",0.551986038,6,NA,NA,NA,NA
"湖北省","420000",0.749728784,6,-1.59282499349223,-1.79967890076676,-1.38597108621769,1
"四川省","510000",0.820962494,6,-1.86520963820842,-2.17301115586692,-1.55740812054992,1
"重庆市","500000",0.876865856,6,-2.07897384334122,-2.49122461809636,-1.66672306858609,1
"浙江省","330000",0.73207247,6,-1.5253104864437,-1.7189998054355,-1.3316211674519,1
"江西省","360000",0.694281998,6,-1.38080665125981,-1.57154730837183,-1.19006599414779,1
"湖南省","430000",0.709622356,6,-1.43946536724764,-1.62701135010236,-1.25191938439291,1
"贵州省","520000",0.703049282,6,-1.41433113759452,-1.60251216535083,-1.22615010983822,1
"福建省","350000",0.535119346,6,-0.772197856110619,-1.20055841367395,-0.343837298547285,1
"云南省","530000",0.550313342,6,-0.830296910649253,-1.22885758935255,-0.431736231945956,1
"广西壮族自治区","450000",0.697405773,6,-1.39275139404449,-1.58235890458847,-1.20314388350051,1
"广东省","440000",0.693117218,6,-1.37635274612876,-1.56757750103118,-1.18512799122635,1
"海南省","460000",0.808871887,6,-1.8189773741287,-2.10613411360185,-1.53182063465555,1
