"tele_c","lag","estimate_c","lower_ci_c","upper_ci_c"
0.5,6,-0.234215556583966,-0.559008849100679,0.0905777359327464
0.51,6,-0.267221217864923,-0.577930925015123,0.0434884892852773
0.52,6,-0.300226879145879,-0.597033168231164,-0.00342059006059409
0.53,6,-0.333232540426835,-0.616342123863168,-0.0501229569905026
0.54,6,-0.366238201707792,-0.635889293113168,-0.0965871103024162
0.55,6,-0.399243862988748,-0.655712180385705,-0.142775545591792
0.56,6,-0.432249524269704,-0.675855551351221,-0.188643497188188
0.57,6,-0.465255185550661,-0.696372919405413,-0.234137451695909
0.58,6,-0.498260846831617,-0.717328254821878,-0.279193438841355
0.59,6,-0.531266508112573,-0.738797863465655,-0.323735152759491
0.6,6,-0.56427216939353,-0.760872295373913,-0.367672043413147
0.61,6,-0.597277830674486,-0.783657999914719,-0.410897661434254
0.62,6,-0.630283491955442,-0.807278230030428,-0.453288753880457
0.63,6,-0.663289153236399,-0.831872423450697,-0.494705883022101
0.64,6,-0.696294814517356,-0.857593024537683,-0.534996604497028
0.65,6,-0.729300475798312,-0.884598634142428,-0.574002317454195
0.66,6,-0.762306137079268,-0.913042779220755,-0.611569494937781
0.67,6,-0.795311798360224,-0.943058759252167,-0.647564837468282
0.68,6,-0.82831745964118,-0.974742886023414,-0.681892033258947
0.69,6,-0.861323120922137,-1.00814021256794,-0.714506029276331
0.7,6,-0.894328782203093,-1.04323722110817,-0.74542034329802
0.71,6,-0.92733444348405,-1.07996405995694,-0.774704827011161
0.72,6,-0.960340104765006,-1.11820551687886,-0.80247469265115
0.73,6,-0.993345766045962,-1.15781700586858,-0.828874526223341
0.74,6,-1.02635142732692,-1.19864101199588,-0.854061842657956
0.75,6,-1.05935708860787,-1.24052062001449,-0.878193557201264
0.76,6,-1.09236274988883,-1.28330871373129,-0.901416786046369
0.77,6,-1.12536841116979,-1.32687302395431,-0.923863798385261
0.78,6,-1.15837407245074,-1.37109799848836,-0.945650146413133
0.79,6,-1.1913797337317,-1.41588461188354,-0.966874855579865
0.8,6,-1.22438539501266,-1.46114904042467,-0.987621749600648
0.81,6,-1.25739105629361,-1.50682084427672,-1.00796126831051
0.82,6,-1.29039671757457,-1.55284104757144,-1.0279523875777
0.83,6,-1.32340237885553,-1.5991603260328,-1.04764443167826
0.84,6,-1.35640804013648,-1.64573739638129,-1.06707868389168
0.85,6,-1.38941370141744,-1.69253763516129,-1.08628976767358
0.86,6,-1.4224193626984,-1.73953191984705,-1.10530680554974
0.87,6,-1.45542502397935,-1.78669566931949,-1.12415437863922
0.88,6,-1.48843068526031,-1.83400805560808,-1.14285331491253
0.89,6,-1.52143634654126,-1.88145135900408,-1.16142133407845
0.9,6,-1.55444200782222,-1.92901044131657,-1.17987357432788
