"tele_c","lag","estimate_c","lower_ci_c","upper_ci_c"
0.5,6,0.226888225779245,-0.211186421312458,0.664962872870948
0.51,6,0.192367174913935,-0.227106879329039,0.611841229156909
0.52,6,0.157846124048625,-0.24322281835073,0.558915066447979
0.53,6,0.123325073183315,-0.259562429286303,0.506212575652933
0.54,6,0.0888040223180059,-0.276159141786661,0.453767186422673
0.55,6,0.0542829714526959,-0.293052761484381,0.401618704389773
0.56,6,0.0197619205873863,-0.310290863391735,0.349814704566507
0.57,6,-0.0147591302779238,-0.32793048539455,0.298412224838702
0.58,6,-0.0492801811432328,-0.346040157781893,0.247479795495427
0.59,6,-0.0838012320085425,-0.364702279388863,0.197099815371778
0.6,6,-0.118322282873852,-0.384015793746664,0.147371227998959
0.61,6,-0.152843333739162,-0.404099007578122,0.0984123400997974
0.62,6,-0.187364384604472,-0.425092199906746,0.0503634306978021
0.63,6,-0.221885435469782,-0.447159364978511,0.00338849403894786
0.64,6,-0.256406486335092,-0.470488015384186,-0.0423249572859967
0.65,6,-0.290927537200401,-0.495285525689908,-0.0865695487108932
0.66,6,-0.325448588065711,-0.521770269126998,-0.129126907004424
0.67,6,-0.359969638931021,-0.550156247465314,-0.169783030396727
0.68,6,-0.39449068979633,-0.580631545850545,-0.208349833742115
0.69,6,-0.429011740661639,-0.613333793425827,-0.244689687897452
0.7,6,-0.46353279152695,-0.648328756292399,-0.278736826761501
0.71,6,-0.498053842392259,-0.685599054721884,-0.310508630062634
0.72,6,-0.532574893257569,-0.725047211676923,-0.340102574838214
0.73,6,-0.567095944122879,-0.766511862904345,-0.367680025341413
0.74,6,-0.601616994988188,-0.809791327183527,-0.39344266279285
0.75,6,-0.636138045853499,-0.854667506389789,-0.417608585317208
0.76,6,-0.670659096718808,-0.900925086989542,-0.440393106448074
0.77,6,-0.705180147584118,-0.948364143859013,-0.461996151309223
0.78,6,-0.739701198449427,-0.99680665235673,-0.482595744542124
0.79,6,-0.774222249314737,-1.04609851056112,-0.502345988068351
0.8,6,-0.808743300180047,-1.09610877661298,-0.521377823747114
0.81,6,-0.843264351045357,-1.14672746458229,-0.539801237508424
0.82,6,-0.877785401910666,-1.19786278962387,-0.557708014197463
0.83,6,-0.912306452775976,-1.24943837886556,-0.57517452668639
0.84,6,-0.946827503641286,-1.30139070769413,-0.592264299588436
0.85,6,-0.981348554506595,-1.35366686504658,-0.609030243966611
0.86,6,-1.0158696053719,-1.4062226656574,-0.625516545086405
0.87,6,-1.05039065623721,-1.45902108535496,-0.641760227119473
0.88,6,-1.08491170710252,-1.51203097866895,-0.657792435536097
0.89,6,-1.11943275796783,-1.56522603438829,-0.673639481547374
0.9,6,-1.15395380883314,-1.618583927396,-0.68932369027029
