"tele_e","lag","estimate_e","lower_ci_e","upper_ci_e"
0.5,6,-0.31402235041307,-0.455436482242822,-0.172608218583318
0.51,6,-0.308650428413487,-0.445062567130955,-0.172238289696019
0.52,6,-0.303278506413904,-0.434759681577075,-0.171797331250733
0.53,6,-0.297906584414321,-0.424536123541678,-0.171277045286964
0.54,6,-0.292534662414738,-0.414401367717822,-0.170667957111655
0.55,6,-0.287162740415155,-0.40436624065194,-0.16995924017837
0.56,6,-0.281790818415573,-0.394443115323283,-0.169138521507862
0.57,6,-0.27641889641599,-0.384646122444912,-0.168191670387067
0.58,6,-0.271046974416407,-0.374991372215189,-0.167102576617624
0.59,6,-0.265675052416824,-0.365497174905234,-0.165852929928414
0.6,6,-0.260303130417241,-0.35618424100183,-0.164422019832652
0.61,6,-0.254931208417658,-0.347075831268267,-0.162786585567049
0.62,6,-0.249559286418075,-0.338197814148014,-0.160920758688136
0.63,6,-0.244187364418492,-0.329578573570752,-0.158796155266233
0.64,6,-0.23881544241891,-0.321248697403425,-0.156382187434394
0.65,6,-0.233443520419327,-0.313240371100936,-0.153646669737717
0.66,6,-0.228071598419744,-0.305586410904632,-0.150556785934855
0.67,6,-0.222699676420161,-0.298318905819404,-0.147080447020917
0.68,6,-0.217327754420578,-0.291467504081653,-0.143188004759503
0.69,6,-0.211955832420995,-0.285057474189029,-0.138854190652961
0.7,6,-0.206583910421412,-0.279107772033027,-0.134060048809798
0.71,6,-0.201211988421829,-0.273629416582754,-0.128794560260905
0.72,6,-0.195840066422247,-0.268624475634167,-0.123055657210326
0.73,6,-0.190468144422664,-0.264085869677642,-0.116850419167685
0.74,6,-0.185096222423081,-0.259998035776366,-0.110194409069796
0.75,6,-0.179724300423498,-0.256338311805272,-0.103110289041724
0.76,6,-0.174352378423915,-0.253078770192536,-0.0956259866552937
0.77,6,-0.168980456424332,-0.250188188237934,-0.0877727246107305
0.78,6,-0.163608534424749,-0.247633885219713,-0.0795831836297854
0.79,6,-0.158236612425166,-0.245383249598538,-0.0710899752517949
0.8,6,-0.152864690425583,-0.243404880891151,-0.0623244999600155
0.81,6,-0.147492768426001,-0.241669351146754,-0.0533161857052475
0.82,6,-0.142120846426418,-0.240149639650042,-0.0440920532027937
0.83,6,-0.136748924426835,-0.238821314392509,-0.0346765344611608
0.84,6,-0.131377002427252,-0.237662533946048,-0.0250914709084564
0.85,6,-0.126005080427669,-0.236653932891961,-0.0153562279633773
0.86,6,-0.120633158428086,-0.23577843977995,-0.00548787707622231
0.87,6,-0.115261236428503,-0.235021062781244,0.00449858992423759
0.88,6,-0.10988931442892,-0.234368666624299,0.0145900377664582
0.89,6,-0.104517392429338,-0.233809755554261,0.0247749706955858
0.9,6,-0.0991454704297547,-0.233334270731332,0.0350433298718222
0.91,6,-0.0937735484301719,-0.232933406201117,0.045386309340773
0.92,6,-0.088401626430589,-0.232599444818338,0.0557961919571596
0.93,6,-0.0830297044310061,-0.23232561383661,0.0662662049745975
0.94,6,-0.0776577824314232,-0.232105958941248,0.0767903940784012
0.95,6,-0.0722858604318403,-0.23193523504282,0.0873635141791397
