"tele_c","lag","estimate_c","lower_ci_c","upper_ci_c"
0.5,6,-0.104168404755279,-0.181305373210383,-0.0270314363001753
0.51,6,-0.101246553984609,-0.175042546004864,-0.0274505619643532
0.52,6,-0.0983247032139385,-0.16882082121467,-0.0278285852132071
0.53,6,-0.0954028524432681,-0.162646250239647,-0.0281594546468897
0.54,6,-0.0924810016725979,-0.156526018030942,-0.028435985314254
0.55,6,-0.0895591509019275,-0.15046868523432,-0.0286496165695351
0.56,6,-0.0866373001312571,-0.144484480736249,-0.0287901195262652
0.57,6,-0.0837154493605868,-0.138585649965414,-0.0288452487557598
0.58,6,-0.0807935985899166,-0.132786859730095,-0.0288003374497377
0.59,6,-0.0778717478192462,-0.127105650494914,-0.0286378451435781
0.6,6,-0.0749498970485759,-0.121562908327333,-0.0283368857698191
0.61,6,-0.0720280462779056,-0.116183296785394,-0.0278727957704174
0.62,6,-0.0691061955072352,-0.110995539658155,-0.0272168513563159
0.63,6,-0.0661843447365649,-0.106032379048424,-0.0263363104247058
0.64,6,-0.0632624939658945,-0.101329963053733,-0.0251950248780558
0.65,6,-0.0603406431952243,-0.0969263814834891,-0.0237549049069594
0.66,6,-0.0574187924245539,-0.0928591362229851,-0.0219784486261227
0.67,6,-0.0544969416538837,-0.0891615831508619,-0.0198323001569055
0.68,6,-0.0515750908832132,-0.0858588253762192,-0.0172913563902072
0.69,6,-0.048653240112543,-0.0829640140847107,-0.0143424661403753
0.7,6,-0.0457313893418726,-0.0804761968598466,-0.0109865818238985
0.71,6,-0.0428095385712023,-0.0783804785006257,-0.00723859864177884
0.72,6,-0.039887687800532,-0.0766504347677228,-0.0031249408333411
0.73,6,-0.0369658370298616,-0.0752519316438872,0.0013202575841639
0.74,6,-0.0340439862591913,-0.0741472055330157,0.00605923301463317
0.75,6,-0.031122135488521,-0.0732983021062229,0.011054031129181
0.76,6,-0.0282002847178507,-0.0726694599307278,0.0162688904950264
0.77,6,-0.0252784339471802,-0.072228447118347,0.0216715792239866
0.78,6,-0.02235658317651,-0.0719470823526737,0.0272339159996537
0.79,6,-0.0194347324058396,-0.0718012213030254,0.0329317564913462
0.8,6,-0.0165128816351694,-0.0717704457273999,0.0387446824570612
0.81,6,-0.0135910308644989,-0.0718376213098133,0.0446555595808155
0.82,6,-0.0106691800938287,-0.0719884257407795,0.0506500655531222
0.83,6,-0.00774732932315843,-0.0722109016258746,0.0567162429795578
0.84,6,-0.00482547855248794,-0.0724950588707775,0.0628441017658016
0.85,6,-0.00190362778181768,-0.0728325339202121,0.0690252783565767
0.86,6,0.00101822298885276,-0.0732163042247976,0.0752527502025032
0.87,6,0.00394007375952299,-0.0736404522401702,0.0815205997592161
0.88,6,0.00686192453019338,-0.0740999719227281,0.0878238209831148
0.89,6,0.00978377530086361,-0.0745906107367678,0.0941581613384951
0.9,6,0.0127056260715341,-0.0751087408641251,0.100519993007193
