"tele_e","lag","estimate_e","lower_ci_e","upper_ci_e"
0.5,6,0.640388312823252,-0.735124235992499,2.015900861639
0.51,6,0.572734266568475,-0.747947708582908,1.89341624171986
0.52,6,0.505080220313699,-0.761074370344302,1.7712348109717
0.53,6,0.437426174058922,-0.774545144006533,1.64939749212438
0.54,6,0.369772127804145,-0.788408326441532,1.52795258204982
0.55,6,0.302118081549368,-0.802721234276488,1.40695739737522
0.56,6,0.234464035294591,-0.817552277985195,1.28648034857438
0.57,6,0.166809989039814,-0.832983586371355,1.16660356445098
0.58,6,0.0991559427850378,-0.849114337185042,1.04742622275512
0.59,6,0.0315018965302612,-0.866064989406397,0.929068782466919
0.6,6,-0.0361521497245155,-0.883982655191232,0.811678355742201
0.61,6,-0.103806195979293,-0.903047885134879,0.695435493176294
0.62,6,-0.171460242234069,-0.923483147326084,0.580562662857945
0.63,6,-0.239114288488846,-0.94556321254224,0.467334635564548
0.64,6,-0.306768334743623,-0.969627426273485,0.356090756786238
0.65,6,-0.3744223809984,-0.99609329761409,0.24724853561729
0.66,6,-0.442076427253177,-1.02546972711376,0.141316872607404
0.67,6,-0.509730473507954,-1.05836625113557,0.0389053041196656
0.68,6,-0.57738451976273,-1.0954917973398,-0.0592772421856567
0.69,6,-0.645038566017506,-1.13763327374182,-0.152443858293195
0.7,6,-0.712692612272284,-1.18560317621868,-0.23978204832589
0.71,6,-0.780346658527061,-1.24015065733591,-0.320542659718213
0.72,6,-0.848000704781838,-1.30184593562992,-0.394155473933757
0.73,6,-0.915654751036615,-1.37096973016743,-0.460339771905798
0.74,6,-0.983308797291391,-1.44745147717837,-0.519166117404413
0.75,6,-1.05096284354617,-1.53088532143073,-0.57104036566161
0.76,6,-1.11861688980094,-1.62061609565636,-0.616617683945532
0.77,6,-1.18627093605572,-1.71585688846995,-0.656684983641491
0.78,6,-1.2539249823105,-1.81579669340114,-0.692053271219856
0.79,6,-1.32157902856527,-1.91967502325826,-0.723483033872293
0.8,6,-1.38923307482005,-2.02682093419793,-0.751645215442173
0.81,6,-1.45688712107483,-2.1366651719111,-0.777109070238555
0.82,6,-1.52454116732961,-2.24873629213084,-0.800346042528369
0.83,6,-1.59219521358438,-2.36264924828562,-0.82174117888315
0.84,6,-1.65984925983916,-2.47809171828492,-0.841606801393397
0.85,6,-1.72750330609394,-2.59481091152221,-0.86019570066566
0.86,6,-1.79515735234871,-2.71260201252093,-0.877712692176494
0.87,6,-1.86281139860349,-2.83129856265767,-0.894324234549304
0.88,6,-1.93046544485827,-2.95076468028449,-0.910166209432039
0.89,6,-1.99811949111304,-3.0708888666544,-0.925350115571689
0.9,6,-2.06577353736782,-3.19157911418908,-0.939967960546562
0.91,6,-2.1334275836226,-3.31275905565187,-0.954096111593326
0.92,6,-2.20108162987737,-3.4343649328739,-0.967798326880843
0.93,6,-2.26873567613215,-3.55634320577608,-0.981128146488223
0.94,6,-2.33638972238693,-3.67864866005725,-0.994130784716601
0.95,6,-2.4040437686417,-3.80124290317136,-1.00684463411205
