"tele_e","lag","estimate_e","lower_ci_e","upper_ci_e"
0.5,6,3.04962553988145,1.47593670216143,4.62331437760147
0.51,6,2.91447103937124,1.39950005735725,4.42944202138523
0.52,6,2.77931653886104,1.32281052454912,4.23582255317296
0.53,6,2.64416203835083,1.24583638310751,4.04248769359415
0.54,6,2.50900753784062,1.16854057386911,3.84947450181214
0.55,6,2.37385303733042,1.0908795770091,3.65682649765174
0.56,6,2.23869853682021,1.01280201048481,3.46459506315561
0.57,6,2.10354403631001,0.934246870626255,3.27284120199376
0.58,6,1.9683895357998,0.855141313221658,3.08163775837794
0.59,6,1.83323503528959,0.77539784390652,2.89107222667267
0.6,6,1.69808053477939,0.694910750109035,2.70125031944974
0.61,6,1.56292603426918,0.613551563746409,2.51230050479195
0.62,6,1.42777153375898,0.531163297856739,2.32437976966121
0.63,6,1.29261703324877,0.447553161640503,2.13768090485704
0.64,6,1.15746253273856,0.362483450932079,1.95244161454505
0.65,6,1.02230803222836,0.275660385125192,1.76895567933152
0.66,6,0.887153531718151,0.186720913729797,1.58758614970651
0.67,6,0.751999031207946,0.0952181158626286,1.40877994655326
0.68,6,0.61684453069774,0.000607024386947597,1.23308203700853
0.69,6,0.481690030187534,-0.0977651730930544,1.06114523346812
0.7,6,0.346535529677327,-0.20065746738701,0.893728526741664
0.71,6,0.211381029167122,-0.308911383295384,0.731673441629627
0.72,6,0.0762265286569153,-0.423393715026586,0.575846772340417
0.73,6,-0.0589279718532907,-0.54489994258118,0.427043998874599
0.74,6,-0.194082472363497,-0.674029656718653,0.285864711991659
0.75,6,-0.329236972873704,-0.81106891267246,0.152594966925053
0.76,6,-0.46439147338391,-0.955926733210223,0.0271437864424038
0.77,6,-0.599545973894116,-1.10815582446458,-0.0909361233236523
0.78,6,-0.734700474404322,-1.26704737591177,-0.202353572896872
0.79,6,-0.869854974914527,-1.431757672892,-0.307952276937053
0.8,6,-1.00500947542473,-1.60142228166437,-0.408596669185096
0.81,6,-1.14016397593494,-1.77523405388021,-0.505093897989674
0.82,6,-1.27531847644515,-1.95248311474124,-0.598153838149054
0.83,6,-1.41047297695535,-2.13256858407289,-0.688377369837812
0.84,6,-1.54562747746556,-2.31499368369034,-0.776261271240779
0.85,6,-1.68078197797577,-2.49935318913913,-0.8622107668124
0.86,6,-1.81593647848597,-2.68531871387655,-0.946554243095392
0.87,6,-1.95109097899618,-2.87262464071585,-1.0295573172765
0.88,6,-2.08624547950638,-3.06105586268597,-1.1114350963268
0.89,6,-2.22139998001659,-3.25043761374505,-1.19236234628813
0.9,6,-2.35655448052679,-3.44062726180429,-1.2724816992493
0.91,6,-2.491708981037,-3.63150778503114,-1.35191017704286
0.92,6,-2.62686348154721,-3.82298262572503,-1.43074433736938
0.93,6,-2.76201798205741,-4.01497164263446,-1.50906432148036
0.94,6,-2.89717248256762,-4.20740792669233,-1.58693703844291
0.95,6,-3.03232698307782,-4.40023529050577,-1.66441867564988
