"tele_e","lag","estimate_e","lower_ci_e","upper_ci_e"
0.5,6,-0.382158440252476,-0.46544215325999,-0.298874727244962
0.51,6,-0.37003560464166,-0.450373469497798,-0.289697739785521
0.52,6,-0.357912769030843,-0.435346617518936,-0.28047892054275
0.53,6,-0.345789933420027,-0.42036648428167,-0.271213382558384
0.54,6,-0.333667097809211,-0.405438649763101,-0.26189554585532
0.55,6,-0.321544262198394,-0.39056949009392,-0.252519034302869
0.56,6,-0.309421426587578,-0.375766292153023,-0.243076561022133
0.57,6,-0.297298590976762,-0.361037378010037,-0.233559803943486
0.58,6,-0.285175755365945,-0.346392235522502,-0.223959275209389
0.59,6,-0.273052919755129,-0.331841648247514,-0.214264191262744
0.6,6,-0.260930084144313,-0.317397813312867,-0.204462354975758
0.61,6,-0.248807248533496,-0.303074429793108,-0.194540067273885
0.62,6,-0.23668441292268,-0.288886732516567,-0.184482093328793
0.63,6,-0.224561577311864,-0.274851437769114,-0.174271716854614
0.64,6,-0.212438741701047,-0.260986559812117,-0.163890923589977
0.65,6,-0.200315906090231,-0.247311053782199,-0.153320758398263
0.66,6,-0.188193070479415,-0.233844246308113,-0.142541894650716
0.67,6,-0.176070234868598,-0.220605035723706,-0.13153543401349
0.68,6,-0.163947399257782,-0.207610882909158,-0.120283915606406
0.69,6,-0.151824563646966,-0.194876669363787,-0.108772457930144
0.7,6,-0.139701728036149,-0.182413558873042,-0.0969898971992572
0.71,6,-0.127578892425333,-0.170228040892034,-0.084929743958632
0.72,6,-0.115456056814517,-0.158321333217902,-0.0725907804111313
0.73,6,-0.1033332212037,-0.146689266480583,-0.0599771759268183
0.74,6,-0.091210385592884,-0.135322675123943,-0.0470980960618249
0.75,6,-0.0790875499820676,-0.124208212632359,-0.0339668873317761
0.76,6,-0.0669647143712513,-0.113329431485015,-0.0205999972574873
0.77,6,-0.054841878760435,-0.102667943545088,-0.0070158139757819
0.78,6,-0.0427190431496186,-0.0922045019960393,0.00676641569680216
0.79,6,-0.0305962075388023,-0.0819199007652671,0.0207274856876626
0.8,6,-0.0184733719279859,-0.0717956470133221,0.0348489031573502
0.81,6,-0.00635053631716959,-0.0618144095938961,0.0491133369595569
0.82,6,0.0057722992936468,-0.0519602750655983,0.063504873652892
0.83,6,0.0178951349044631,-0.0422188545667347,0.0780091243756609
0.84,6,0.0300179705152794,-0.0325772849187333,0.0926132259492921
0.85,6,0.0421408061260958,-0.0230241611512982,0.10730577340349
0.86,6,0.054263641736912,-0.0135494292921077,0.122076712765932
0.87,6,0.0663864773477283,-0.00414426013046933,0.136917214825926
0.88,6,0.0785093129585447,0.00519908215302579,0.151819543764064
0.89,6,0.090632148569361,0.0144873678092391,0.166776929329483
0.9,6,0.102754984180177,0.023726520839656,0.181783447520699
0.91,6,0.114877819790994,0.0329217273778624,0.196833912204125
0.92,6,0.12700065540181,0.0420775323197907,0.211923778483829
0.93,6,0.139123491012626,0.0511979243719364,0.227049057653316
0.94,6,0.151246326623443,0.0602864102378308,0.242206243009054
0.95,6,0.163369162234259,0.0693460789335231,0.257392245534995
