"tele_c","lag","estimate_c","lower_ci_c","upper_ci_c"
0.5,6,-0.480270493588266,-0.807848619056389,-0.152692368120143
0.51,6,-0.499709778738904,-0.813186234876174,-0.186233322601635
0.52,6,-0.519149063889542,-0.818681465727202,-0.219616662051882
0.53,6,-0.538588349040181,-0.824357384941512,-0.25281931313885
0.54,6,-0.558027634190819,-0.830241401183589,-0.285813867198049
0.55,6,-0.577466919341457,-0.836366202716091,-0.318567635966823
0.56,6,-0.596906204492095,-0.842770910894795,-0.351041498089395
0.57,6,-0.616345489642733,-0.849502474758249,-0.383188504527217
0.58,6,-0.635784774793371,-0.856617327857697,-0.414952221729045
0.59,6,-0.655224059944009,-0.864183300488055,-0.446264819399964
0.6,6,-0.674663345094647,-0.872281721911338,-0.477044968277957
0.61,6,-0.694102630245286,-0.881009538714886,-0.507195721775686
0.62,6,-0.713541915395924,-0.890481094049915,-0.536602736741932
0.63,6,-0.732981200546562,-0.900828942214166,-0.565133458878958
0.64,6,-0.7524204856972,-0.912202733629073,-0.592638237765327
0.65,6,-0.771859770847838,-0.924764905020952,-0.618954636674725
0.66,6,-0.791299055998477,-0.938681905373553,-0.643916206623401
0.67,6,-0.810738341149115,-0.954110372781551,-0.667366309516679
0.68,6,-0.830177626299752,-0.971179348097726,-0.689175904501778
0.69,6,-0.849616911450391,-0.989971970413928,-0.709261852486853
0.7,6,-0.869056196601029,-1.01051188059573,-0.727600512606333
0.71,6,-0.888495481751667,-1.03275909262856,-0.744231870874777
0.72,6,-0.907934766902305,-1.05661690854396,-0.759252625260652
0.73,6,-0.927374052052943,-1.08194727093043,-0.772800833175458
0.74,6,-0.946813337203581,-1.1085893912914,-0.785037283115762
0.75,6,-0.966252622354219,-1.1363767367219,-0.796128507986537
0.76,6,-0.985691907504858,-1.16514955664145,-0.806234258368264
0.77,6,-1.0051311926555,-1.19476239343469,-0.815499991876301
0.78,6,-1.02457047780613,-1.22508742899823,-0.824053526614041
0.79,6,-1.04400976295677,-1.25601498471525,-0.83200454119829
0.8,6,-1.06344904810741,-1.28745237692518,-0.839445719289643
0.81,6,-1.08288833325805,-1.31932200159042,-0.846454664925677
0.82,6,-1.10232761840869,-1.35155919476257,-0.853096042054799
0.83,6,-1.12176690355933,-1.3841101686028,-0.859423638515851
0.84,6,-1.14120618870996,-1.416930162471,-0.865482214948924
0.85,6,-1.1606454738606,-1.44998185531058,-0.871309092410618
0.86,6,-1.18008475901124,-1.48323403657206,-0.876935481450423
0.87,6,-1.19952404416188,-1.51666051048482,-0.882387577838938
0.88,6,-1.21896332931252,-1.55023920073849,-0.887687457886544
0.89,6,-1.23840261446315,-1.58395142235773,-0.892853806568579
0.9,6,-1.25784189961379,-1.61778129064618,-0.897902508581399
