"tele_e","lag","estimate_e","lower_ci_e","upper_ci_e"
0.5,6,-1.02028136134468,-1.65003242615055,-0.390530296538805
0.51,6,-1.10432357603711,-1.71156598284576,-0.497081169228459
0.52,6,-1.18836579072955,-1.77337079793659,-0.603360783522506
0.53,6,-1.27240800542199,-1.8354790108163,-0.709337000027666
0.54,6,-1.35645022011442,-1.89792749258496,-0.814972947643884
0.55,6,-1.44049243480686,-1.9607586137157,-0.920226255898016
0.56,6,-1.5245346494993,-2.02402112384929,-1.0250481751493
0.57,6,-1.60857686419173,-2.08777114632444,-1.12938258205902
0.58,6,-1.69261907888417,-2.1520732798952,-1.23316487787313
0.59,6,-1.7766612935766,-2.21700178280352,-1.33632080434969
0.6,6,-1.86070350826904,-2.28264178681985,-1.43876522971823
0.61,6,-1.94474572296148,-2.34909044740851,-1.54040099851444
0.62,6,-2.02878793765391,-2.41645787754839,-1.64111799775944
0.63,6,-2.11283015234635,-2.48486763598924,-1.74079266870346
0.64,6,-2.19687236703879,-2.55445645085795,-1.83928828321963
0.65,6,-2.28091458173122,-2.62537277309,-1.93645639037245
0.66,6,-2.36495679642366,-2.69777370557257,-2.03213988727475
0.67,6,-2.4489990111161,-2.77181989839667,-2.12617812383552
0.68,6,-2.53304122580853,-2.84766820548718,-2.21841424612988
0.69,6,-2.61708344050097,-2.92546231177252,-2.30870456922942
0.7,6,-2.70112565519341,-3.00532213936051,-2.39692917102631
0.71,6,-2.78516786988584,-3.08733347769131,-2.48300226208038
0.72,6,-2.86921008457828,-3.171539687709,-2.56688048144757
0.73,6,-2.95325229927072,-3.257937225294,-2.64856737324743
0.74,6,-3.03729451396315,-3.3464760143644,-2.72811301356191
0.75,6,-3.12133672865559,-3.43706458150171,-2.80560887580947
0.76,6,-3.20537894334803,-3.52957878104569,-2.88117910565037
0.77,6,-3.28942115804046,-3.62387231036538,-2.95497000571555
0.78,6,-3.3734633727329,-3.71978719901064,-3.02713954645517
0.79,6,-3.45750558742534,-3.8171629143794,-3.09784826047127
0.8,6,-3.54154780211777,-3.91584337228091,-3.16725223195464
0.81,6,-3.62559001681021,-4.01568171844415,-3.23549831517627
0.82,6,-3.70963223150265,-4.11654312881493,-3.30272133419037
0.83,6,-3.79367444619508,-4.21830605341152,-3.36904283897865
0.84,6,-3.87771666088752,-4.32086235495535,-3.4345709668197
0.85,6,-3.96175887557996,-4.42411673624894,-3.49940101491097
0.86,6,-4.04580109027239,-4.52798576163997,-3.56361641890481
0.87,6,-4.12984330496483,-4.63239668930248,-3.62728992062718
0.88,6,-4.21388551965727,-4.73728625689835,-3.69048478241619
0.89,6,-4.2979277343497,-4.84259950726224,-3.75325596143716
0.9,6,-4.38196994904214,-4.94828870160008,-3.8156511964842
0.91,6,-4.46601216373458,-5.05431234189007,-3.87771198557908
0.92,6,-4.55005437842701,-5.16063430813704,-3.93947444871698
0.93,6,-4.63409659311945,-5.26722310681124,-4.00097007942765
0.94,6,-4.71813880781189,-5.37405122189037,-4.06222639373341
0.95,6,-4.80218102250432,-5.48109455777439,-4.12326748723425
