"tele_c","lag","estimate_c","lower_ci_c","upper_ci_c"
0.5,6,-5.43710483911937,-7.05224455553961,-3.82196512269913
0.51,6,-5.36318296426087,-6.90870971195514,-3.81765621656659
0.52,6,-5.28926108940236,-6.7653129579426,-3.81320922086212
0.53,6,-5.21533921454385,-6.62207475326678,-3.80860367582093
0.54,6,-5.14141733968535,-6.47901974686519,-3.8038149325055
0.55,6,-5.06749546482684,-6.33617788765094,-3.79881304200275
0.56,6,-4.99357358996833,-6.19358590106128,-3.79356127887539
0.57,6,-4.91965171510983,-6.05128927637612,-3.78801415384353
0.58,6,-4.84572984025132,-5.90934497734984,-3.78211470315281
0.59,6,-4.77180796539281,-5.76782519223364,-3.77579073855199
0.6,6,-4.69788609053431,-5.62682260018637,-3.76894958088224
0.61,6,-4.6239642156758,-5.48645788421359,-3.76147054713801
0.62,6,-4.55004234081729,-5.34689062253298,-3.75319405910161
0.63,6,-4.47612046595879,-5.20833532949339,-3.74390560242419
0.64,6,-4.40219859110028,-5.07108542397334,-3.73331175822722
0.65,6,-4.32827671624177,-4.93554943134041,-3.72100400114314
0.66,6,-4.25435484138327,-4.80230581758267,-3.70640386518387
0.67,6,-4.18043296652476,-4.67218489650034,-3.68868103654918
0.68,6,-4.10651109166625,-4.54638518212151,-3.666637001211
0.69,6,-4.03258921680775,-4.42661718126624,-3.63856125234926
0.7,6,-3.95866734194924,-4.31521526944138,-3.60211941445711
0.71,6,-3.88474546709073,-4.21503984930897,-3.5544510848725
0.72,6,-3.81082359223223,-4.12888317745667,-3.49276400700779
0.73,6,-3.73690171737372,-4.05834998239261,-3.41545345235483
0.74,6,-3.66297984251521,-4.00297343203786,-3.32298625299257
0.75,6,-3.58905796765671,-3.9604901434998,-3.21762579181361
0.76,6,-3.5151360927982,-3.92796492910801,-3.10230725648839
0.77,6,-3.44121421793969,-3.90272586614433,-2.97970256973506
0.78,6,-3.36729234308119,-3.88271248361748,-2.85187220254489
0.79,6,-3.29337046822268,-3.8664519699436,-2.72028896650176
0.8,6,-3.21944859336417,-3.85292034526881,-2.58597684145953
0.81,6,-3.14552671850567,-3.84140751275848,-2.44964592425285
0.82,6,-3.07160484364716,-3.83141617921734,-2.31179350807698
0.83,6,-2.99768296878865,-3.82259267173456,-2.17277326584275
0.84,6,-2.92376109393015,-3.81468103245986,-2.03284115540043
0.85,6,-2.84983921907164,-3.80749271706961,-1.89218572107367
0.86,6,-2.77591734421313,-3.80088645305878,-1.75094823536749
0.87,6,-2.70199546935463,-3.79475467999997,-1.60923625870929
0.88,6,-2.62807359449612,-3.7890142808858,-1.46713290810644
0.89,6,-2.55415171963761,-3.78360014420938,-1.32470329506585
0.9,6,-2.48022984477911,-3.77846062031602,-1.18199906924219
