"tele_e","lag","estimate_e","lower_ci_e","upper_ci_e"
0.5,6,-0.468248711311913,-2.86703556239179,1.93053813976796
0.51,6,-0.604360757080958,-2.90877365046422,1.7000521363023
0.52,6,-0.740472802850002,-2.95088547459383,1.46993986889382
0.53,6,-0.876584848619046,-2.99342082373798,1.24025112649989
0.54,6,-1.01269689438809,-3.03643844944081,1.01104466066463
0.55,6,-1.14880894015713,-3.080008098109,0.782390217794734
0.56,6,-1.28492098592618,-3.12421309530909,0.55437112345673
0.57,6,-1.42103303169522,-3.16915365383198,0.327087590441534
0.58,6,-1.55714507746427,-3.21495113529455,0.100660980366015
0.59,6,-1.69325712323331,-3.26175357243398,-0.124760674032638
0.6,6,-1.82936916900236,-3.30974286063189,-0.348995477372821
0.61,6,-1.9654812147714,-3.35914415555729,-0.571818273985511
0.62,6,-2.10159326054044,-3.41023816581783,-0.792948355263054
0.63,6,-2.23770530630949,-3.46337718476406,-1.01203342785492
0.64,6,-2.37381735207853,-3.51900580342513,-1.22862890073193
0.65,6,-2.50992939784758,-3.57768713933122,-1.44217165636393
0.66,6,-2.64604144361662,-3.64013478422216,-1.65194810301108
0.67,6,-2.78215348938567,-3.70724889803911,-1.85705808073222
0.68,6,-2.91826553515471,-3.78015092795614,-2.05638014235328
0.69,6,-3.05437758092375,-3.86020406067894,-2.24855110116856
0.7,6,-3.1904896266928,-3.94899550706697,-2.43198374631863
0.71,6,-3.32660167246184,-4.04824631879904,-2.60495702612465
0.72,6,-3.46271371823089,-4.15961815253264,-2.76580928392913
0.73,6,-3.59882576399993,-4.284424447961,-2.91322708003886
0.74,6,-3.73493780976897,-4.42332744528525,-3.0465481742527
0.75,6,-3.87104985553802,-4.57615977254436,-3.16593993853168
0.76,6,-4.00716190130706,-4.74197117572629,-3.27235262688784
0.77,6,-4.14327394707611,-4.91927286100689,-3.36727503314533
0.78,6,-4.27938599284515,-5.10634967343115,-3.45242231225915
0.79,6,-4.41549803861419,-5.30151638691875,-3.52947969030964
0.8,6,-4.55161008438324,-5.5032681469213,-3.59995202184517
0.81,6,-4.68772213015228,-5.71033769447374,-3.66510656583083
0.82,6,-4.82383417592133,-5.92169440688363,-3.72597394495902
0.83,6,-4.95994622169037,-6.13651604579862,-3.78337639758212
0.84,6,-5.09605826745942,-6.35415245519458,-3.83796407972425
0.85,6,-5.23217031322846,-6.57409072419228,-3.89024990226464
0.86,6,-5.3682823589975,-6.79592543884868,-3.94063927914632
0.87,6,-5.50439440476655,-7.01933470308526,-3.98945410644783
0.88,6,-5.64050645053559,-7.24406138299985,-4.03695151807133
0.89,6,-5.77661849630464,-7.46989865780428,-4.08333833480499
0.9,6,-5.91273054207368,-7.69667896037603,-4.12878212377134
0.91,6,-6.04884258784273,-7.92426552225939,-4.17341965342606
0.92,6,-6.18495463361177,-8.15254589620823,-4.2173633710153
0.93,6,-6.32106667938081,-8.38142697318705,-4.26070638557458
0.94,6,-6.45717872514986,-8.61083112836585,-4.30352632193387
0.95,6,-6.5932907709189,-8.84069322206113,-4.34588831977667
