"tele_c","lag","estimate_c","lower_ci_c","upper_ci_c"
0.5,6,1.69107727310318,1.43468626394183,1.94746828226454
0.51,6,1.67775277990829,1.43246664480241,1.92303891501417
0.52,6,1.66442828671339,1.43011040777464,1.89874616565215
0.53,6,1.6511037935185,1.42759743896833,1.87461014806867
0.54,6,1.6377793003236,1.42490385674912,1.85065474389809
0.55,6,1.62445480712871,1.42200120689266,1.82690840736475
0.56,6,1.61113031393381,1.41885549020794,1.80340513765968
0.57,6,1.59780582073892,1.41542600483851,1.78018563663932
0.58,6,1.58448132754402,1.4116640006474,1.75729865444065
0.59,6,1.57115683434913,1.40751117592124,1.73480249277702
0.6,6,1.55783234115423,1.40289810869518,1.71276657361329
0.61,6,1.54450784795934,1.39774282122671,1.69127287469196
0.62,6,1.53118335476444,1.39194984021153,1.67041686931736
0.63,6,1.51785886156955,1.3854103361098,1.6503073870293
0.64,6,1.50453436837465,1.37800415839719,1.63106457835212
0.65,6,1.49120987517976,1.36960470260804,1.61281504775147
0.66,6,1.47788538198486,1.36008731844294,1.59568344552678
0.67,6,1.46456088878997,1.34934113626884,1.5797806413111
0.68,6,1.45123639559507,1.33728271734548,1.56519007384467
0.69,6,1.43791190240018,1.32386834922435,1.551955455576
0.7,6,1.42458740920528,1.30910119758633,1.54007362082423
0.71,6,1.41126291601039,1.29303077170943,1.52949506031135
0.72,6,1.39793842281549,1.27574490156054,1.52013194407044
0.73,6,1.3846139296206,1.25735704318162,1.51187081605957
0.74,6,1.3712894364257,1.23799271675724,1.50458615609417
0.75,6,1.35796494323081,1.2177780764373,1.49815181002431
0.76,6,1.34464045003591,1.19683198753405,1.49244891253777
0.77,6,1.33131595684102,1.17526158371511,1.48737032996692
0.78,6,1.31799146364612,1.15316053519198,1.48282239210026
0.79,6,1.30466697045123,1.13060909387805,1.4787248470244
0.8,6,1.29134247725633,1.10767512676081,1.47500982775185
0.81,6,1.27801798406144,1.08441558558016,1.47162038254271
0.82,6,1.26469349086654,1.0608780754139,1.46850890631919
0.83,6,1.25136899767165,1.03710234073841,1.46563565460488
0.84,6,1.23804450447675,1.01312158703762,1.46296742191588
0.85,6,1.22472001128186,0.988963613438476,1.46047640912523
0.86,6,1.21139551808696,0.96465176177766,1.45813927439626
0.87,6,1.19807102489207,0.940205701031079,1.45593634875305
0.88,6,1.18474653169717,0.915642070491084,1.45385099290326
0.89,6,1.17142203850227,0.890975004909692,1.45186907209486
0.9,6,1.15809754530738,0.866216562577236,1.44997852803752
