"tele_e","lag","estimate_e","lower_ci_e","upper_ci_e"
0.5,6,-0.703222613050341,-1.18153903695479,-0.224906189145897
0.51,6,-0.743882811379642,-1.20528059054254,-0.282485032216748
0.52,6,-0.784543009708942,-1.22926239313319,-0.339823626284699
0.53,6,-0.825203208038243,-1.25351251158779,-0.396893904488693
0.54,6,-0.865863406367543,-1.27806299292488,-0.45366381981021
0.55,6,-0.906523604696843,-1.30295045664565,-0.510096752748032
0.56,6,-0.947183803026144,-1.3282167528758,-0.566150853176492
0.57,6,-0.987844001355444,-1.35390967706581,-0.621778325645084
0.58,6,-1.02850419968474,-1.38008372003898,-0.67692467933051
0.59,6,-1.06916439801404,-1.40680081410215,-0.731527981925943
0.6,6,-1.10982459634335,-1.43413101000517,-0.785518182681519
0.61,6,-1.15048479467265,-1.46215298450383,-0.838816604841464
0.62,6,-1.19114499300195,-1.4909542345209,-0.891335751482991
0.63,6,-1.23180519133125,-1.52063076531106,-0.942979617351432
0.64,6,-1.27246538966055,-1.55128603668376,-0.993644742637338
0.65,6,-1.31312558798985,-1.58302891209903,-1.04322226388066
0.66,6,-1.35378578631915,-1.61597038857681,-1.09160118406149
0.67,6,-1.39444598464845,-1.65021900334647,-1.13867296595042
0.68,6,-1.43510618297775,-1.6858750380293,-1.18433732792619
0.69,6,-1.47576638130705,-1.72302396030294,-1.22850880231116
0.7,6,-1.51642657963635,-1.76172988620807,-1.27112327306462
0.71,6,-1.55708677796565,-1.80203008609267,-1.31214346983863
0.72,6,-1.59774697629495,-1.84393155402977,-1.35156239856013
0.73,6,-1.63840717462425,-1.88741034442296,-1.38940400482554
0.74,6,-1.67906737295355,-1.93241381749583,-1.42572092841127
0.75,6,-1.71972757128285,-1.97886532131495,-1.46058982125075
0.76,6,-1.76038776961215,-2.02667039420162,-1.49410514502269
0.77,6,-1.80104796794145,-2.07572342909859,-1.52637250678432
0.78,6,-1.84170816627075,-2.1259138873648,-1.5575024451767
0.79,6,-1.88236836460005,-2.17713146436046,-1.58760526483964
0.8,6,-1.92302856292935,-2.22926995169844,-1.61678717416027
0.81,6,-1.96368876125865,-2.28222981284721,-1.6451477096701
0.82,6,-2.00434895958795,-2.33591965346204,-1.67277826571387
0.83,6,-2.04500915791725,-2.39025683518998,-1.69976148064453
0.84,6,-2.08566935624655,-2.44516748200712,-1.72617123048599
0.85,6,-2.12632955457585,-2.50058609269587,-1.75207301645584
0.86,6,-2.16698975290515,-2.55645492511298,-1.77752458069733
0.87,6,-2.20764995123446,-2.61272327118683,-1.80257663128208
0.88,6,-2.24831014956376,-2.66934670242904,-1.82727359669847
0.89,6,-2.28897034789306,-2.72628633582077,-1.85165435996534
0.9,6,-2.32963054622236,-2.78350814853688,-1.87575294390783
0.91,6,-2.37029074455166,-2.84098235548757,-1.89959913361574
0.92,6,-2.41095094288096,-2.89868285434993,-1.92321903141198
0.93,6,-2.45161114121026,-2.95658673711761,-1.9466355453029
0.94,6,-2.49227133953956,-3.0146738640318,-1.96986881504731
0.95,6,-2.53293153786886,-3.07292649420348,-1.99293658153424
