"tele_c","lag","estimate_c","lower_ci_c","upper_ci_c"
0.5,6,-0.170351310788948,-0.326480321060183,-0.0142223005177131
0.51,6,-0.176896797635415,-0.326263507617184,-0.0275300876536472
0.52,6,-0.183442284481883,-0.326129887480237,-0.0407546814835291
0.53,6,-0.18998777132835,-0.326091708979647,-0.0538838336770542
0.54,6,-0.196533258174818,-0.3261635148092,-0.0669030015404357
0.55,6,-0.203078745021285,-0.3263626321361,-0.0797948579064709
0.56,6,-0.209624231867753,-0.326709764728632,-0.0925386990068737
0.57,6,-0.21616971871422,-0.32722969793549,-0.105109739492951
0.58,6,-0.222715205560688,-0.327952118096532,-0.117478293024844
0.59,6,-0.229260692407155,-0.328912527973089,-0.129608856841221
0.6,6,-0.235806179253623,-0.330153201990845,-0.141459156516401
0.61,6,-0.24235166610009,-0.331724060401858,-0.152979271798323
0.62,6,-0.248897152946558,-0.333683241565026,-0.16411106432809
0.63,6,-0.255442639793025,-0.336097017103505,-0.174788262482546
0.64,6,-0.261988126639493,-0.339038552540973,-0.184937700738012
0.65,6,-0.26853361348596,-0.34258494352123,-0.194482283450691
0.66,6,-0.275079100332428,-0.346812095700815,-0.20334610496404
0.67,6,-0.281624587178895,-0.351787523015304,-0.211461651342486
0.68,6,-0.288170074025363,-0.357562035389645,-0.218778112661081
0.69,6,-0.29471556087183,-0.364162251469123,-0.225268870274537
0.7,6,-0.301261047718298,-0.371586243515993,-0.230935851920603
0.71,6,-0.307806534564765,-0.379803862912333,-0.235809206217198
0.72,6,-0.314352021411233,-0.388761625700776,-0.23994241712169
0.73,6,-0.3208975082577,-0.398390442954996,-0.243404573560405
0.74,6,-0.327442995104168,-0.408613879302927,-0.246272110905409
0.75,6,-0.333988481950635,-0.419355113319989,-0.248621850581282
0.76,6,-0.340533968797103,-0.430541762110962,-0.250526175483244
0.77,6,-0.34707945564357,-0.442108586752111,-0.25205032453503
0.78,6,-0.353624942490038,-0.453998546875817,-0.253251338104259
0.79,6,-0.360170429336505,-0.466162773171694,-0.254178085501317
0.8,6,-0.366715916182973,-0.478559938115729,-0.254871894250217
0.81,6,-0.37326140302944,-0.491155361011387,-0.255367445047494
0.82,6,-0.379806889875908,-0.503920052801272,-0.255693726950544
0.83,6,-0.386352376722375,-0.51682981113217,-0.255874942312581
0.84,6,-0.392897863568843,-0.529864415562828,-0.255931311574858
0.85,6,-0.39944335041531,-0.543006937846856,-0.255879762983765
0.86,6,-0.405988837261778,-0.556243163999626,-0.25573451052393
0.87,6,-0.412534324108245,-0.56956111662089,-0.255507531595601
0.88,6,-0.419079810954713,-0.582950663232678,-0.255208958676747
0.89,6,-0.42562529780118,-0.596403196494019,-0.254847399108342
0.9,6,-0.432170784647648,-0.609911373522871,-0.254430195772425
