"tele_e","lag","estimate_e","lower_ci_e","upper_ci_e"
0.5,6,0.651781509913558,0.360511273469041,0.943051746358075
0.51,6,0.613949844575106,0.332982197395591,0.894917491754621
0.52,6,0.576118179236654,0.305306821968026,0.846929536505282
0.53,6,0.538286513898202,0.27746805590357,0.799104971892834
0.54,6,0.50045484855975,0.249446384207141,0.751463312912359
0.55,6,0.462623183221298,0.221219507475568,0.704026858967028
0.56,6,0.424791517882846,0.19276194112294,0.656821094642752
0.57,6,0.386959852544394,0.16404458016462,0.609875124924168
0.58,6,0.349128187205942,0.135034242476405,0.563222131935479
0.59,6,0.31129652186749,0.105693214451254,0.516899829283727
0.6,6,0.273464856529038,0.0759788387655668,0.47095087429251
0.61,6,0.235633191190586,0.0458432052993671,0.425423177081805
0.62,6,0.197801525852134,0.0152330329021149,0.380370018802154
0.63,6,0.159969860513682,-0.0159101407156509,0.335849861743015
0.64,6,0.12213819517523,-0.0476493172859513,0.291925707636412
0.65,6,0.0843065298367782,-0.0800507890876262,0.248663848761183
0.66,6,0.0464748644983262,-0.11318214762835,0.206131876625002
0.67,6,0.00864319915987408,-0.147109486529181,0.164395884848929
0.68,6,-0.0291884661785775,-0.181893872168104,0.123516939810949
0.69,6,-0.0670201315170293,-0.217587349989164,0.0835470869551052
0.7,6,-0.104851796855482,-0.254228963381635,0.0445253696706722
0.71,6,-0.142683462193933,-0.291841408081054,0.00647448369318673
0.72,6,-0.180515127532385,-0.330428943120159,-0.0306013119446117
0.73,6,-0.218346792870837,-0.369976986855552,-0.0667165988861231
0.74,6,-0.25617845820929,-0.410453484355895,-0.101903432062684
0.75,6,-0.294010123547742,-0.451811758514448,-0.136208488581035
0.76,6,-0.331841788886194,-0.493994287000569,-0.169689290771818
0.77,6,-0.369673454224646,-0.536936760518157,-0.202410147931134
0.78,6,-0.407505119563098,-0.580571866688816,-0.234438372437379
0.79,6,-0.44533678490155,-0.624832435628955,-0.265841134174144
0.8,6,-0.483168450240002,-0.669653791863329,-0.296683108616675
0.81,6,-0.521000115578454,-0.714975322735504,-0.327024908421404
0.82,6,-0.558831780916906,-0.760741373764319,-0.356922188069493
0.83,6,-0.596663446255358,-0.806901622419756,-0.386425270090959
0.84,6,-0.63449511159381,-0.85341108198198,-0.41557914120564
0.85,6,-0.672326776932262,-0.900229865559845,-0.444423688304679
0.86,6,-0.710158442270713,-0.947322811141603,-0.472994073399824
0.87,6,-0.747990107609166,-0.994659040105333,-0.501321175112998
0.88,6,-0.785821772947618,-1.04221149777412,-0.529432048121119
0.89,6,-0.823653438286069,-1.08995650637833,-0.557350370193805
0.9,6,-0.861485103624521,-1.13787334775772,-0.585096859491318
0.91,6,-0.899316768962974,-1.1859438843161,-0.612689653609847
0.92,6,-0.937148434301425,-1.23415222107393,-0.640144647528917
0.93,6,-0.974980099639877,-1.28248440822709,-0.667475791052661
0.94,6,-1.01281176497833,-1.33092818169261,-0.694695348264052
0.95,6,-1.05064343031678,-1.37947273817649,-0.721814122457068
