"tele_c","lag","estimate_c","lower_ci_c","upper_ci_c"
0.5,6,-0.637907916938912,-1.13691879876793,-0.138897035109893
0.51,6,-0.676146083211059,-1.15483037863424,-0.197461787787877
0.52,6,-0.714384249483207,-1.17289759399272,-0.255870904973699
0.53,6,-0.752622415755354,-1.19114192205956,-0.314102909451153
0.54,6,-0.790860582027502,-1.20958873445191,-0.372132429603096
0.55,6,-0.829098748299649,-1.2282681506387,-0.429929345960602
0.56,6,-0.867336914571796,-1.24721610036928,-0.48745772877431
0.57,6,-0.905575080843943,-1.26647564574804,-0.54467451593985
0.58,6,-0.94381324711609,-1.28609862162326,-0.601527872608919
0.59,6,-0.982051413388237,-1.30614765736897,-0.657955169407509
0.6,6,-1.02028957966038,-1.32669863799712,-0.71388052132365
0.61,6,-1.05852774593253,-1.34784363662415,-0.769211855240913
0.62,6,-1.09676591220468,-1.36969428392526,-0.823837540484099
0.63,6,-1.13500407847683,-1.39238540157719,-0.877622755376466
0.64,6,-1.17324224474897,-1.41607847099874,-0.930406018499206
0.65,6,-1.21148041102112,-1.44096408796798,-0.981996734074262
0.66,6,-1.24971857729327,-1.46726195480304,-1.0321751997835
0.67,6,-1.28795674356542,-1.49521629610558,-1.08069719102525
0.68,6,-1.32619490983756,-1.52508422842312,-1.127305591252
0.69,6,-1.36443307610971,-1.5571152960554,-1.17175085616402
0.7,6,-1.40267124238186,-1.59152291069973,-1.21381957406398
0.71,6,-1.440909408654,-1.62845275105034,-1.25336606625767
0.72,6,-1.47914757492615,-1.66795725644542,-1.29033789340688
0.73,6,-1.5173857411983,-1.70998564852206,-1.32478583387454
0.74,6,-1.55562390747045,-1.75439360001514,-1.35685421492575
0.75,6,-1.59386207374259,-1.80096855590816,-1.38675559157703
0.76,6,-1.63210024001474,-1.84946131551624,-1.41473916451325
0.77,6,-1.67033840628689,-1.89961469646713,-1.44106211610665
0.78,6,-1.70857657255904,-1.95118414713567,-1.46596899798241
0.79,6,-1.74681473883118,-2.00394951118331,-1.48967996647905
0.8,6,-1.78505290510333,-2.05771970720931,-1.51238610299735
0.81,6,-1.82329107137548,-2.11233279275198,-1.53424934999897
0.82,6,-1.86152923764763,-2.16765353646981,-1.55540493882544
0.83,6,-1.89976740391977,-2.22356995775459,-1.57596485008496
0.84,6,-1.93800557019192,-2.27998969163325,-1.59602144875059
0.85,6,-1.97624373646407,-2.33683661309025,-1.61565085983788
0.86,6,-2.01448190273621,-2.39404789691453,-1.6349159085579
0.87,6,-2.05272006900836,-2.45157154901952,-1.65386858899721
0.88,6,-2.09095823528051,-2.50936437790402,-1.672552092657
0.89,6,-2.12919640155266,-2.56739034853342,-1.69100245457189
0.9,6,-2.1674345678248,-2.6256192555475,-1.7092498801021
